term,total_across_topics,Topic_1,Topic_2,Topic_3,Topic_4,Topic_5,Topic_6,Topic_7,Topic_8,Topic_9,Topic_10,Topic_11,Topic_12,Topic_13,Topic_14,Topic_15
courage,10,0.0036,0.0407,0.0006,0.0027,0.0027,0.0228,0.0001,0.0007,0.001,0.0002,0.0009,0.0016,0.0002,0.001,0.0013
ermitteln,10,0.0036,0.0008,0.0006,0.0028,0.0026,0.0019,0.0001,0.0438,0.001,0.0002,0.0009,0.0015,0.0002,0.001,0.0013
errichtung,10,0.0037,0.0008,0.026,0.0026,0.0026,0.0019,0.0001,0.0007,0.0011,0.0002,0.0008,0.0017,0.0271,0.001,0.0014
handeln,10,0.0036,0.0295,0.0006,0.0026,0.0028,0.0019,0.0001,0.0007,0.001,0.0002,0.0015,0.0015,0.0051,0.001,0.0013
heutig,10,0.0037,0.0008,0.0006,0.0025,0.0027,0.0019,0.0004,0.0007,0.001,0.0676,0.0127,0.0014,0.0002,0.001,0.0013
migration,10,0.0037,0.0008,0.0006,0.0026,0.0027,0.0022,0.0358,0.0007,0.0011,0.0005,0.0009,0.0014,0.0002,0.0011,0.0013
thema,10,0.0036,0.045,0.0006,0.0026,0.0027,0.0021,0.0002,0.0007,0.001,0.0002,0.0048,0.0015,0.0002,0.001,0.0014
ökonomisch,10,0.0037,0.0008,0.0007,0.0026,0.0026,0.0021,0.0165,0.0007,0.0011,0.0002,0.0387,0.0014,0.0002,0.001,0.0015
ausgrenzung,9,0.0036,0.0008,0.0007,0.0027,0.0028,0.0019,0.001,0.0007,0.001,0.0002,0.0009,0.0263,0.0064,0.0011,0.0013
ethik,9,0.0037,0.0441,0.0006,0.0026,0.0029,0.0019,0.0001,0.0007,0.0011,0.0002,0.0013,0.0014,0.0002,0.001,0.0012
gewaltsam,9,0.0037,0.0008,0.0243,0.0026,0.0026,0.0019,0.0001,0.0007,0.001,0.0002,0.0009,0.0014,0.0002,0.001,0.0255
kulturell,9,0.0036,0.0008,0.0007,0.0026,0.0027,0.0019,0.0471,0.0007,0.0011,0.0002,0.0172,0.0014,0.0002,0.001,0.0013
menschenwürde,9,0.0036,0.0008,0.0006,0.0027,0.0032,0.0019,0.0001,0.0007,0.0011,0.0002,0.0019,0.0014,0.0002,0.0556,0.0013
nsdiktatur,9,0.0036,0.0008,0.0257,0.0026,0.0027,0.0019,0.0001,0.0007,0.0011,0.0002,0.0008,0.0015,0.0486,0.001,0.0013
recherch,9,0.0036,0.0445,0.0006,0.0026,0.0027,0.0019,0.0001,0.0007,0.001,0.0002,0.0009,0.0014,0.0002,0.001,0.0014
unterstützung,9,0.0037,0.0008,0.0243,0.0026,0.0027,0.0019,0.0009,0.0007,0.0011,0.0221,0.0009,0.0014,0.0002,0.001,0.0014
ziel,9,0.0271,0.0008,0.0006,0.0026,0.0026,0.0021,0.0022,0.0007,0.0012,0.0002,0.0294,0.0015,0.0002,0.001,0.0015
