term,total_across_topics,Topic_1,Topic_2,Topic_3,Topic_4,Topic_5,Topic_6,Topic_7
beitrag,8,0.0004,0.0015,0.0153,0.0002,0.0002,0.0002,0.0004
bildung,8,0.0152,0.0021,0.0004,0.0002,0.0002,0.0002,0.0004
nachhaltig,8,0.0152,0.0021,0.0004,0.0002,0.0002,0.0002,0.0004
sichtweise,8,0.0004,0.0002,0.022,0.0011,0.0002,0.0002,0.0004
erläutern,7,0.016,0.0002,0.0004,0.0002,0.0002,0.0002,0.0004
globalisiert,7,0.0004,0.0003,0.0004,0.0002,0.0144,0.0002,0.0004
land,7,0.0004,0.0002,0.0004,0.0002,0.0002,0.0002,0.0214
text,7,0.0129,0.0002,0.0004,0.0002,0.0005,0.0002,0.0004
abb,6,0.0004,0.0002,0.0004,0.0002,0.0002,0.0002,0.0174
bedienen,6,0.0004,0.0002,0.0004,0.0002,0.0002,0.0002,0.0174
deutungsmustern,6,0.0004,0.0002,0.0004,0.0002,0.0002,0.0002,0.0174
konfrontieren,6,0.0004,0.0002,0.0004,0.0002,0.0002,0.0002,0.0174
