term,total_across_topics,Topic_1,Topic_2,Topic_3,Topic_4,Topic_5,Topic_6,Topic_7,Topic_8,Topic_9,Topic_10
gangbar,12,0.0001,0.0001,0.0001,0.0,0.0001,0.0001,0.0002,0.0,0.0123,0.0052
lebenslauf,10,0.0001,0.0001,0.0001,0.0,0.0001,0.0001,0.0144,0.0001,0.0001,0.0
musik,10,0.0001,0.0001,0.0119,0.0,0.0001,0.0001,0.0002,0.0,0.0001,0.0
berufswunsch,10,0.0001,0.0001,0.0001,0.0,0.0001,0.0001,0.0144,0.0001,0.0001,0.0
erwartete,10,0.0001,0.0001,0.0001,0.0,0.0001,0.0001,0.0144,0.0001,0.0001,0.0
fiktiv,10,0.0001,0.0001,0.0001,0.0,0.0001,0.0001,0.0144,0.0001,0.0001,0.0
grundbegriffe,10,0.0113,0.0001,0.0001,0.0,0.0001,0.0001,0.0002,0.001,0.0001,0.0
hintergrund,10,0.0001,0.0001,0.0009,0.0,0.0001,0.0001,0.0125,0.0,0.0001,0.0
zukunftswünsch,10,0.0001,0.0001,0.0001,0.0,0.0001,0.0001,0.0144,0.0001,0.0001,0.0
trennen,9,0.0001,0.0001,0.0008,0.0,0.0001,0.0001,0.0002,0.0,0.0158,0.0
literatur,7,0.0113,0.0001,0.0001,0.0,0.0001,0.0001,0.0002,0.0,0.0001,0.0
beide,6,0.0001,0.0001,0.0001,0.0,0.0001,0.0001,0.0002,0.0,0.0134,0.0
campe,6,0.0108,0.0001,0.0001,0.0,0.0001,0.0001,0.0002,0.0,0.0001,0.0
