term,total_across_topics,Topic_1,Topic_2,Topic_3,Topic_4,Topic_5,Topic_6,Topic_7,Topic_8,Topic_9,Topic_10,Topic_11,Topic_12
identität,13,0.0003,0.0171,0.0003,0.0001,0.0003,0.0648,0.0004,0.0004,0.0001,0.0001,0.0001,0.0002
information,13,0.0077,0.0006,0.0003,0.0002,0.0003,0.0034,0.0007,0.0004,0.0031,0.0001,0.0001,0.0034
kontext,13,0.0003,0.0379,0.0003,0.0001,0.0003,0.0001,0.0064,0.0004,0.0005,0.0002,0.0001,0.0035
partner,13,0.0003,0.0006,0.0003,0.0001,0.0003,0.0001,0.0004,0.0005,0.0001,0.0001,0.0231,0.0002
psychologisch,13,0.0236,0.0006,0.0003,0.0001,0.0003,0.0001,0.0004,0.0004,0.0001,0.0001,0.0012,0.0002
relevanz,13,0.0003,0.055,0.0003,0.0001,0.0007,0.0001,0.0004,0.0005,0.0003,0.0002,0.0001,0.0002
versetzen,13,0.0003,0.0006,0.0003,0.0001,0.0003,0.0001,0.0004,0.0004,0.0001,0.0001,0.0231,0.0002
wahrnehmungsfähigkeit,13,0.0003,0.0006,0.0003,0.0001,0.0003,0.0001,0.0004,0.0004,0.0001,0.0001,0.0232,0.0002
anzeige,12,0.0197,0.0006,0.0045,0.0001,0.0003,0.0001,0.0004,0.0005,0.0001,0.0001,0.0001,0.0002
aussage,12,0.0003,0.0006,0.0099,0.0001,0.0003,0.0001,0.0221,0.0004,0.0001,0.0001,0.0001,0.0002
begriff,12,0.0003,0.0208,0.0003,0.0001,0.0003,0.0001,0.0004,0.0107,0.0001,0.0002,0.0001,0.0071
erwerb,12,0.0003,0.0006,0.0003,0.0001,0.0336,0.0001,0.0004,0.0004,0.0179,0.0001,0.0001,0.0002
form,12,0.0043,0.0006,0.0185,0.0001,0.0015,0.0001,0.0004,0.0004,0.0001,0.0001,0.0001,0.0002
individuell,12,0.0059,0.0006,0.0003,0.0001,0.0003,0.0001,0.0004,0.0004,0.0415,0.0001,0.0001,0.0002
literatur,12,0.0002,0.0006,0.0003,0.0315,0.0003,0.0001,0.0004,0.0004,0.0001,0.0001,0.0001,0.0002
regional,12,0.0002,0.0006,0.0003,0.0315,0.0003,0.0001,0.0004,0.0004,0.0001,0.0001,0.0001,0.0002
stellenwert,12,0.0003,0.0006,0.0003,0.0001,0.0003,0.0001,0.0004,0.0004,0.0001,0.0001,0.0222,0.0002
systematisch,12,0.0002,0.0006,0.0003,0.0001,0.0319,0.0001,0.0004,0.0004,0.0155,0.0001,0.0001,0.0057
ausgewählt,11,0.0002,0.0006,0.0102,0.0001,0.0003,0.0002,0.0177,0.0004,0.0001,0.0001,0.0001,0.0002
bevölkerungsgruppe,11,0.0002,0.0006,0.0003,0.0306,0.0003,0.0001,0.0004,0.0004,0.0001,0.0001,0.0001,0.0002
bieten,11,0.0002,0.0006,0.0003,0.0001,0.0003,0.0001,0.0004,0.0004,0.0293,0.0002,0.0001,0.0055
differenz,11,0.0208,0.0006,0.0003,0.0001,0.0003,0.0001,0.0004,0.0004,0.0002,0.0002,0.0001,0.0002
differenziert,11,0.0021,0.0177,0.0003,0.0001,0.0003,0.0001,0.0004,0.0005,0.0001,0.0002,0.0001,0.0099
einbettung,11,0.0002,0.0006,0.0003,0.0306,0.0003,0.0001,0.0004,0.0004,0.0001,0.0001,0.0001,0.0002
engagement,11,0.0002,0.0006,0.0003,0.0306,0.0003,0.0001,0.0004,0.0004,0.0001,0.0001,0.0001,0.0002
