,text_excerpt,search_term,match_term,state,school type,grade,year,subject,doc_id
703,"gesellschaftspolitische Entscheidungen tragen; den rechtsstaatlichen Anspruch an den Einzelnen auf ihr eigenes Entscheiden und Handeln im öffentlichen Raum in einem Streitgespräch anwenden. Themenbereich Anthropologie: Die Schülerinnen und Schüler können unterschiedliche anthropologische Positionen erläutern; darlegen, dass die Frage nach dem Selbstverständnis des Menschen im Zentrum anthropologischer Reflexion steht; begründen, dass anthropologische Kernannahmen auf Postulaten basieren; die Begründung und die Konsequenzen eines auf",Anthropologie,anthropologische,Bremen,Gym,Sek2,2009,"Ethik, Philo",703
704,"mit Konsequenzen der zeitlichen Begrenztheit der menschlichen Existenz durch Gedankenexperimente oder literarische Essays zusätzlich für den Leistungskurs existenzialistische Betrachtungen des Todes kritische Auseinandersetzung mit Fragen von Leben und Tod Reflexionsbereiche: Anthropologie, Lebenskunst, Metaphysik Auseinandersetzung mit: dem Zusammenhang von Tod und Selbstverwirklichung der Absurdität des Todes der schematischen Darstellung der Funktion des Todes Selbstmord Sren Kierkegaard Martin Heidegger Jean Paul Sartre Simone",Anthropologie,Anthropologie,MeckPomm,Gym,Sek2,,"Ethik, Philo",704
705,"als freies und selbstbestimmtes Wesen Das Menschenbild der Neurowissenschaften und der Forschungen zur Künstlichen Intelligenz p , p g SACHKOMPETENZ Die Schülerinnen und Schüler rekonstruieren den Menschen als Kulturwesen bestimmende anthropologische Positionen in ihrem gedanklichen Aufbau und erläutern differenziert die Bedeutung zentraler Elemente von Kultur für den Menschen, analysieren ein dualistisches und ein monistisches Denkmodell zum Leib-SeeleProblem in seinem argumentativen Aufbau",Anthropologie,anthropologische,NRW,Gym,Sek2,2014,"Ethik, Philo",705
706,"eine staatsphilosophische Position zur Bestimmung von Demokratie und eine zur Bestimmung von sozialer Gerechtigkeit in ihren wesentlichen Gedankenschritten. p g p Qi p URTEILSKOMPETENZ Die Schülerinnen und Schüler erörtern abwägend anthropologische Voraussetzungen der behandelten Staatsmodelle und deren Konsequenzen, bewerten die Überzeugungskraft der behandelten kontraktualistischen Staatsmodelle im Hinblick auf die Legitimation eines Staates angesichts der Freiheitsansprüche des Individuums, bewerten kriteriengeleitet und argumentierend",Anthropologie,anthropologische,NRW,Gym,Sek2,2014,"Ethik, Philo",706
707,"Kulturwesen Das Verhältnis von Leib und Seele Der Mensch als freies und selbstbestimmtes Wesen p , p g SACHKOMPETENZ Die Schülerinnen und Schüler rekonstruieren eine den Menschen als Kulturwesen bestimmende anthropologische Position in ihren wesentlichen gedanklichen Schritten und erläutern diese Bestimmung an zentralen Elementen von Kultur, analysieren ein dualistisches und ein monistisches Denkmodell zum Leib-SeeleProblem in seinen wesentlichen gedanklichen Schritten und",Anthropologie,anthropologische,NRW,Gym,Sek2,2014,"Ethik, Philo",707
708,"grundlegenden Fragen des Daseins und zugleich eine Einführung in Grundfragen der theoretischen Philosophie. Inhaltsfeld Das Selbstverständnis des Menschen In diesem Inhaltsfeld befassen sich Schülerinnen und Schüler mit Problemen der philosophischen Anthropologie und reflektieren über ein mögliches Wesen des Menschen. Sie stellen Fragen nach dem Menschen als Natur- und zugleich Kulturwesen, nach dem Verhältnis von Leib und Seele und nach der Freiheit",Anthropologie,Anthropologie,NRW,Gym,Sek2,2014,"Ethik, Philo",708
709,dabei z.T. auch umfassende Begründungen bzw. Herleitungen normativer Modelle zu berücksichtigen. Hierbei sollten in geeignetem Umfang auch Originaltexte einbezogen werden. Neben der philosophischen Ethik sind zudem auch Gesichtspunkte aus der Anthropologie und der Erkenntnistheorie zu thematisieren. Besonderes Gewicht haben auch ethische Akzentuierungen der Religionen bzw. Weltanschauungen. Geeignete Forschungsergebnisse der Naturwissenschaften sind bei der Erörterung bestimmter ethischer Fragen in angemessener Weise einzubeziehen.,Anthropologie,Anthropologie,Niedersachsen,Realschule,,2018,"Ethik, Philo",709
710,"zwangsbewehrten Sanktionierung von Normverstößen der Messbarkeit der Stärke von Normen des Verfalls gesellschaftlicher Normen der Möglichkeiten der Entfaltung von Normen durch Streit rechtsphilosophische Fragen DRF Naturrecht vs. Rechtspositivismus Reflexionsbereiche: Ethik, Anthropologie, Geschichte und Gesellschaft, Sprachphilosophie, Metaphysik, Erkenntnistheorie, Lebenskunst Diskussion von Fragen des Stellenwerts allgemeiner und überpositiver Leitkriterien wie: politische Gerechtigkeit Fairness Gleichheit rechtliche Richtigkeit z. B. Ronald Dworkins Fall Riggs, Jürgen",Anthropologie,Anthropologie,MeckPomm,Gym,Sek2,,"Ethik, Philo",710
711,Reflexionsbereiche Die folgenden Reflexionsbereiche sind verbindlich. Bei der Auseinandersetzung mit philosophischen Gegenständen sind stets Fragestellungen aus mehreren Reflexionsbereichen einzubeziehen. Diese sind auch in Kapitel in den Hinweisen und Anregungen ausgewiesen. Anthropologie Ethik Erkenntnistheorie Geschichte und Gesellschaft Metaphysik Philosophie der Lebenskunst Sprachphilosophie Anforderungsbereiche Die Anforderungsbereiche im Fach Philosophie sind nicht identisch mit den Dimensionen philosophischer Problemreflexion. In jeder Dimension der Problemreflexion können,Anthropologie,Anthropologie,MeckPomm,Gym,Sek2,,"Ethik, Philo",711
712,Gewissens in psychologischer und philosophischer Hinsicht an Beispielen aufzeigen; diese beiden Hinsichten begrifflich voneinander unterscheiden; das eigene Handeln vor dem Hintergrund des Verantwortungsbegriffs beurteilen; ein Modell moralphilosophischer Begründung darstellen. Themenbereich Anthropologie Die Schülerinnen und Schüler können exemplarisch begründet Stellung zu einem philosophischen Menschenbild beziehen; in einem Streitgespräch die Beziehung zwischen der anthropologischen Sicht auf den Menschen und den philosophischen Disziplinen Erkenntnistheorie,Anthropologie,Anthropologie,Bremen,Gym,Sek2,2009,"Ethik, Philo",712
713,"LK Die Psychologie nimmt einen anderen Blickwickel auf die Moral ein als die philosophische Ethik. Letztere beschäftigt sich vor allem mit dem moralischen Sollen, wohingegen die Psychologie die psychologischen und anthropologischen Grundlagen des Moralischen zu bestimmen trachtet Sein. Sie versucht also zu ergründen, warum die Menschen so handeln wie sie handeln und aufzuzeigen, wie sich die moralische Urteilskompetenz im Laufe des",Anthropologie,anthropologischen,Saarland,Gym,Sek2,2019,"Ethik, Philo",713
714,"der ethischen Perspektive und den Perspektiven anderer philosophischer und wissenschaftlicher Disziplinen, Identifizieren der Ethik als philosophische Disziplin und damit der Philosophie als Grundlagenwissenschaft für den Ethikunterricht insbesondere zur Perspektive der Anthropologie Diskutieren des Zusammenhangs der vier Kantischen Fragen Kant, Logik, III, A / Bedenken und Problematisieren des Zusammenhangs z. B. o zwischen Wahrheit und Erkenntnis-/ Wissenschaftstheorie, o zwischen Freiheitspostulat/Verantwortung und physikalischem",Anthropologie,Anthropologie,Saarland,Gym,Sek2,2019,"Ethik, Philo",714
715,"scheinbar mit einer ethisch begründeten Überzeugung in Konflikt steht: z. B. der Kauf eines Autos Motorstärke vs. Verbrauch, Urlaub in einem entfernten Land etc.: Was wäre die Rolle der Freiheit Anthropologie - Freiheit und Verantwortung grundlegende Aspekte Allgemeine Ethik Hauptphase LK Vorschläge und Anregungen Hinweis bei allen anderen Themen zu aktivieren: Offenlegen der Freiheits- und Verantwortungspotenziale der Themen Handeln Verantwortungswochen: Übernahme",Anthropologie,Anthropologie,Saarland,Gym,Sek2,2019,"Ethik, Philo",715
716,"X. unterscheiden zwischen prospektiver und retrospektiver Verantwortung, mithilfe der Begriffe Pflicht und Rechenschaft stellen Bedingungen einer Verantwortungsübernahme dar. nämlich Freiheit, kulturelles Wissen auch im Sinne eines Wertebewusstseins, Möglichkeit der Folgenabschätzung Anthropologie - Freiheit und Verantwortung grundlegende Aspekte Allgemeine Ethik Hauptphase LK Inhaltsbezogene Kompetenzen Konkretisierungen und Hinweise Freiheit Die Schülerinnen und Schüler unterscheiden zwischen Willens- und Handlungsfreiheit, Willensfreiheit: Freiheit, bewusst einen eigenen",Anthropologie,Anthropologie,Saarland,Gym,Sek2,2019,"Ethik, Philo",716
717,"urteilen. Paderborn: Schöningh, Tetens, Holm: Philosophisches Argumentieren. München: Beck, Pfeifer, Volker: Ethisch argumentieren. Paderborn: Schöningh, Pfister, Jonas: Werkzeuge des Philosophierens. Stuttgart: Reclam, Rosenberg, Jay F.: Philosophieren. Frankfurt am Main: Klostermann, Anthropologie - Freiheit und Verantwortung grundlegende Aspekte Allgemeine Ethik Hauptphase LK Die Eigenschaft des Menschen, Verantwortung zu erleben und auch bewusst zu übernehmen, zeigt an, dass er in einem ethischen Nachdenken",Anthropologie,Anthropologie,Saarland,Gym,Sek2,2019,"Ethik, Philo",717
718,"Merkmale des Menschen als eines aus der natürlichen Evolution hervorgegangenen Lebewesens und erklären wesentliche Unterschiede zwischen Mensch und Tier bzw. anderen nicht menschlichen Lebensformen u. a. Sprache, Kultur, analysieren einen anthropologischen Ansatz zur Bestimmung des Unterschiedes von Mensch und Tier auf der Basis ihrer gemeinsamen evolutionären Herkunft in seinen Grundgedanken, rekonstruieren einen relativistischen und einen universalistischen ethischen Ansatz in ihren Grundgedanken",Anthropologie,anthropologischen,NRW,Gym,Sek2,2014,"Ethik, Philo",718
719,"sozialer Identität geprägt. Sie wird von ihm als eine Zeit der Öffnung und Erweiterung seines Lebens erfahren, zugleich aber auch als eine Zeit der Verunsicherung. Der Ethikunterricht will in seiner anthropologischen Dimension dem Schüler die Möglichkeit eröffnen, Fragen nach seinem Selbstverständnis als Natur- und Kulturwesen zu stellen und zu beantworten. So vermittelt er ihm Perspektiven für die Gestaltung des eigenen Lebens",Anthropologie,anthropologischen,Thüringen,Gym,,2012,"Ethik, Philo",719
720,"Lernbereich : Religion in der Gegenwart Ustd. Kennen unterschiedlicher Bedeutungen von Religion Abgrenzung von Aberglaube und Ideologie Glaubensgemeinschaften und Sondergemeinschaften Begriffsanalyse Sich positionieren zu einer ausgewählten Religionskritik szientifisch: Comte, Russell anthropologisch-moralisch: Feuerbach, Nietzsche soziologisch-politisch: Marx psychologisch: Freud eigenständiges Texterschließen mit Anleitung Kennen des Konflikts zwischen wissenschaftlichen und religiösen Welterklärungsmodellen Inquisition Aufklärung Kreationismus versus Evolutionstheorie Suche nach dem Göttlichen in den modernen",Anthropologie,anthropologisch,Sachsen,Gym,,2019,"Ethik, Philo",720
721,"Unterrichts ist ein inhaltliches und methodisches Basiswissen, das im Unterricht der Sekundarstufe I erworben wird. Hier wird grundlegend eine philosophierende Haltung eingeübt, indem die spezifischen Fragestellungen der Erkenntnistheorie, Ethik und Anthropologie erschlossen werden. Die folgende Übersicht nennt für den Unterricht der Qualifikationsphase die verbindlichen Themenbereiche und die anzustrebenden Kompetenzen. Mit diesen sind die Standards gesetzt. Die Themenbereiche folgen in Inhalt und",Anthropologie,Anthropologie,Bremen,Gym,Sek2,2009,"Ethik, Philo",721
722,"welche Ganzschrift bzw. Ganzschriften zu behandeln sind, wird den Schulen von der Schulaufsichtsbehörde für jeden Abiturjahrgang rechtzeitig mitgeteilt. Themenfelder Hauptphase der gymnasialen Oberstufe Themenfelder Halbjahr der Hauptphase Allgemeine Ethik LK Anthropologie - Freiheit und Verantwortung grundlegende Aspekte Stunden Glück und das gute Leben Stunden Grundbegriffe der Ethik und der Moral Stunden Argumentieren ca. Stunden im Jahr Themenfelder Halbjahr der Hauptphase Allgemeine",Anthropologie,Anthropologie,Saarland,Gym,Sek2,2019,"Ethik, Philo",722
723,"Humanitätsbegriffs beurteilen; begründen, dass Bürger/innen Mitverantwortung für gesellschaftspolitische Entscheidungen tragen; den rechtsstaatlichen Anspruch an den Einzelnen auf ihr eigenes Entscheiden und Handeln im öffentlichen Raum in einem Streitgespräch anwenden. Themenbereich Anthropologie: Die Schülerinnen und Schüler können unterschiedliche anthropologische Positionen erläutern; darlegen, dass die Frage nach dem Selbstverständnis des Menschen im Zentrum anthropologischer Reflexion steht; begründen, dass anthropologische Kernannahmen auf Postulaten basieren;",Anthropologie,Anthropologie,Bremen,Gym,Sek2,2009,"Ethik, Philo",723
724,Fragen Was kann ich wissen Was soll ich tun Was darf ich hoffen Was ist der Mensch eingeteilt in die Themenbereiche Q: Erkenntnistheorie Q: Ethik Q: Rechts- und Staatsphilosophie Q. Anthropologie Die Beschäftigung mit den genannten Themenbereichen vermittelt den Schülerinnen und Schülern grundlegende Positionen und Fragen der jeweiligen philosophischen Disziplinen; bei der unterrichtlichen Gestaltung sollen zudem übergreifende Zusammenhänge verdeutlicht werden. Die,Anthropologie,Anthropologie,Bremen,Gym,Sek2,2009,"Ethik, Philo",724
725,"Aufgabe sieht und die für einen Verständigungsprozess über weltanschauliche Grenzen hinweg notwendige rationale Basis darstellt. Um zu lernen, sich und andere als gleichwertige Personen zu verstehen, stellt die Philosophie die anthropologische Frage Was ist der Mensch. Sie fragt damit nach der allen gleichermaßen unterstellten Vernunftbegabung und Würde, d.h. nach dem Gemeinsamen in der Natur resp. dem Wesen des Menschen. Der Philosophieunterricht",Anthropologie,anthropologische,Bremen,Oberschule,,2017,"Ethik, Philo",725
726,Wirklichkeit als Problem der Erkenntnistheorie interpretieren lebenspraktische Fragen als Probleme der Ethik identifizieren und interpretieren Recht und Gerechtigkeit als tragende Prinzipien der Gemeinschaft verstehen das eigene Selbstverständnis als Problem der Anthropologie interpretieren. Kommunizieren Die Schülerinnen und Schüler können das eigene vorreflexive Wirklichkeitsverständnis problematisieren die Implikationen und Konsequenzen eigener moralischer Wertungen problematisieren sich gegenüber fremden moralischen Wertungen argumentativ verhalten eigene Ansprüche auf,Anthropologie,Anthropologie,Bremen,Oberschule,,2017,"Ethik, Philo",726
727,der Erkenntnistheorie darstellen unter Verwendung sachadäquater Termini die Frage der Ethik darstellen unter Verwendung sachadäquater Termini die Frage der Rechts- und Staatsphilosophie darstellen unter Verwendung sachadäquater Termini die Frage der Anthropologie darstellen. Analysieren Die Schülerinnen und Schüler können die erkenntnistheoretische Problematik des naiven Wirklichkeitsbegriffs analysieren die Termini Subjekt und Objekt als Konstituenten erkenntnistheoretischer Reflexion anwenden moralische Fragen Kriterien geleitet Selbst- versus,Anthropologie,Anthropologie,Bremen,Oberschule,,2017,"Ethik, Philo",727
728,"die Gültigkeit und Plausibilität von Geltungsansprüchen wie den Anspruch auf Wahrheit von Erkenntnissen oder den Anspruch auf Richtigkeit moralischer Prinzipien und setzt sich mit konkurrierenden Denkmodellen innerhalb der Reflexionsbereiche - Anthropologie, Ethik, Erkenntnistheorie, Geschichte und Gesellschaft, Metaphysik, Philosophie der Lebenskunst, Sprachphilosophie - auseinander. Der Kern der Philosophie besteht im Philosophieren, der Tätigkeit des philosophischen Denkens, der philosophischen Kritik und Reflexion. Demzufolge",Anthropologie,Anthropologie,MeckPomm,Gym,Sek2,,"Ethik, Philo",728
729,"Kantischen Fragen: Was kann ich wissen Was soll ich tun Was darf ich hoffen Was ist der Mensch Überblick und Orientierungswissen über philosophische Disziplinen: Metaphysik Erkenntnistheorie Wissenschaftstheorie Sprachphilosophie Ästhetik Phänomenologie Anthropologie Kulturphilosophie Politische Philosophie Lebenskunst Ethik Angewandte Ethik Formen des Philosophierens Aufzeigen verschiedener Formen des Philosophierens metaphorisches und symbolisches Denken Philosophieren in und mit unterschiedlichen Medien: Bilder, Filme, Musik, kontinuierliche und",Anthropologie,Anthropologie,MeckPomm,Gym,Sek2,,"Ethik, Philo",729
730,zum Teil auch umfassendere Begründungen bzw. Herleitungen normativer Modelle zu berücksichtigen. Hierbei sollten in geeignetem Umfang auch Originaltexte einbezogen werden. Neben der philosophischen Ethik sind zudem auch Gesichtspunkte aus der Anthropologie und der Erkenntnistheorie zu thematisieren. Besonderes Gewicht haben auch ethische Akzentuierungen der Religionen bzw. Weltanschauungen. Geeignete Forschungsergebnisse der Naturwissenschaften sind bei der Erörterung bestimmter ethischer Fragen in angemessener Weise einzubeziehen.,Anthropologie,Anthropologie,Niedersachsen,Oberschule.pdf,,,"Ethik, Philo",730
731,"der MINT-Fächer Metaebene: Untersuchung, ob Philosophie eine Wissenschaft oder Metawissenschaft ist Auseinandersetzung mit Methoden der logischen Analyse erkenntnistheoretischer Probleme Reflexionsbereich: Sprachphilosophie Aussagenlogik, MD Ausblick zur Kritik an rational-funktionalistischem Denken Reflexionsbereiche: Anthropologie, Metaphysik, Erkenntnistheorie Problem des epistemischen Anthropozentrismus Infragestellung von Letztbegründung - Münchhausen-Trilemma Recht und Norm ca. / Unterrichtsstunden Verbindliche Inhalte Hinweise und Anregungen Grundbegriffe der Ethik Abgrenzung der Begriffe Ethik und",Anthropologie,Anthropologie,MeckPomm,Gym,Sek2,,"Ethik, Philo",731
732,"Staat ermöglicht dem einzelnen, von Natur aus vernunftbegabten Mitglied, in den Prozess der Aufklärung einzutreten und damit den Staat zu reformieren. I. Kant, Beantwortung der Frage: Was ist Aufklärung Q Anthropologie Das Menschenbild auf empirischnaturalistischer Grundlage Der Mensch als bloße Materie P.-H. dHolbach Subjekt und Selbstmodell Th. Metzinger Aspekte des Subjektbegriffs Der Mensch als Selbstzweck I. Kant Die nicht-reduzierbare Subjektivität Th.",Anthropologie,Anthropologie,Bremen,Gym,Sek2,2009,"Ethik, Philo",732
733,"deskriptiver und Metaethik Erarbeitung des Spannungsfeldes zwischen Moral und Recht Zweck und Funktion von Werten, Funktion von Normen ethische Systeme inhaltliche Auseinandersetzung und kritische Prüfung verschiedener ethischer Konzepte Reflexionsbereiche: Ethik, Anthropologie, Geschichte und Gesellschaft, Sprachphilosophie, Metaphysik, Erkenntnistheorie, Lebenskunst Darstellung und Vergleich der verschiedenen ethischen Herangehensweisen: nach dem Ziel des Handelns Hedonismus, Eudaimonismus, Utilitaristische Ethik nach dem Ursprung der Verpflichtung des Handelns",Anthropologie,Anthropologie,MeckPomm,Gym,Sek2,,"Ethik, Philo",733
734,"deontologische Ethik nach der Begründung ethischer Verpflichtung Non-Kognitivismus und Kognitivismus zusätzlich für den Leistungskurs Normen im Streit DRF kritische Reflexion im Spannungsfeld der Perspektiven aus Recht und Philosophie Reflexionsbereiche: Ethik, Anthropologie, Geschichte und Gesellschaft, Sprachphilosophie, Metaphysik, Erkenntnistheorie, Lebenskunst Diskussion der Fragen: der Kodifizierung oder Rechtfertigung von Normen oder der Anerkennung von Normen aus rein gesellschaftlichen Praktiken ohne normativen Anspruch der Notwendigkeit",Anthropologie,Anthropologie,MeckPomm,Gym,Sek2,,"Ethik, Philo",734
735,"Themenbereichs lautet: Wie müssen wir uns auf die Welt und auf uns als Mitglieder einer Gesellschaft beziehen, damit wir uns selber als vernünftige und verantwortliche Personen verstehen können Q Themenbereich Anthropologie - Das grundlegende Selbstverständnis des Menschen Der Themenbereich fokussiert die Frage nach dem Wesen des Menschen. Schülerinnen und Schüler werden im Rahmen empirischer Sichtweisen z.B. Naturwissenschaften mit einem objektiv beschreibbaren",Anthropologie,Anthropologie,Bremen,Gym,Sek2,2009,"Ethik, Philo",735
736,"Recht, Gerechtigkeit. URTEILSKOMPETENZ Die Schülerinnen und Schüler erörtern Konsequenzen, die sich aus der Sonderstellung des Menschen im Reich des Lebendigen ergeben, sowie die damit verbundenen Chancen und Risiken, bewerten den anthropologischen Ansatz zur Bestimmung des Unterschiedes von Mensch und Tier hinsichtlich des Einbezugs wesentlicher Aspekte des Menschseins, p g p g p bewerten begründet die Tragfähigkeit der behandelten ethischen und rechtsphilosophischen",Anthropologie,anthropologischen,NRW,Gym,Sek2,2014,"Ethik, Philo",736
737,"Haustiere bieten die Gelegenheit, eigene Erfahrungen beizusteuern, Wildtiere werden gemocht und bewundert, Artensterben bemerkt. Auch der Bereich der Pflanzen eignet sich für das Philosophieren in der Orientierungsstufe, weil die klassischen anthropologischen Wesensbestimmungen Intelligenz, Sprache, Leidensfähigkeit hier besonders deutlich werden. Ziel dieses Themenfeldes ist es, Schülerinnen und Schüler darin zu unterstützen, erste reflektierte Haltungen zum Komplex Tier-Mensch-Umwelt zu entwickeln. Fragen nach dem",Anthropologie,anthropologischen,Rheinland-Pfalz,,Sek1,2021,"Ethik, Philo",737
738,"rekonstruieren eine philosophische Position, die sich kritisch mit einem reduktionistischen Menschenbild auseinandersetzt, in ihrem argumentativen Aufbau. URTEILSKOMPETENZ Die Schülerinnen und Schüler bewerten kriteriengeleitet und differenziert argumentierend die Tragfähigkeit der behandelten anthropologischen Positionen zur Orientierung in grundlegenden Fragen des Daseins, erörtern unter Bezugnahme auf die behandelten kulturanthropologischen Positionen argumentativ abwägend die Frage nach der Bedeutung von Natur und Kultur für den Menschen,",Anthropologie,anthropologischen,NRW,Gym,Sek2,2014,"Ethik, Philo",738
