term,total_across_topics,Topic_1,Topic_2,Topic_3,Topic_4,Topic_5,Topic_6,Topic_7,Topic_8,Topic_9,Topic_10,Topic_11,Topic_12,Topic_13,Topic_14,Topic_15,Topic_16,Topic_17,Topic_18,Topic_19,Topic_20
kompetenzbereiche,12,0.0009,0.0014,0.0017,0.0001,0.0013,0.0032,0.0001,0.0003,0.0017,0.0033,0.0001,0.0003,0.0006,0.0005,0.0005,0.0002,0.0307,0.0004,0.0016,0.0027
methode,12,0.0306,0.0014,0.0016,0.011,0.0014,0.0033,0.0001,0.0002,0.0018,0.0034,0.0061,0.008,0.0006,0.0005,0.0094,0.0004,0.0002,0.0004,0.0365,0.0026
projekt,12,0.0009,0.0014,0.0016,0.0001,0.0014,0.0033,0.0203,0.0003,0.002,0.0034,0.0001,0.008,0.0006,0.0005,0.0004,0.0002,0.0001,0.0004,0.0016,0.0027
situation,12,0.0009,0.0014,0.0016,0.0001,0.0015,0.0031,0.0001,0.0002,0.0016,0.0035,0.007,0.0003,0.0074,0.0488,0.0004,0.0002,0.0002,0.0004,0.0015,0.0026
urteil,12,0.001,0.0014,0.0016,0.0076,0.0014,0.0032,0.0001,0.0003,0.0495,0.0034,0.015,0.0003,0.0006,0.0005,0.013,0.0002,0.0005,0.0004,0.0016,0.0026
begründen,11,0.0009,0.0014,0.0018,0.0005,0.0014,0.0032,0.0006,0.0002,0.0018,0.0033,0.0029,0.0003,0.0006,0.0005,0.0004,0.0002,0.0048,0.0409,0.0015,0.0027
berücksichtigen,11,0.0009,0.0014,0.0016,0.0002,0.0014,0.0063,0.0001,0.0002,0.0017,0.0034,0.0256,0.0003,0.0006,0.0108,0.0004,0.0002,0.0001,0.0008,0.0016,0.0027
demokratisch,11,0.0009,0.0014,0.0017,0.0001,0.0013,0.0033,0.0225,0.0002,0.0019,0.0032,0.0031,0.0005,0.0006,0.0004,0.0004,0.0002,0.0001,0.0004,0.0015,0.0029
differenz,11,0.0009,0.0014,0.0016,0.0003,0.0013,0.0061,0.0001,0.0002,0.0017,0.0035,0.0256,0.0003,0.0006,0.0005,0.0004,0.0036,0.0001,0.0007,0.0017,0.0027
fördern,11,0.0209,0.0014,0.0196,0.0131,0.0013,0.0035,0.0002,0.0004,0.0017,0.0034,0.0001,0.0003,0.0006,0.0005,0.0095,0.0002,0.0002,0.0004,0.0016,0.0026
führen,11,0.0009,0.0557,0.0016,0.0002,0.0044,0.0032,0.0041,0.0002,0.0016,0.0034,0.0001,0.0003,0.0093,0.0158,0.0004,0.0002,0.0001,0.0004,0.0015,0.0026
gegenstand,11,0.0009,0.0013,0.0016,0.0001,0.0014,0.0032,0.0203,0.0003,0.0021,0.0034,0.0001,0.0003,0.0006,0.0005,0.0004,0.0002,0.0001,0.0004,0.0015,0.0026
gestaltung,11,0.0009,0.0014,0.0017,0.0006,0.0014,0.0062,0.0001,0.0002,0.0017,0.0037,0.0256,0.0003,0.0006,0.0005,0.0004,0.0002,0.0001,0.0208,0.0016,0.0027
grenzüberschreitende,11,0.0009,0.0014,0.0016,0.0001,0.0014,0.0032,0.0203,0.0003,0.002,0.0034,0.0001,0.0003,0.0006,0.0005,0.0004,0.0002,0.0001,0.0004,0.0016,0.0026
interkulturell,11,0.001,0.0014,0.0017,0.0117,0.0013,0.0035,0.0099,0.0002,0.0017,0.0034,0.0001,0.0003,0.0006,0.0005,0.0004,0.0002,0.0001,0.0004,0.0016,0.0029
multilateral,11,0.0009,0.0014,0.0016,0.0001,0.0014,0.0034,0.0203,0.0003,0.0021,0.0034,0.0001,0.0003,0.0006,0.0005,0.0004,0.0002,0.0001,0.0004,0.0016,0.0026
team,11,0.0009,0.0014,0.0017,0.0001,0.0014,0.0033,0.0002,0.0002,0.0017,0.0033,0.0001,0.0355,0.0006,0.0005,0.0004,0.0002,0.0001,0.0005,0.0015,0.0027
unterstützen,11,0.0009,0.0014,0.0016,0.0001,0.0014,0.0032,0.0203,0.0003,0.0021,0.0034,0.0001,0.0003,0.0006,0.0005,0.0004,0.0002,0.0001,0.0004,0.0016,0.0027
vernetzt,11,0.0009,0.0014,0.0196,0.0001,0.0013,0.0032,0.0001,0.0383,0.0017,0.0034,0.0001,0.0003,0.0006,0.0005,0.0004,0.0002,0.0001,0.0004,0.0192,0.0026
