,text_excerpt,state,school type,grade,year,subject,doc_id
28054,"den Hottentotten Schriftarten Darstellung von Fremden/Ausländern/fremden Ländern in den Medien Der sprachliche und kulturelle Reichtum in Europa, weltweit Englisch und seine Derivate Kommunikationssituationen erfolgen. Das setzt Reflexion über kulturbedingte Verhaltensweisen, Normen und Werte voraus. Das sprachliche Lernen stellt sich dabei als Teil eines Bildungsprozesses dar, in dem die Schüler lernen, ihre Weltsicht zu relativieren, um sich mit anderen zu verständigen. Mathematik",MeckPomm,,1-13,2002,"Psychologie, Gesundheit",28054
28055,"den auf den verschiedenen Ebenen bestehenden politischen Strukturen und den jeweils gegebenen Verfahren der politisch-gesellschaftlichen Entscheidungsfindung ist dazu geeignet, zur Auseinandersetzung mit den im demokratisch verfassten Gemeinwesen geltenden Werten und Normen beizutragen. Hierbei kann z. B. über die verschiedenen Werthaltungen und Einstellungen diskutiert werden, die Konzepten wie dem der repräsentativen Demokratie einerseits und Verfahren wie dem der direkten Demokratie andererseits unterlegt",Hamburg,Stadtteilschule,5-11,2024,Sozialkunde,28055
28056,sind Menschenrechte Gibt es eine Art Menschheitsfamilie Welche Regeln würden in einer solchen gelten Haben Kinder spezielle Rechte Welche Formen von Gerechtigkeit gibt es Was ist normal Was ist eine Norm Sind in der Familie andere Werte wichtig als in der Schule Was tut man nicht Was macht man so Wie werden solche Normen begründet Welche Werte stehen hinter den vermittelten,Rheinland-Pfalz,,Sek1,2021,"Ethik, Philo",28056
28057,korrespondiert. Mit den Themen dieses Moduls kann ein Beitrag zur Werteerziehung im Sinne von Toleranz und konstruktivem Miteinander geleistet werden. Zugleich bieten die Themen auch Gelegenheit zur Auseinandersetzung mit rechtsstaatlichen Normen. Themenbereich : Gesellschaft Gerechtigkeit und Wohlstandsverteilung Übergreifend Inhalte Fachbezogen Umsetzungshilfen Leitperspektiven Aufgabengebiete Berufsorientierung Interkulturelle Erziehung Sozial- und Rechtserziehung Sprachbildung Fachübergreifende Bezüge Leitgedanken Die Bedeutung der Gerechtigkeit und der Wohlstandsverteilung für,Hamburg,Stadtteilschule,5-11,2024,Sozialkunde,28057
28058,"arbeiten; - unterschiedliche methodische Zugänge zu einem Thema abwägen und sich begründet für einen Zugang entscheiden; - unterschiedliche politische Gesprächsformen nutzen; - Aufgabenstellungen produktorientiert; - sich kritisch mit politisch-sozialen Ideen, Normen, Theorien, Ideologien und Modellen auseinandersetzen, indem sie nach Zielen, Begründungen und Interessensbindungen fragen; - kontroverse Positionen im aktuellen politischen Geschehen nach impliziten Werthaltungen, verfolgten Interessen der Beteiligten und möglichen Auswirkungen",Bremen,Gym,Sek2,2008,Sozialkunde,28058
28059,"als Bedingung der Erfahrung Was heißt normal Meine Wirklichkeit in den Augen des Anderen; Beständigkeit/ Veränderung Was soll ich tun Gerechtigkeit und Moral Gewissen und Verantwortung Unterschiedliche Regelsysteme Vorschriften, Gebote, Normen, Gesetze Was darf ich hoffen Utopien Lebensentwürfe und gesellschaftliche Glücksvorstellungen Was ist der Mensch Dimensionen des Mensch-Seins I Der Mensch als Homo Faber, Homo Ludens, Homo Investigans, Homo Pictor Dimensionen",Bremen,Gym,5-9,2017,"Ethik, Philo",28059
28060,"einem Sachverhalt formulieren, wobei die Kriterien und die wesentlichen Gründe für die Beurteilung offen gelegt werden Bewerten Stellung nehmen III Einen Sachverhalt oder ein Material nach selbst gewählten und begründeten Normen oder Kriterien beurteilen, wobei diese persönlichen Wertbezüge offenbart werden Erschließen III Etwas Neues oder nicht explizit Formuliertes auf der Basis von Theorien und Modellen durch Schlussfolgerungen herleiten Entwerfen III Ein",Bremen,Gym,5-9,2017,"Ethik, Philo",28060
28061,"Auf der Grundlage der Betrachtung der Sozialisation werden verschiedene Lebensentwürfe, gesellschaftliche Erfahrungen und familiäre Lebensformen sowie der Umgang damit thematisiert. Kompetenzen Fachbegriffe Anerkennung, Diskriminierung, Diversität, Emanzipation, Fachkräftemangel, Identität, Individualisierung, De-Kolonialismus, Normen und Werte, kultureller und biologistischer Rassismus, Patriarchat, Peergroups, Soziologie, Status, Willkommenskultur, Zugehörigkeit Fachinterne Bezüge Gerechtigkeit Recht bleibt zunächst leer Sozialisation Prozesse der Sozialisation Gruppenrollen, Gruppendynamik und Gruppendruck in Institutionen und",Hamburg,Stadtteilschule,5-11,2024,Sozialkunde,28061
28062,"Vorstellungen und den lebendigen Austausch mit anderen ermöglicht. Kompetenzorientierung im Fach Ethik Kompetenzstrukturmodell Im Kompetenzstrukturmodell für das Fach Ethik sind die zentralen Kompetenz- und Gegenstandsbereiche mit den ethischen Leitbegriffen Werte, Normen, Moral und Sinn verbunden, wodurch der spezifische Charakter des Faches sichtbar wird. Moralisches Lernen ist in allen Jahrgangsstufen sowohl kognitives als auch die Motivation förderndes Lernen. Dies bedeutet, dass die",Bayern,Gym,6,,"Ethik, Philo",28062
28063,"Moralisches Lernen ist in allen Jahrgangsstufen sowohl kognitives als auch die Motivation förderndes Lernen. Dies bedeutet, dass die Schülerinnen und Schüler im Ethikunterricht nicht nur verstehen sollen, welche Werte und Normen gelten und warum sie gelten, sondern auch lernen, dass für ein gelingendes Leben das Engagement für diese Werte und Normen notwendig ist. Die Beschäftigung mit der Sinnfrage bezüglich der Motivation",Bayern,Gym,6,,"Ethik, Philo",28063
