term,total_across_topics,Topic_1,Topic_2,Topic_3,Topic_4,Topic_5,Topic_6,Topic_7,Topic_8,Topic_9,Topic_10,Topic_11,Topic_12
rechtlich,167,0.0149,0.0,0.0,0.0,0.0,0.0,0.0002,0.0,0.0,0.0,0.0,0.0
prinzip,165,0.0036,0.0,0.0039,0.0027,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0076
information,165,0.0,0.0,0.0,0.0,0.0032,0.0,0.0144,0.0,0.0014,0.0,0.0,0.0
fachlich,165,0.0,0.0,0.0,0.0039,0.0,0.0107,0.0,0.0,0.0,0.0014,0.0,0.0
inhaltsfeld,164,0.0,0.0,0.0,0.0092,0.0069,0.0,0.0,0.0,0.0,0.0,0.0,0.0
person,162,0.0114,0.0,0.0012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
stehen,161,0.0,0.0,0.0029,0.0113,0.0018,0.0,0.0,0.0,0.0,0.0,0.0,0.0001
staatlich,159,0.0,0.0,0.0,0.0,0.0,0.0,0.0006,0.0,0.0003,0.0112,0.015,0.0
digital,158,0.0,0.0,0.0,0.0012,0.0,0.0,0.0175,0.0,0.0,0.0,0.0,0.0
argument,157,0.0,0.018,0.0027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
herausforderung,150,0.0009,0.0,0.0017,0.0027,0.0099,0.0,0.0,0.0,0.0016,0.0,0.0009,0.0
zusammenleben,148,0.0,0.0,0.0006,0.0,0.0,0.0,0.0,0.0,0.0106,0.0,0.0,0.003
naturwissenschaftlich,147,0.0,0.0,0.0,0.0081,0.0,0.0,0.0043,0.0,0.0,0.0,0.0,0.0
untersuchen,144,0.0,0.0,0.0,0.0,0.0,0.0,0.009,0.0,0.0036,0.0,0.0,0.0
gegenwart,142,0.0,0.0,0.0,0.0008,0.0,0.0079,0.0,0.0,0.0045,0.0,0.0,0.0
angemessen,142,0.0,0.0086,0.0,0.0,0.0,0.0,0.0,0.0097,0.0,0.0004,0.0,0.003
lernbereich,142,0.0,0.0,0.0,0.012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
führen,141,0.0,0.0093,0.0,0.0038,0.0,0.0,0.0,0.0,0.0,0.0042,0.0,0.0
gewissen,139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0114,0.0,0.0,0.0
jugendliche,139,0.0,0.0,0.0028,0.0003,0.0018,0.0,0.0,0.0,0.0019,0.0,0.0122,0.0
klassenstuf,139,0.0,0.0036,0.0131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0028,0.0
bedürfnis,138,0.0,0.0047,0.0,0.0075,0.0,0.0001,0.0006,0.0,0.0,0.0,0.0,0.0
erschließen,138,0.0,0.0,0.0109,0.0,0.0,0.0,0.0014,0.0,0.0044,0.0,0.0,0.0
international,138,0.0,0.0,0.0,0.0,0.0188,0.001,0.0,0.0,0.0,0.0,0.0,0.0
kenntnis,137,0.0,0.0,0.0,0.0069,0.0,0.0014,0.0,0.0045,0.0,0.0,0.0,0.0
schwerpunkt,136,0.0,0.0,0.0,0.0,0.0057,0.0084,0.0,0.0008,0.0003,0.0,0.0,0.0
pflicht,135,0.0,0.0,0.0189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
treffen,135,0.0029,0.0182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
medial,135,0.0,0.0,0.0,0.0,0.0141,0.0,0.0,0.0,0.0053,0.0,0.0,0.0
bedingung,132,0.0,0.0,0.0,0.0,0.0056,0.0,0.0,0.0,0.0,0.0,0.0,0.0155
vertreten,129,0.0,0.0224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
aktuell,128,0.0,0.0,0.0,0.0022,0.0,0.0,0.0012,0.0,0.0012,0.0,0.012,0.0
funktion,127,0.0,0.0,0.0,0.002,0.0002,0.0022,0.0,0.0,0.0,0.0,0.0149,0.0
system,126,0.0102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chance,125,0.0035,0.0,0.0,0.0035,0.0094,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tragen,124,0.0,0.0,0.0,0.0,0.0,0.0087,0.0,0.0033,0.0,0.0,0.0011,0.0
selbstständig,124,0.001,0.0096,0.0004,0.0,0.0,0.0,0.0003,0.002,0.0005,0.0,0.0,0.0032
inhaltsfelder,122,0.0,0.0005,0.0,0.0068,0.0,0.0033,0.0,0.0,0.0,0.0,0.0,0.0
