term,total_across_topics,Topic_1,Topic_2,Topic_3,Topic_4,Topic_5,Topic_6,Topic_7,Topic_8,Topic_9,Topic_10,Topic_11,Topic_12,Topic_13,Topic_14,Topic_15
neuzeit,56,0.0,0.0049,0.0,0.0001,0.0,0.0,0.0,0.0001,0.0001,0.0111,0.0014,0.0033,0.0,0.0,0.0
religionsunterricht,56,0.0,0.0,0.0,0.0001,0.0,0.0,0.0348,0.0001,0.0001,0.0,0.0,0.0,0.0,0.0,0.0
kommunikation,56,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0001,0.0001,0.0,0.0102,0.0,0.0,0.0052,0.0
system,56,0.0045,0.0,0.0,0.0001,0.0,0.0,0.0,0.0001,0.0001,0.0,0.0018,0.0,0.0,0.0097,0.0
methodischdidaktisch,55,0.0,0.0,0.0137,0.0001,0.0,0.0,0.0001,0.0001,0.0028,0.0,0.0,0.0,0.0,0.0,0.0046
tradition,55,0.0,0.0,0.0,0.0001,0.0,0.001,0.0,0.0001,0.0001,0.0,0.0094,0.0011,0.0,0.0009,0.0024
prägen,54,0.0,0.0,0.011,0.0001,0.0076,0.0,0.0,0.0001,0.0001,0.0,0.002,0.0,0.0,0.0,0.0
sport,54,0.0,0.0,0.0195,0.0001,0.0,0.0,0.0179,0.0001,0.0001,0.0,0.0,0.0,0.0,0.0,0.0
gemeinschaft,53,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0001,0.0001,0.0,0.0,0.0,0.0,0.0,0.0095
weltanschauung,52,0.0,0.0,0.0077,0.0001,0.0,0.0,0.0,0.0288,0.0001,0.0,0.0,0.0,0.0031,0.0,0.0
inklusion,52,0.0,0.0,0.0,0.0605,0.0,0.0,0.0,0.0001,0.0001,0.0,0.0,0.0,0.0,0.0,0.0
spiel,52,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0001,0.0001,0.0,0.0,0.0,0.0,0.0,0.0111
familie,52,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0001,0.0001,0.0266,0.0,0.0,0.0,0.0,0.0028
staat,51,0.0118,0.0054,0.0,0.0001,0.0003,0.0,0.0,0.0001,0.0001,0.0,0.0,0.0,0.0,0.0,0.0
friedlich,49,0.0,0.0027,0.0,0.0001,0.0,0.0011,0.0,0.0001,0.0001,0.0,0.0,0.0,0.0137,0.0,0.0028
mecklenburgvorpommern,49,0.0,0.0,0.0046,0.0001,0.0,0.015,0.0,0.0001,0.0001,0.0,0.0,0.0,0.0062,0.0007,0.0
wertvorstellung,49,0.0,0.0,0.0044,0.0001,0.0,0.0,0.0,0.0118,0.0001,0.0,0.0,0.001,0.0131,0.0,0.0
fördern,47,0.0,0.0,0.0,0.0041,0.0098,0.0039,0.0,0.0001,0.0001,0.0,0.0,0.0009,0.0,0.0,0.0
kenntnis,47,0.0,0.0026,0.0,0.0001,0.0,0.0,0.0,0.0001,0.0001,0.0068,0.0,0.0073,0.0,0.0004,0.0001
englisch,47,0.0,0.0,0.0,0.0001,0.0,0.0,0.0291,0.0001,0.0001,0.0,0.0,0.0,0.0,0.0,0.0
erwerb,47,0.0,0.0,0.0,0.0001,0.0005,0.0,0.0,0.0001,0.0094,0.0,0.0045,0.0,0.0151,0.0,0.0
gemeinsamkeit,44,0.0,0.0,0.029,0.0001,0.0,0.0,0.0,0.0001,0.0001,0.0,0.0,0.0,0.0,0.0,0.0
verstehen,44,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0001,0.0074,0.0,0.0106,0.0,0.0001,0.0,0.0
mittelmeerraum,43,0.0,0.0099,0.0,0.0001,0.0,0.0,0.0,0.0001,0.0001,0.0,0.0,0.0,0.0,0.0,0.0
armut,43,0.0,0.0,0.0,0.0001,0.0,0.0,0.0039,0.0175,0.0079,0.0,0.0,0.0,0.0,0.0,0.0017
position,43,0.0011,0.0,0.0,0.0001,0.0004,0.0,0.0,0.0001,0.0001,0.0,0.0082,0.0,0.0,0.0019,0.0
stadt,43,0.0022,0.0091,0.0,0.0001,0.0,0.0,0.0,0.0001,0.0001,0.0,0.0,0.0,0.0,0.0,0.0
frau,42,0.0,0.0001,0.0,0.0001,0.0039,0.0126,0.0,0.0001,0.0001,0.0,0.0,0.0,0.0,0.0,0.0
wirklichkeit,42,0.0022,0.0,0.0027,0.0001,0.0,0.0,0.0,0.0221,0.0001,0.0,0.0,0.0,0.0,0.0,0.0008
bne,42,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0001,0.0001,0.0,0.0031,0.0103,0.0,0.0,0.0
lehrplan,42,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0001,0.0213,0.0,0.0,0.0,0.0067,0.0,0.0019
lebensform,41,0.0,0.0027,0.0,0.0001,0.0,0.0,0.0,0.0001,0.0207,0.0,0.0017,0.0,0.0,0.0,0.0
beschäftigung,40,0.0,0.0,0.0,0.0001,0.004,0.0098,0.0,0.0001,0.0001,0.004,0.0,0.0,0.0,0.0,0.0
national,39,0.0133,0.0,0.0,0.0001,0.0008,0.0016,0.0018,0.0001,0.0001,0.0,0.0,0.0,0.0,0.0,0.0
imperium,39,0.0,0.008,0.0,0.0001,0.0,0.0,0.0,0.0001,0.0001,0.0001,0.0,0.0,0.0,0.0,0.0
ökonomisch,39,0.0,0.0,0.0,0.0001,0.0024,0.0,0.0,0.0001,0.0001,0.0,0.0001,0.0,0.0,0.0101,0.0
inhaltsfeld,38,0.0,0.0,0.0,0.0001,0.0,0.0022,0.0,0.0001,0.0001,0.0221,0.0,0.0,0.0,0.0,0.0
erwerben,38,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0001,0.0001,0.0,0.0,0.0038,0.0097,0.0023,0.0
gruppe,37,0.0,0.0,0.0,0.0001,0.0081,0.0,0.0,0.0032,0.0001,0.0,0.0,0.0,0.0,0.003,0.0
jugend,37,0.0,0.0,0.0259,0.0001,0.0,0.0,0.0,0.0001,0.0001,0.0,0.0,0.0,0.0,0.0,0.0
aufbau,36,0.0005,0.0,0.0,0.0001,0.0086,0.0,0.0,0.0001,0.0001,0.0,0.0,0.0,0.0032,0.0,0.0
geschlecht,36,0.0016,0.0,0.0,0.0001,0.005,0.0,0.0,0.0145,0.0001,0.0,0.0,0.0,0.0,0.0,0.0
weltbilder,36,0.0116,0.0,0.0,0.0001,0.0,0.0,0.0,0.0046,0.0001,0.0,0.0,0.0,0.0001,0.0,0.0
schwerpunkt,36,0.0106,0.0,0.0,0.0001,0.0,0.0021,0.0,0.0001,0.0001,0.0,0.0,0.0,0.0,0.0008,0.0007
latein,36,0.0,0.0,0.0,0.0001,0.0,0.0,0.0223,0.0001,0.0001,0.0,0.0,0.0,0.0,0.0,0.0
thematisch,36,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0001,0.0001,0.0,0.0,0.0,0.0,0.0086,0.0002
