term,total_across_topics,Topic_1,Topic_2,Topic_3,Topic_4,Topic_5,Topic_6,Topic_7,Topic_8,Topic_9,Topic_10,Topic_11,Topic_12,Topic_13,Topic_14,Topic_15
nutzung,169,0.0058,0.003,0.0,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0
art,169,0.0,0.0024,0.0,0.0046,0.0,0.0,0.0007,0.0023,0.0,0.0086,0.0,0.001,0.0,0.0,0.0
begründen,169,0.0,0.0,0.0,0.0147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0128,0.0,0.0
lebensraum,167,0.0,0.0097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
entstehung,167,0.0,0.0,0.0,0.0,0.0,0.0,0.0136,0.0,0.0,0.0,0.0,0.0108,0.0,0.0,0.0
raum,165,0.0153,0.0041,0.0,0.0,0.0,0.0015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sprache,164,0.0,0.0032,0.0,0.0,0.0,0.0,0.0,0.0,0.0101,0.0,0.0,0.003,0.0,0.0,0.0
beziehung,162,0.0,0.0078,0.0,0.0,0.0,0.0009,0.0,0.0,0.0002,0.0,0.0,0.0,0.0,0.0008,0.0
prozeß,162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0141,0.0,0.0,0.0,0.0,0.0,0.0,0.0
norm,161,0.0012,0.0015,0.0,0.0,0.0,0.0023,0.0,0.0014,0.0,0.0011,0.0091,0.0,0.0,0.0,0.0
dimension,159,0.0,0.0005,0.0,0.0,0.0,0.0087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
interesse,158,0.0,0.0,0.0,0.0,0.0041,0.0022,0.0,0.009,0.0,0.0,0.0,0.0,0.0,0.0,0.0
entscheidung,154,0.0,0.0,0.0,0.0,0.0,0.0,0.0035,0.0063,0.0,0.0083,0.0,0.0,0.0,0.0,0.0003
führen,153,0.0104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0175,0.0,0.0,0.0,0.0
bewertung,152,0.0,0.0,0.0,0.0,0.0,0.0,0.0044,0.0,0.0,0.0195,0.0,0.0,0.0,0.0,0.0
anthropologie,152,0.0,0.0,0.0,0.0,0.0,0.0083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wirtschaft,152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0102,0.0,0.0,0.0,0.0,0.0,0.007,0.0
gott,150,0.0,0.0,0.0,0.0,0.0,0.0011,0.0144,0.0,0.0014,0.0,0.0,0.0,0.0,0.0,0.0
staat,150,0.0018,0.0,0.0,0.0,0.0,0.0083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
technisch,150,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0081,0.0033,0.0015,0.0,0.0,0.0005,0.0,0.0017
schwerpunkt,150,0.0305,0.0,0.0,0.0,0.0,0.0005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
themenbereich,148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0182,0.0,0.0,0.0,0.0,0.0,0.0
sexualität,146,0.0,0.0038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0144,0.0
prinzip,146,0.0,0.0,0.012,0.0042,0.0,0.0,0.0,0.0,0.0011,0.0,0.0,0.0,0.0,0.0,0.0044
verfahren,145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0261,0.0,0.0,0.0,0.0
darstellung,145,0.0,0.0,0.0,0.0,0.0,0.0,0.0022,0.0,0.0028,0.0164,0.0,0.0,0.0,0.0,0.0
demokratisch,143,0.0,0.0,0.0019,0.0,0.0027,0.0,0.0,0.0105,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ursache,143,0.0011,0.002,0.0,0.0,0.0,0.0,0.0032,0.0,0.0,0.013,0.0,0.0,0.0,0.0,0.0
themenfeld,142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0028,0.014
wissenschaftlich,141,0.0,0.0,0.0,0.0,0.0,0.0016,0.0,0.0,0.0,0.0,0.0021,0.0128,0.0,0.0018,0.0
kriterium,139,0.0,0.001,0.0079,0.0,0.0,0.0,0.0006,0.0004,0.0039,0.0014,0.0,0.0,0.0,0.0,0.0035
alltag,136,0.0113,0.0,0.0093,0.0,0.0057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
demokratie,136,0.0,0.0,0.0,0.0,0.0023,0.0,0.0,0.0112,0.0,0.0,0.0,0.0,0.0,0.0,0.0
erde,136,0.0053,0.0,0.0,0.0,0.0,0.0,0.0156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lebenswelt,135,0.0118,0.0011,0.0,0.0,0.0,0.0008,0.0009,0.0002,0.0,0.0,0.0058,0.0,0.0,0.0,0.0
bezug,133,0.0106,0.0,0.0,0.0,0.0,0.0,0.0006,0.0066,0.0,0.0,0.0,0.0,0.0,0.0,0.0
menschenrecht,133,0.0027,0.0,0.0211,0.0,0.0,0.0004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
situation,131,0.0,0.0,0.0077,0.0,0.0,0.0,0.0,0.0,0.0,0.0084,0.0058,0.0,0.0,0.0,0.0
angepasstheit,131,0.0,0.0,0.0,0.0098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0073
gemeinschaft,131,0.0,0.001,0.0,0.0,0.0,0.0,0.0029,0.0,0.0,0.0,0.0134,0.0,0.0,0.0,0.0
