term,total_across_topics,Topic_1,Topic_2,Topic_3,Topic_4,Topic_5,Topic_6,Topic_7,Topic_8,Topic_9,Topic_10,Topic_11,Topic_12,Topic_13,Topic_14,Topic_15,Topic_16,Topic_17,Topic_18,Topic_19,Topic_20
fähigkeit,59,0.0,0.0,0.0001,0.0,0.0025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0108,0.007,0.0012,0.0119,0.0045,0.0001,0.0,0.0001
musik,58,0.0,0.0,0.0001,0.0,0.0,0.0343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0001,0.0001,0.0001,0.0,0.0
rolle,58,0.0039,0.0,0.0001,0.0,0.0,0.0,0.0,0.0131,0.0,0.0,0.0024,0.0021,0.0,0.0001,0.0025,0.0001,0.0001,0.0001,0.0041,0.0
projekt,57,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0196,0.0001,0.0,0.0001,0.0,0.0
neuzeit,56,0.0,0.0089,0.0001,0.0,0.0,0.0006,0.0,0.0,0.0,0.0095,0.0,0.0,0.0,0.0001,0.0,0.0001,0.0,0.0001,0.0,0.0
wichtig,56,0.0,0.0,0.0001,0.0,0.0161,0.0,0.0,0.0,0.0,0.0,0.0026,0.0028,0.0,0.0001,0.0033,0.0047,0.0,0.0001,0.0,0.0
religionsunterricht,56,0.0,0.0,0.0001,0.0,0.0,0.0335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0001,0.0,0.0001,0.0,0.0
kommunikation,56,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0002,0.0,0.0,0.0213,0.0,0.0,0.0001,0.0,0.0001,0.0,0.0001,0.0,0.0
system,56,0.0047,0.001,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0001,0.0,0.0001,0.0103,0.0001,0.0,0.0
methodischdidaktisch,55,0.0067,0.0,0.0017,0.0139,0.0,0.0,0.0026,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0028,0.0001,0.0,0.0001,0.0,0.0
prägen,54,0.0088,0.0,0.015,0.0,0.0,0.0,0.0078,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0001,0.0012,0.0001,0.0,0.0
sport,54,0.0,0.0,0.0522,0.0,0.0,0.0136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0001,0.0,0.0001,0.0,0.0
gemeinschaft,53,0.0026,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0023,0.0,0.0,0.0001,0.0119,0.0001,0.0,0.0001,0.0,0.0
weltanschauung,52,0.0,0.0,0.0137,0.0,0.0,0.0,0.0054,0.0,0.0,0.0,0.0,0.0,0.0138,0.0001,0.0,0.0001,0.0,0.0108,0.0,0.0
inklusion,52,0.0,0.0,0.0001,0.0045,0.0294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0001,0.0,0.0001,0.0,0.0
spiel,52,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0211,0.0,0.0001,0.0,0.0001,0.0,0.0001,0.0,0.0
familie,52,0.0009,0.0,0.0001,0.0,0.0,0.0054,0.0,0.0,0.0,0.0052,0.0,0.0,0.0,0.0001,0.0118,0.0001,0.0,0.0001,0.0,0.0
staat,51,0.0094,0.0013,0.0001,0.0,0.0,0.0,0.0,0.0144,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0001,0.0,0.0001,0.0,0.0
grundlegend,50,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0043,0.0001,0.0,0.027,0.0049,0.0001,0.0004,0.0
herausforderung,50,0.0076,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0009,0.0001,0.008,0.0001,0.0,0.0
entstehung,50,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0108,0.0,0.0155,0.0,0.0,0.0,0.0001,0.0004,0.0001,0.0,0.0001,0.0066,0.0
