Bundesland,Fach,Schulart,Klassenstufe(n),Jahr,Gesamtwortanzahl,Referenz,Dateiname
Bayern,Geschichte,Realschule.pdf,,2023,13658,Staatsinstitution für Schulqualität und Bildungsofrschung München (2023). Fachprofil Geschichte Realschule. https://www.lehrplanplus.bayern.de/fachprofil/realschule/geschichte/8,LP Bayern Geschichte Realschule.pdf
Bayern,Psychologie,Gym,"12,13",o. J.,1664,"Staatsinstitution für Schulqualität und Bildungsforschung München (o. J.). Fachlehrplane Psychologie Gymnasium 12, 13. https://www.lehrplanplus.bayern.de/fachlehrplan/gymnasium/12/ps","LP Bayern Psychologie Gym 12,13.pdf"
Bayern,Sozialkunde,Gym,8,2023,2480,Staatsinstitution für Schulqualität und Bildungsforschung München (o. J.). Fachlerpläne Politik und Gesellschaft Gymnasium Klasse 8.https://www.lehrplanplus.bayern.de/fachlehrplan/gymnasium/8/pug,LP Bayern Politik und Gesellschaft Gym 8 2023.pdf
Bayern,Sozialkunde,Gym,8,2023,952,Staatsinstitution für Schulqualität und Bildungsforschung München (o. J.). Fachlerpläne Wirtschaft und Recht Gymnasium Klasse 8. https://www.lehrplanplus.bayern.de/fachlehrplan/gymnasium/8/wirtschaft-und-recht,LP Bayern Wirtschaft und Recht Gym 8 2023.pdf
Bayern,Sozialkunde,Gym,9,2023,938,Staatsinstitution für Schulqualität und Bildungsforschung München (o. J.). Fachlerpläne Politik und Gesellschaft Gymnasium Klasse 9. https://www.lehrplanplus.bayern.de/fachlehrplan/gymnasium/9/pug,LP Bayern Politik und Gesellschaft Gym 9 2023.pdf
Bayern,Sozialkunde,Gym,9,2023,476,Staatsinstitution für Schulqualität und Bildungsforschung München (o. J.). Fachlerpläne Wirtschaft und Recht Gymnasium Klasse 9. https://www.lehrplanplus.bayern.de/fachlehrplan/gymnasium/9/wirtschaft-und-recht,LP Bayern Wirtschaft und Recht Gym 9 2023.pdf
Bayern,Sozialkunde,Gym,10,2023,1030,Staatsinstitution für Schulqualität und Bildungsforschung München (o. J.). Fachlerpläne Politik und Gesellschaft Gymnasium Klasse 10. https://www.lehrplanplus.bayern.de/fachlehrplan/gymnasium/10/pug/einstuendig,LP Bayern Politik und Gesellschaft Gym-soz 10 2023.pdf
Bayern,Sozialkunde,Gym,10,2023,958,Staatsinstitution für Schulqualität und Bildungsforschung München (o. J.). Fachlerpläne Wirtschaft und Recht Gymnasium Klasse 10. https://www.lehrplanplus.bayern.de/fachlehrplan/gymnasium/10/wirtschaft-und-recht/andere,LP Bayern Wirtschaft und Recht Gym 10 Wirtsch 2023.pdf
Bayern,Sozialkunde,Gym,10,2023,757,Staatsinstitution für Schulqualität und Bildungsforschung München (o. J.). Fachlerpläne Politik und Gesellschaft Gymnasium Klasse 10. https://www.lehrplanplus.bayern.de/fachlehrplan/gymnasium/10/pug/zweistuendig,LP Bayern Politik und Gesellschaft Gym 10 2023.pdf
Bayern,Sozialkunde,Gym,10,2023,552,Staatsinstitution für Schulqualität und Bildungsforschung München (o. J.). Fachlerpläne Writschaft und Recht Gymnasium Klasse 10. https://www.lehrplanplus.bayern.de/fachlehrplan/gymnasium/10/wirtschaft-und-recht/wwg,LP Bayern Wirtschaft und Recht Gym 10 2023.pdf
Bayern,Sozialkunde,Gym,11,2023,2020,Staatsinstitution für Schulqualität und Bildungsforschung München (o. J.). Fachlerpläne Politik und Gesellschaft Gymnasium Klasse 11. https://www.lehrplanplus.bayern.de/fachlehrplan/gymnasium/11/pug/zweistuendig,LP Bayern Politik und Gesellschaft Gym-soz 11 2023.pdf
Bayern,Sozialkunde,Gym,11,2023,1412,Staatsinstitution für Schulqualität und Bildungsforschung München (o. J.). Fachlerpläne Politik und Gesellschaft Gymnasium Klasse 11. https://www.lehrplanplus.bayern.de/fachlehrplan/gymnasium/11/pug/dreistuendig,LP Bayern Politik und Gesellschaft Gym 11 2023.pdf
Bayern,Sozialkunde,Gym,11,2023,1316,Staatsinstitution für Schulqualität und Bildungsforschung München (o. J.). Fachlerpläne Wirtschaft und Recht Gymnasium Klasse 11. https://www.lehrplanplus.bayern.de/fachlehrplan/gymnasium/11/wirtschaft-und-recht/wwg,LP Bayern Wirtschaft und Recht Gym 11 Wirtsch 2023.pdf
Bayern,Sozialkunde,Gym,11,2023,712,Staatsinstitution für Schulqualität und Bildungsforschung München (o. J.). Fachlerpläne Wirtschaft und Recht Gymnasium Klasse 11. https://www.lehrplanplus.bayern.de/fachlehrplan/gymnasium/11/wirtschaft-und-recht/wwg,LP Bayern Wirtschaft und Recht Gym 11 2023.pdf
Bayern,Sozialkunde,Gym,12,2023,2501,Staatsinstitution für Schulqualität und Bildungsforschung München (o. J.). Fachlerpläne Politik und Gesellschaft Gymnasium Klasse 12 erhöhtes Anforderungsniveau. https://www.lehrplanplus.bayern.de/fachlehrplan/gymnasium/12/pug/erhoeht,LP Bayern Politik und Gesellschaft Gym 12 LK 2023.pdf
Bayern,Sozialkunde,Gym,12,2023,1543,Staatsinstitution für Schulqualität und Bildungsforschung München (o. J.). Fachlerpläne Politik und Gesellschaft Gymnasium Klasse 12 grundlegendes Anforderungsniveau. https://www.lehrplanplus.bayern.de/fachlehrplan/gymnasium/12/pug/grundlegend,LP Bayern Politik und Gesellschaft Gym 12 GK 2023.pdf
Bayern,Sozialkunde,Gym,12,2023,1146,Staatsinstitution für Schulqualität und Bildungsforschung München (o. J.). Fachlerpläne Wirtschaft und Recht Gymnasium Klasse 12 erhöhtes Anforderungsniveau. https://www.lehrplanplus.bayern.de/fachlehrplan/gymnasium/12/wirtschaft-und-recht/erhoeht,LP Bayern Wirtschaft und Recht Gym 12 LK 2023.pdf
