term,total_across_topics,Topic_1,Topic_2,Topic_3,Topic_4,Topic_5,Topic_6,Topic_7,Topic_8,Topic_9,Topic_10,Topic_11,Topic_12,Topic_13,Topic_14,Topic_15
chance,20,0.0002,0.0004,0.0005,0.0001,0.0004,0.0001,0.0004,0.0007,0.0005,0.0001,0.0001,0.0698,0.0002,0.0014,0.0011
akzeptieren,19,0.0088,0.015,0.0005,0.0001,0.0004,0.0001,0.0004,0.0007,0.0472,0.0004,0.0001,0.0004,0.0002,0.0002,0.0011
gesellschaft,19,0.0109,0.0004,0.0005,0.0001,0.0004,0.0001,0.0004,0.0007,0.0006,0.0001,0.0001,0.0004,0.0002,0.0284,0.0011
klassenstuf,19,0.0002,0.0004,0.0005,0.0001,0.0004,0.0001,0.0004,0.0007,0.0948,0.0001,0.0001,0.0004,0.0003,0.0005,0.0011
kreativ,19,0.0002,0.0004,0.0005,0.0001,0.0004,0.0001,0.0045,0.0007,0.0005,0.0001,0.0258,0.0004,0.0002,0.0001,0.0012
ästhetisch,19,0.0002,0.0004,0.0218,0.0001,0.0004,0.0001,0.014,0.0007,0.0005,0.0005,0.0067,0.0004,0.0002,0.0001,0.0012
individuum,18,0.0002,0.0004,0.0005,0.0364,0.0004,0.0001,0.0004,0.0007,0.0005,0.0001,0.0002,0.0004,0.0002,0.0001,0.0011
inhalt,18,0.0078,0.0004,0.0005,0.0001,0.0015,0.0001,0.0143,0.0007,0.0005,0.0014,0.0085,0.0004,0.014,0.0001,0.0011
menschlich,18,0.0039,0.0004,0.0048,0.0001,0.0004,0.0001,0.0004,0.0144,0.0005,0.0001,0.0001,0.0229,0.0142,0.0001,0.0012
nehmen,18,0.0002,0.0004,0.0005,0.0001,0.0004,0.0001,0.0004,0.0007,0.0006,0.0053,0.0001,0.0004,0.0002,0.0304,0.0011
persönlichkeit,18,0.0159,0.0004,0.0133,0.0001,0.0004,0.0001,0.0007,0.0007,0.0005,0.0001,0.0002,0.0203,0.0002,0.0001,0.0011
prozeß,18,0.0008,0.0004,0.0005,0.0001,0.0188,0.0001,0.0004,0.0355,0.0005,0.0001,0.0001,0.0007,0.0153,0.0001,0.0012
sexuell,18,0.0002,0.0004,0.0005,0.0002,0.0004,0.0001,0.0004,0.0007,0.0055,0.0001,0.0001,0.0004,0.0337,0.0001,0.0011
wertvorstellung,18,0.0203,0.0004,0.0005,0.0001,0.0004,0.0001,0.0004,0.0007,0.0277,0.0001,0.0001,0.0004,0.0002,0.0002,0.0011
zusammenhang,18,0.0065,0.0004,0.0005,0.0001,0.0004,0.0019,0.0254,0.0007,0.0106,0.0027,0.0001,0.0077,0.0002,0.0002,0.0012
bereich,17,0.0103,0.0004,0.0229,0.0001,0.0004,0.0001,0.0004,0.0007,0.0005,0.0001,0.0083,0.0149,0.0002,0.0001,0.0011
formulieren,17,0.0002,0.0004,0.0005,0.0001,0.0004,0.0001,0.029,0.0007,0.0005,0.0001,0.0064,0.0004,0.0002,0.0001,0.0012
gedächtnis,17,0.0002,0.0004,0.0005,0.0001,0.0004,0.0001,0.0004,0.0007,0.0006,0.0001,0.0001,0.0004,0.0353,0.0001,0.0011
gestaltung,17,0.0002,0.0004,0.0005,0.0354,0.0004,0.0001,0.0004,0.0007,0.0005,0.0002,0.0002,0.0004,0.0002,0.0001,0.0012
situation,17,0.0034,0.0495,0.0005,0.0001,0.0004,0.0004,0.0004,0.0007,0.0005,0.0001,0.0001,0.0004,0.0021,0.0001,0.0011
verhalten,17,0.0078,0.0004,0.0005,0.0001,0.0004,0.0001,0.0004,0.0608,0.0005,0.0001,0.0001,0.0004,0.0075,0.0001,0.0011
