term,total_across_topics,Topic_1,Topic_2,Topic_3,Topic_4,Topic_5,Topic_6,Topic_7,Topic_8,Topic_9,Topic_10,Topic_11,Topic_12
homologie,92,0.0129,0.0,0.0001,0.0009,0.0003,0.0002,0.0,0.0,0.0072,0.0,0.0001,0.0
ökosystem,92,0.0,0.003,0.0001,0.0001,0.0,0.0002,0.0,0.0047,0.0,0.0,0.0001,0.013
biodiversität,91,0.0072,0.0,0.0256,0.0001,0.0,0.0002,0.0,0.0,0.0037,0.0,0.0001,0.0051
ökologie,89,0.0,0.0,0.0001,0.0001,0.0,0.0002,0.0151,0.0164,0.0,0.0,0.0188,0.0013
fitness,88,0.0216,0.0,0.0001,0.0001,0.0,0.0002,0.0,0.0,0.0,0.0,0.0001,0.0
verfahren,87,0.0039,0.0,0.0759,0.0001,0.0065,0.0002,0.0,0.0,0.0002,0.0,0.0001,0.0004
vorstellung,86,0.0073,0.0,0.0001,0.0041,0.0,0.0002,0.0,0.0,0.0016,0.013,0.0001,0.0022
stoff,85,0.0,0.0,0.0001,0.0001,0.026,0.0002,0.0109,0.0056,0.0,0.0,0.0001,0.0006
tabelle,83,0.0,0.0,0.0001,0.0001,0.0,0.0002,0.0,0.0422,0.0,0.0,0.0001,0.0
phänomen,82,0.0,0.0,0.0001,0.0001,0.0078,0.0106,0.0073,0.0,0.0,0.0257,0.0001,0.0
theorie,82,0.0,0.0,0.0103,0.0001,0.0,0.0002,0.0,0.0,0.0154,0.0,0.0001,0.0
isolation,80,0.0036,0.0,0.0001,0.0001,0.0,0.0002,0.0,0.0,0.0134,0.0,0.0001,0.0
darwin,80,0.0,0.0,0.0001,0.0001,0.0,0.0002,0.0,0.0,0.0174,0.0001,0.0001,0.0
ebene,79,0.0,0.0,0.0001,0.0001,0.0001,0.0002,0.0151,0.0,0.0,0.0126,0.0001,0.0031
steuerung,77,0.0,0.0021,0.0001,0.0001,0.034,0.0002,0.0,0.0049,0.0,0.0,0.0001,0.0
mechanismus,76,0.0014,0.0,0.0001,0.0066,0.0,0.0002,0.0,0.0048,0.0022,0.0124,0.0001,0.0024
modern,75,0.0,0.0,0.0001,0.0001,0.0,0.0002,0.0,0.0,0.0165,0.0,0.0001,0.0
molekular,75,0.0019,0.0,0.0001,0.0001,0.0,0.0002,0.017,0.0,0.0,0.0,0.0193,0.0023
lebend,71,0.0,0.0159,0.0001,0.0001,0.0,0.0002,0.0,0.0,0.0003,0.0,0.0001,0.0033
naturwissenschaftlich,71,0.0005,0.0,0.0001,0.0079,0.0,0.0002,0.0,0.0,0.0,0.0265,0.0001,0.0011
artbegriff,69,0.01,0.0,0.0001,0.0001,0.0,0.0002,0.0,0.0,0.0056,0.0,0.0001,0.0
energieumwandlung,69,0.0,0.0,0.0001,0.0001,0.0273,0.0002,0.007,0.0017,0.0,0.0,0.0001,0.0
themenfeld,69,0.0,0.0,0.0001,0.0001,0.015,0.0002,0.0,0.0,0.0,0.0081,0.0001,0.0052
erklärung,68,0.0,0.0,0.0001,0.0001,0.0,0.0629,0.006,0.0,0.002,0.0088,0.0001,0.0
verbindlich,67,0.0045,0.0,0.0001,0.0001,0.0,0.0002,0.013,0.0,0.0039,0.0,0.0001,0.0
weitergabe,65,0.0,0.0213,0.0001,0.0001,0.0,0.0002,0.0,0.0,0.0001,0.0,0.0001,0.0009
molekularbiologisch,63,0.0141,0.0,0.0001,0.0001,0.0023,0.0002,0.0,0.0,0.0,0.0,0.0001,0.0
eukaryotisch,63,0.0,0.0,0.0001,0.0076,0.0,0.0002,0.0,0.0273,0.0,0.0,0.0001,0.0
reproduktiv,63,0.015,0.0,0.0001,0.0001,0.0,0.0002,0.0,0.0,0.0,0.0,0.0001,0.0
prozess,62,0.0015,0.0,0.0001,0.0001,0.0,0.0002,0.0,0.0,0.0,0.0,0.0001,0.0108
regelung,61,0.0,0.0007,0.0001,0.0001,0.0295,0.0002,0.0,0.0025,0.0,0.0,0.0001,0.0
ursprünglich,60,0.0133,0.0,0.0001,0.0001,0.0015,0.0002,0.0,0.0,0.0,0.0,0.0001,0.0
evolutionsökologie,60,0.0,0.0,0.0001,0.0001,0.0,0.0002,0.0,0.0304,0.0,0.0,0.0001,0.0
anregung,59,0.0001,0.0,0.0001,0.0001,0.0,0.0002,0.0104,0.0,0.0056,0.0,0.0115,0.0
adaptiv,58,0.0098,0.0,0.0001,0.0001,0.0,0.0002,0.0,0.0,0.0037,0.0,0.0001,0.0
biologieunterricht,58,0.0,0.0,0.0001,0.0001,0.0277,0.0002,0.003,0.0,0.0,0.0,0.0001,0.0
individualentwicklung,56,0.0,0.0021,0.0001,0.0001,0.0,0.0002,0.0,0.0,0.0,0.0,0.0001,0.009
nutzen,55,0.0023,0.0,0.0001,0.0001,0.0,0.0002,0.0058,0.0,0.0,0.0172,0.0001,0.0007
abgeleitet,54,0.0119,0.0,0.0001,0.0001,0.0016,0.0002,0.0,0.0,0.0,0.0,0.0001,0.0
konzept,54,0.0,0.0,0.0001,0.0001,0.0,0.0002,0.0,0.0129,0.0035,0.0026,0.0093,0.0
abstammung,53,0.0,0.0,0.0499,0.0001,0.0,0.0002,0.0,0.0,0.0017,0.0049,0.0001,0.0
ursprung,52,0.0093,0.0,0.0001,0.0001,0.0028,0.0002,0.0,0.0,0.0017,0.0,0.0001,0.0
innerhalb,51,0.0,0.0134,0.0026,0.0001,0.0064,0.0002,0.0,0.0,0.0,0.0,0.0001,0.0
menschlich,51,0.0014,0.0,0.0001,0.0001,0.0,0.0002,0.0,0.0,0.0003,0.0001,0.0125,0.0079
primat,50,0.0119,0.0,0.0001,0.0001,0.0,0.0002,0.0,0.0,0.0,0.0,0.0001,0.0
ermöglichen,50,0.0,0.0,0.0001,0.0001,0.0132,0.0002,0.0,0.0022,0.0005,0.0,0.0001,0.0023
zeitraum,49,0.0,0.0202,0.0001,0.0001,0.0,0.0002,0.0,0.0,0.0,0.0,0.0001,0.0
faktor,49,0.0013,0.0052,0.0001,0.0001,0.0,0.0002,0.0,0.0132,0.0,0.0,0.0001,0.0003
pflanze,48,0.0,0.0,0.0001,0.0001,0.0,0.0002,0.0,0.0,0.0,0.0,0.0001,0.0073
sachverhalt,44,0.0,0.0133,0.0001,0.0001,0.0,0.0002,0.0,0.0,0.0,0.0029,0.0001,0.0
umwelteinflüss,44,0.0,0.0163,0.0001,0.0001,0.0,0.0002,0.0,0.0,0.0,0.0,0.0001,0.0
verständnis,43,0.0,0.0,0.0001,0.0001,0.0,0.0002,0.0035,0.0,0.0,0.0098,0.0001,0.0027
anwenden,43,0.0,0.0,0.0001,0.0133,0.0,0.0002,0.0043,0.0,0.0037,0.0,0.0001,0.0
bewertung,43,0.0,0.0,0.0001,0.0001,0.0,0.0002,0.0027,0.0,0.0028,0.0111,0.0001,0.0
wissen,42,0.0,0.0,0.0002,0.0001,0.006,0.0264,0.0,0.0,0.0008,0.0002,0.0001,0.0024
ultimat,42,0.0002,0.0,0.0001,0.0001,0.0,0.0364,0.0069,0.0,0.0,0.0,0.0076,0.0
wert,41,0.0093,0.0,0.0001,0.0001,0.0,0.0002,0.0014,0.0,0.0,0.001,0.0001,0.0
stellen,40,0.0,0.0,0.0212,0.0001,0.0,0.0002,0.0,0.0,0.0022,0.0,0.0001,0.002
gemeinsam,40,0.001,0.0,0.0001,0.0001,0.0,0.0002,0.0,0.0,0.0,0.0145,0.0001,0.0012
