term,total_across_topics,Topic_1,Topic_2,Topic_3,Topic_4,Topic_5,Topic_6,Topic_7
analysekompetenz,8,0.0002,0.0001,0.0112,0.0003,0.0001,0.0002,0.0002
biologismus,8,0.0002,0.0001,0.0001,0.0002,0.0214,0.0002,0.0002
chauvinismen,8,0.0002,0.0001,0.0001,0.0002,0.0214,0.0002,0.0003
ethnozentrismen,8,0.0002,0.0001,0.0001,0.0002,0.0214,0.0002,0.0002
orientierung,8,0.0054,0.0001,0.0001,0.0003,0.0003,0.0115,0.0002
prozeß,8,0.0002,0.0119,0.0001,0.0002,0.0001,0.0002,0.0003
versatzstück,8,0.0002,0.0001,0.0001,0.0002,0.0214,0.0002,0.0002
beziehung,7,0.0002,0.0001,0.0001,0.0119,0.0001,0.0002,0.0018
modell,7,0.0002,0.0001,0.0001,0.0002,0.0187,0.0002,0.0003
ordnung,6,0.0002,0.0001,0.0001,0.0002,0.0161,0.0002,0.0003
sprache,5,0.0002,0.0001,0.0001,0.0002,0.0001,0.0107,0.0002
