term,total_across_topics,Topic_1,Topic_2,Topic_3,Topic_4,Topic_5,Topic_6,Topic_7,Topic_8,Topic_9,Topic_10
wissen,35,0.0,0.0,0.0001,0.0001,0.0082,0.0,0.0,0.0001,0.0,0.0001
ethikunterricht,34,0.0,0.0096,0.0001,0.0019,0.0,0.0,0.0,0.0,0.001,0.0001
bestimmung,33,0.0008,0.0,0.0001,0.0001,0.0,0.0,0.0079,0.0,0.0,0.0001
rrk,32,0.0,0.0,0.0001,0.0001,0.0,0.0148,0.0,0.0,0.0,0.0001
utilitarismus,32,0.0,0.0,0.0156,0.0001,0.0,0.0,0.0,0.0,0.0,0.0001
teilhabe,30,0.0,0.0,0.0001,0.0001,0.0,0.0,0.0,0.0019,0.0,0.0154
unterscheidung,30,0.0,0.0,0.0001,0.0093,0.0003,0.0,0.0026,0.0,0.0,0.0001
pflichtethik,30,0.0,0.0,0.0145,0.0001,0.0,0.0,0.0,0.0,0.0,0.0001
fremd,30,0.0,0.012,0.0001,0.0001,0.0,0.0,0.0,0.0,0.0,0.0001
sexualität,29,0.0,0.0,0.0001,0.0001,0.0,0.0131,0.0,0.0,0.0,0.0001
kirche,29,0.0,0.0,0.0001,0.0001,0.0,0.0132,0.0,0.0,0.0,0.0001
lernbereich,29,0.0,0.0,0.0001,0.0001,0.0,0.0101,0.0002,0.0,0.0,0.0041
liebe,29,0.0,0.0,0.0001,0.0001,0.0,0.0129,0.0,0.0,0.0,0.0001
führen,29,0.0,0.0,0.0001,0.0001,0.0,0.0135,0.0,0.0,0.0,0.0001
weg,28,0.0,0.0,0.0025,0.0001,0.0,0.0,0.0,0.0009,0.0,0.0109
verantwortungsethik,27,0.0,0.0,0.0131,0.0001,0.0,0.0,0.0,0.0,0.0,0.0001
ökologie,27,0.0,0.0,0.0142,0.0001,0.0,0.0,0.0,0.0,0.0,0.0001
reflexionsbereich,26,0.0,0.0,0.0001,0.0001,0.0,0.0,0.0066,0.0001,0.0,0.0001
äußerer,24,0.0,0.0,0.0001,0.0084,0.0,0.0,0.002,0.0,0.0,0.0001
restauration,23,0.0,0.0,0.0001,0.0001,0.0,0.0,0.0,0.0,0.0,0.0138
kämpfen,23,0.0,0.0,0.0001,0.0001,0.0,0.0001,0.0,0.0,0.0,0.0139
weltanschaulich,23,0.0,0.0,0.0001,0.0118,0.0,0.0,0.0,0.0,0.0,0.0001
wiener,20,0.0,0.0,0.0001,0.0001,0.0,0.0,0.0,0.0,0.0,0.012
gegenwärtig,18,0.0,0.0,0.0001,0.0083,0.0003,0.0,0.0,0.0,0.0003,0.0001
autonom,17,0.0,0.0,0.0001,0.0001,0.0,0.0,0.0,0.0,0.0,0.0095
christentum,16,0.0,0.0,0.0001,0.0084,0.0,0.0,0.0,0.0,0.0,0.0001
west,15,0.0,0.0,0.0001,0.0001,0.0,0.0,0.0,0.0,0.0,0.0095
