,text_excerpt,state,school type,grade,year,subject,doc_id
12141,"und interpretieren Regeln und Regelkonflikte D Sach- und Gebrauchstexte E Interkulturelle kommunikative Kompetenz F Interkulturelle kommunikative Kompetenz BTV Selbstfindung und Akzeptanz anderer Lebensformen PG Selbstregulation und Lernen Ethik und Moral Glückliches und gutes Leben Die Schülerinnen und Schüler können Glücksvorstellungen untersuchen und unterschiedliche Werte, die in Glücksvorstellungen und -versprechen enthalten sind, erschließen und bewerten. Sie können sich mit ihren Vorstellungen eines",BaWü,,Sek1,2016,"Ethik, Philo",12141
12142,"Verhalten der Menschen zueinander und zu der Natur beziehen. Ethisch-moralisch soll darüber hinaus verdeutlichen, dass im Ethikunterricht die beiden Hauptfragen philosophischer Ethik Wie soll ich handeln, um ein gutes beziehungsweise glückliches Leben zu führen und Wie soll ich handeln, um moralisch gut zu handeln in gleichem Maße zu berücksichtigen sind. Ausgangspunkt im Ethikunterricht sind dabei in der Regel die konkreten moralischen",BaWü,,Sek1,2016,"Ethik, Philo",12142
12143,"und reflektieren Beurteilen und sich entscheiden Standards für inhaltsbezogene Kompetenzen Klassen / Ich und Andere Ich und mein Leben Ich und meine Freundschaften Ich und die Anderen Ethik und Moral Glückliches und gutes Leben Regeln und Regelkonflikte Wahrhaftigkeit und Lüge Medien und Wirklichkeiten Selbst-Darstellung in Medien Mensch und Natur Natur und Umwelt Glauben und Ethos Mythologische, religiöse und wissenschaftliche Erklärungen von",BaWü,,Sek1,2016,"Ethik, Philo",12143
12144,"Gesundheit, Medien Aspekte eines selbstbestimmten und glücklichen Lebens an Beispielen erläutern und bewerten z. B. bezogen auf Berufsziel, Formen der Beteiligung, Beziehungen, sexuelle Identität, Gesundheit, Medien Aspekte eines selbstbestimmten und glücklichen Lebens erläutern und bewerten z. B. bezogen auf Berufsziel, Formen der Beteiligung, Beziehungen, sexuelle Identität, Gesundheit, Medien BNE Teilhabe, Mitwirkung, Mitbestimmung BO Informationen über Berufe, Bildungs-, Studien- und Berufswege BTV",BaWü,,Sek1,2016,"Ethik, Philo",12144
12145,"Arbeitsweisen der Naturwissenschaften und der Technik , D Literarische Texte REV Mensch REV Welt und Verantwortung RRK Welt und Verantwortung BTV Formen interkulturellen und interreligiösen Dialogs Analysieren und interpretieren , Glückliches und gutes Leben Natur und Umwelt , BNT Denk- und Arbeitsweisen der Naturwissenschaften und der Technik , D Literarische Texte REV Mensch REV Welt und Verantwortung RRK Welt und Verantwortung",BaWü,,Sek1,2016,"Ethik, Philo",12145
12146,"mit Hilfe-stellung erfassen und disku-tieren Gemeinsamkeiten und Unterschiede z. B. Sinnfrage, Herkunft, Lebenshilfe zwischen mythologischen, religiösen und wissenschaft-lichen Erklärungen von Mensch und Welt erfassen und diskutieren Analysieren und interpretieren , Glückliches und gutes Leben Natur und Umwelt , BNT Denk- und Arbeitsweisen der Naturwissenschaften und der Technik , D Literarische Texte REV Mensch REV Welt und Verantwortung RRK Welt und Verantwortung",BaWü,,Sek1,2016,"Ethik, Philo",12146
12147,"Arbeitsweisen der Naturwissenschaften und der Technik , D Literarische Texte REV Mensch REV Welt und Verantwortung RRK Welt und Verantwortung BTV Formen interkulturellen und interreligiösen Dialogs Analysieren und interpretieren , Glückliches und gutes Leben Natur und Umwelt , BNT Denk- und Arbeitsweisen der Naturwissenschaften und der Technik , D Literarische Texte REV Mensch REV Welt und Verantwortung RRK Welt und Verantwortung",BaWü,,Sek1,2016,"Ethik, Philo",12147
12148,"Welt schafft und die Schülerinnen und Schüler in der Entwicklung ihrer Fähigkeit unterstützt, Möglichkeiten zur Problembewältigung zu finden. Die Suche der Schülerinnen und Schüler nach Sinn, passenden Entwürfen für ein glückliches und selbstbestimmtes Leben und einem stimmigen Welt- und Menschenbild unterstützt der Ethikunterricht, indem er ihnen die Auseinandersetzung mit vielfältigen Vorstellungen und den lebendigen Austausch mit anderen ermöglicht. Kompetenzorientierung im Fach",Bayern,Gym,12,,"Ethik, Philo",12148
12149,Weltanschauungen RISL Gesellschaft und Geschichte RJUED HAOLAM RRK Religionen und Weltanschauungen RSYR Religionen und Weltanschauungen Ethik und Moral Glück und Moral Die Schülerinnen und Schüler können Aspekte und Vorstellungen von Glück beschreiben und den Stellenwert von Werten und Normen für das Zusammenleben darlegen. Sie können Spannungsfelder zwischen individuellem Glücksstreben und Werten sowie gesellschaftlichen Vorgaben erfassen und sich dazu positionieren. Sie können,BaWü,,Sek1,2016,"Ethik, Philo",12149
12150,RAK Welt und Verantwortung RALE Andere Religionen und Weltanschauungen REV Religionen und Weltanschauungen RISL Gesellschaft und Geschichte RJUED HAOLAM RRK Religionen und Weltanschauungen RSYR Religionen und Weltanschauungen Ethik und Moral Glück und Moral Die Schülerinnen und Schüler können Aspekte und Vorstellungen von Glück beschreiben und den Stellenwert von Werten und Normen für das Zusammenleben darlegen. Sie können Spannungsfelder zwischen individuellem Glücksstreben,BaWü,,Sek1,2016,"Ethik, Philo",12150
