term,total_across_topics,Topic_1,Topic_2,Topic_3,Topic_4,Topic_5,Topic_6,Topic_7,Topic_8,Topic_9,Topic_10,Topic_11,Topic_12,Topic_13,Topic_14,Topic_15,Topic_16,Topic_17,Topic_18,Topic_19,Topic_20
erklärung,55,0.0,0.0,0.0001,0.0,0.0001,0.0001,0.0,0.0001,0.0,0.0,0.0,0.0,0.0001,0.0001,0.0,0.0,0.0001,0.0509,0.0001,0.0001
material,54,0.0,0.0134,0.0001,0.0012,0.0034,0.0,0.0,0.0001,0.0112,0.0,0.0,0.0,0.0001,0.0001,0.0,0.0,0.0001,0.0,0.0001,0.0001
ultimat,54,0.0336,0.0,0.0001,0.0,0.0001,0.0,0.0,0.0001,0.0,0.0,0.005,0.0,0.0001,0.0001,0.0,0.0,0.0001,0.0,0.0001,0.0001
variabilität,54,0.0047,0.0,0.0001,0.0,0.0001,0.0,0.0,0.0001,0.0263,0.0,0.0,0.0,0.0001,0.0001,0.0,0.0,0.0001,0.0,0.0001,0.0001
geeignet,53,0.0,0.0193,0.0001,0.0,0.002,0.0,0.0,0.0133,0.0,0.0022,0.0,0.0,0.0001,0.0001,0.0,0.0,0.0001,0.0,0.0001,0.0001
nachhaltig,53,0.0,0.0,0.0001,0.0,0.0001,0.0,0.0,0.0001,0.0,0.0,0.049,0.0,0.0001,0.0001,0.0,0.0,0.0001,0.0033,0.0001,0.0001
prinzip,53,0.0008,0.0,0.0001,0.0015,0.0001,0.0073,0.0,0.0001,0.0155,0.0,0.0,0.0016,0.0001,0.0001,0.0,0.0,0.0001,0.0,0.0026,0.0001
theorie,53,0.0,0.0171,0.0001,0.0,0.0028,0.0,0.0,0.0001,0.0013,0.004,0.0,0.0,0.0001,0.0001,0.0013,0.0,0.0001,0.0,0.0001,0.0001
zusammenleben,53,0.0031,0.0,0.0001,0.0,0.0001,0.0,0.0,0.0092,0.0,0.0,0.0,0.0043,0.0001,0.0001,0.0,0.0,0.0001,0.016,0.0001,0.0001
aussage,51,0.0,0.009,0.0001,0.0,0.0001,0.0106,0.0,0.0001,0.0,0.0022,0.0,0.0,0.0001,0.0001,0.0048,0.0,0.0036,0.0,0.0001,0.0001
benennen,51,0.0,0.0,0.0001,0.0,0.0001,0.0,0.0,0.0001,0.0,0.0173,0.0,0.0,0.0072,0.0001,0.0003,0.0011,0.0001,0.0,0.0001,0.0001
erfassen,51,0.0,0.0059,0.0001,0.0,0.0001,0.0,0.0,0.0001,0.0,0.0,0.0,0.0024,0.0001,0.0054,0.0,0.0,0.0001,0.0042,0.0001,0.0177
industrialisierung,51,0.0,0.0,0.0001,0.0113,0.0001,0.0,0.0,0.0001,0.0,0.0,0.0,0.0005,0.0001,0.0001,0.0,0.0,0.0001,0.0038,0.0001,0.0001
menschlich,51,0.0058,0.0,0.0001,0.0,0.0001,0.0,0.0048,0.0004,0.0,0.0,0.0141,0.0,0.0128,0.0001,0.0011,0.0029,0.0001,0.0,0.0022,0.0001
organismus,51,0.023,0.0,0.0001,0.0,0.0001,0.0,0.0,0.0001,0.003,0.0,0.0002,0.0,0.0127,0.0001,0.0,0.0,0.0001,0.0,0.0001,0.0001
phänomen,51,0.0,0.0,0.0001,0.0028,0.0001,0.0,0.0,0.0001,0.0023,0.0,0.0,0.0,0.0298,0.011,0.0,0.0027,0.0001,0.0,0.0001,0.0001
fortpflanzung,50,0.0033,0.0,0.0001,0.0,0.0001,0.0,0.0,0.0001,0.0214,0.0,0.0,0.0,0.0001,0.0001,0.0,0.0,0.0001,0.0,0.0106,0.0001
imperialismus,50,0.0,0.0,0.0001,0.0098,0.0001,0.0,0.0024,0.0001,0.0,0.0,0.0,0.0,0.0001,0.0001,0.0033,0.0,0.0001,0.0,0.0001,0.0001
ungleichheit,50,0.0,0.0,0.0001,0.0,0.0001,0.0,0.0113,0.0001,0.0,0.0,0.0,0.006,0.0001,0.0001,0.0,0.0,0.0001,0.0,0.0001,0.0001
begriff,49,0.0,0.0,0.0001,0.0,0.0001,0.0,0.0,0.0138,0.0019,0.0094,0.0,0.0009,0.0001,0.0287,0.0,0.0003,0.0001,0.0,0.0001,0.0001
gegenwart,49,0.0,0.0,0.0001,0.0,0.0035,0.0009,0.0023,0.0001,0.0,0.0,0.0,0.0033,0.0001,0.0001,0.0022,0.0102,0.0001,0.0,0.0001,0.0001
proximat,49,0.0302,0.0,0.0001,0.0,0.0001,0.0,0.0,0.0001,0.0,0.0,0.0049,0.0,0.0001,0.0001,0.0,0.0,0.0001,0.0,0.0001,0.0001
kontext,48,0.0,0.0,0.0001,0.0002,0.0001,0.0,0.0025,0.0001,0.0,0.0038,0.0,0.0008,0.0001,0.0001,0.0091,0.0048,0.0001,0.0,0.0001,0.0001
beurteilungskompetenz,47,0.0,0.0,0.0001,0.0,0.0001,0.0,0.0,0.0001,0.0,0.0123,0.0,0.0,0.0001,0.0001,0.0,0.0,0.0001,0.0,0.0308,0.0001
datum,47,0.0,0.0056,0.0001,0.0015,0.0001,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.019,0.0001,0.0032,0.0018,0.0001,0.0,0.0001,0.0001
position,47,0.0,0.0138,0.0001,0.0,0.0001,0.0142,0.0,0.0032,0.0,0.0,0.0,0.0,0.0001,0.0001,0.0,0.0,0.0031,0.0,0.0001,0.0001
wichtig,47,0.0,0.0,0.0001,0.0027,0.0001,0.0,0.0,0.0001,0.0126,0.0,0.0,0.0,0.0001,0.0001,0.0023,0.0064,0.0001,0.0,0.0001,0.0001
vielfalt,46,0.0096,0.0,0.0001,0.0,0.0001,0.0,0.0,0.0001,0.0053,0.0,0.0,0.0036,0.0001,0.0001,0.0,0.0,0.0001,0.0003,0.0001,0.0001
anlass,45,0.0,0.0,0.0001,0.0049,0.0001,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0001,0.0001,0.0082,0.0023,0.0001,0.0,0.0001,0.0001
religiös,45,0.0,0.0,0.0001,0.0,0.0097,0.0,0.017,0.0001,0.0,0.0016,0.0,0.0001,0.0001,0.0001,0.0025,0.0,0.0001,0.0,0.0001,0.0001
arbeit,44,0.0,0.0031,0.0001,0.0016,0.0001,0.0,0.0,0.0001,0.0,0.0,0.0079,0.0,0.0237,0.0001,0.0,0.0,0.0014,0.0,0.0001,0.0001
