term,total_across_topics,Topic_1,Topic_2,Topic_3,Topic_4,Topic_5,Topic_6,Topic_7,Topic_8,Topic_9,Topic_10,Topic_11,Topic_12,Topic_13,Topic_14,Topic_15,Topic_16,Topic_17,Topic_18,Topic_19,Topic_20
ökonomisch,49,0.0,0.0,0.0001,0.0001,0.0001,0.0,0.0226,0.0,0.0,0.0,0.0,0.0,0.0043,0.0,0.0001,0.0,0.0,0.0002,0.0,0.0
grundlegend,48,0.0026,0.0,0.0001,0.0045,0.0001,0.0,0.0,0.0096,0.0,0.0,0.0,0.0,0.0001,0.0049,0.0001,0.0,0.0,0.0002,0.0,0.0
geltend,48,0.0,0.0,0.0001,0.0001,0.0001,0.0,0.0,0.0,0.0,0.0,0.0308,0.0,0.0001,0.0,0.0001,0.0,0.0,0.0002,0.0,0.0
argumentieren,47,0.0025,0.0027,0.0001,0.0001,0.0001,0.0048,0.0,0.0003,0.0,0.0,0.0,0.0,0.0001,0.0,0.0001,0.0036,0.0112,0.0002,0.0,0.0
denken,47,0.0027,0.0,0.0001,0.0001,0.0001,0.0,0.0,0.0049,0.0,0.0116,0.0,0.0029,0.0001,0.0,0.0001,0.0,0.0015,0.0002,0.0,0.0
weltanschauung,47,0.0,0.0,0.0001,0.0001,0.0001,0.0,0.0,0.002,0.0,0.0,0.0,0.0028,0.0323,0.0023,0.0001,0.0,0.0,0.0002,0.0,0.0
liegen,47,0.0,0.0,0.0001,0.0001,0.0001,0.0008,0.0087,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.007,0.0,0.0,0.0002,0.0,0.0151
normativ,47,0.007,0.0,0.0001,0.0001,0.0001,0.0,0.0,0.0032,0.0,0.0,0.0,0.0,0.0001,0.0,0.0001,0.0,0.0,0.0361,0.0,0.0
philosophie,47,0.0,0.0045,0.0179,0.0001,0.0001,0.0,0.0,0.0065,0.0,0.0,0.0,0.0,0.0001,0.0,0.0001,0.0,0.0011,0.0002,0.0,0.0
setzen,46,0.0,0.0,0.0152,0.0001,0.0001,0.0,0.0,0.0019,0.0088,0.0,0.0,0.0,0.0001,0.0,0.0001,0.0,0.0,0.0002,0.0068,0.0
inhaltsbezogen,46,0.0115,0.0,0.0001,0.0001,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0001,0.0,0.0005,0.0002,0.0,0.0
leisten,46,0.0,0.0,0.0001,0.0146,0.0224,0.0053,0.0,0.0,0.0,0.0,0.0,0.0039,0.0001,0.0053,0.0001,0.0027,0.0,0.0002,0.0,0.0
verlangen,45,0.0,0.0,0.0001,0.0001,0.0001,0.0,0.0,0.0,0.0,0.0147,0.0,0.0,0.0127,0.0,0.0001,0.0,0.0031,0.0002,0.0,0.0048
weltanschaulich,45,0.0,0.0,0.0001,0.0001,0.0001,0.0,0.0,0.002,0.0,0.0,0.0033,0.0,0.0291,0.0,0.0001,0.0,0.0,0.0002,0.0,0.0035
