term,total_across_topics,Topic_1,Topic_2,Topic_3,Topic_4,Topic_5,Topic_6,Topic_7,Topic_8,Topic_9,Topic_10,Topic_11,Topic_12,Topic_13,Topic_14,Topic_15
land,33,0.0046,0.0,0.0092,0.0,0.0,0.0001,0.001,0.0001,0.0,0.0,0.0,0.0024,0.0,0.0,0.0
variation,33,0.0,0.0,0.0001,0.0,0.0,0.0001,0.0001,0.0001,0.0176,0.0,0.0,0.0,0.0,0.0,0.0
niveau,33,0.0,0.0,0.0001,0.0,0.0,0.0001,0.0001,0.0458,0.0,0.0,0.0,0.0,0.0,0.0,0.0
symptom,32,0.0,0.0,0.0017,0.0,0.0,0.0001,0.0001,0.0001,0.0159,0.0,0.0,0.0,0.0,0.0,0.0
bne,32,0.0154,0.0,0.0001,0.0,0.0,0.0001,0.0001,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
methode,32,0.0,0.0,0.0001,0.0,0.0,0.0001,0.0001,0.0001,0.0,0.0026,0.0,0.0,0.0,0.0094,0.0
weimarer,32,0.0,0.0016,0.0001,0.0009,0.0,0.0001,0.0001,0.0001,0.0,0.0,0.0,0.0,0.0,0.0093,0.0
exogen,32,0.0,0.0,0.0001,0.0,0.0,0.0001,0.0001,0.0001,0.0,0.0,0.0,0.0,0.0193,0.0,0.0
kirche,31,0.0,0.0,0.0001,0.0,0.0149,0.0001,0.0001,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0022
basiskonzept,30,0.0,0.0,0.0001,0.0,0.0001,0.0001,0.0001,0.0001,0.016,0.0,0.0,0.0,0.0,0.0,0.0
bewertung,30,0.0,0.0,0.0211,0.0,0.0,0.0001,0.0001,0.0001,0.0,0.0,0.001,0.0,0.0,0.0,0.0
unterscheidung,30,0.0,0.0,0.0167,0.0,0.0,0.0001,0.0001,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0021
leistungskurs,30,0.0,0.0,0.0001,0.0,0.0,0.0001,0.0001,0.0413,0.0,0.0,0.0,0.0,0.0,0.0,0.0
