term,total_across_topics,Topic_1,Topic_2,Topic_3,Topic_4,Topic_5,Topic_6,Topic_7,Topic_8,Topic_9,Topic_10,Topic_11,Topic_12,Topic_13,Topic_14,Topic_15,Topic_16,Topic_17,Topic_18,Topic_19,Topic_20
moralisch,88,0.0001,0.0001,0.0039,0.0001,0.0001,0.0,0.0001,0.0,0.0,0.0,0.0,0.0022,0.0001,0.0191,0.0,0.0,0.0115,0.0,0.0,0.0088
herrschaft,87,0.0001,0.0001,0.0,0.0001,0.0001,0.0008,0.0104,0.0,0.0073,0.0,0.0,0.0,0.0001,0.0,0.0,0.0261,0.0001,0.0,0.0,0.0021
rolle,86,0.0053,0.0001,0.0124,0.0001,0.0001,0.0029,0.0001,0.0,0.0108,0.0,0.0,0.0053,0.0001,0.0,0.0,0.0,0.0001,0.0,0.0078,0.0
sicherheit,86,0.0001,0.0001,0.0,0.0067,0.0001,0.0133,0.0001,0.0,0.0,0.0,0.0006,0.0,0.0001,0.0,0.0,0.0066,0.0001,0.0,0.0185,0.0
europa,84,0.0001,0.0001,0.0,0.0001,0.0001,0.0,0.0642,0.0,0.0272,0.0,0.0,0.0,0.0001,0.0,0.0,0.0043,0.0001,0.0,0.0,0.0
vernunft,83,0.0001,0.0071,0.0031,0.0001,0.0001,0.0,0.0001,0.0,0.0411,0.0,0.0028,0.0043,0.0001,0.0,0.0,0.0,0.0001,0.0,0.0,0.0
handlungsfreiheit,82,0.0001,0.0001,0.011,0.0001,0.0001,0.0,0.0001,0.0,0.0,0.0034,0.0,0.0,0.0183,0.0,0.0114,0.0,0.0304,0.0,0.0,0.0
technik,82,0.0001,0.0001,0.0011,0.0001,0.0001,0.0,0.0001,0.0,0.0,0.0,0.0,0.0256,0.0001,0.0,0.0,0.0,0.0001,0.0,0.0,0.0
wille,82,0.0001,0.0001,0.0217,0.0001,0.0001,0.0,0.0001,0.011,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0221,0.0,0.0,0.0011
auseinandersetzung,81,0.0001,0.0001,0.0061,0.0001,0.0001,0.0,0.0001,0.0057,0.0,0.0,0.0,0.0,0.0001,0.0,0.0006,0.0,0.0001,0.0285,0.007,0.0039
denken,80,0.0001,0.0001,0.0,0.0045,0.0001,0.0,0.0001,0.0,0.0,0.0,0.0,0.0027,0.0001,0.0,0.0,0.0,0.0001,0.0052,0.0,0.0168
deutschland,80,0.0001,0.0001,0.0,0.0001,0.0001,0.0091,0.0143,0.0,0.0076,0.0,0.0,0.0,0.0001,0.0,0.0,0.0155,0.0001,0.0,0.0,0.0
problem,80,0.0001,0.0001,0.0039,0.0001,0.0001,0.009,0.0001,0.0,0.0,0.0,0.0098,0.0023,0.0001,0.0,0.0,0.0,0.0001,0.0,0.0,0.0024
religiös,78,0.0285,0.0211,0.0114,0.0001,0.0001,0.0,0.0001,0.0,0.0,0.0,0.0,0.0006,0.0001,0.0,0.0,0.0,0.0001,0.0095,0.0,0.0
glück,78,0.0001,0.0001,0.0,0.0001,0.0001,0.0,0.0001,0.0,0.0,0.0,0.0159,0.0073,0.0001,0.0,0.0,0.0,0.0001,0.0081,0.0001,0.0038
medium,78,0.0001,0.0001,0.0,0.006,0.0001,0.0037,0.0001,0.0279,0.0,0.0,0.0128,0.0007,0.0001,0.0,0.0,0.0,0.0001,0.0,0.0,0.0
politik,78,0.0001,0.0001,0.0,0.0001,0.0001,0.0114,0.0001,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0001,0.0,0.0299,0.0
identität,77,0.0042,0.0001,0.0,0.0015,0.0001,0.0028,0.0001,0.0,0.0079,0.0,0.0,0.0053,0.0001,0.0,0.0174,0.0,0.0001,0.0107,0.0,0.0
eth,77,0.0001,0.0001,0.0,0.0001,0.0001,0.0,0.0001,0.0281,0.0,0.0,0.006,0.0,0.0001,0.0,0.0454,0.0,0.0001,0.0,0.0,0.0
grundlegend,75,0.0001,0.0001,0.0065,0.0001,0.0001,0.0,0.0001,0.0,0.0,0.0,0.0,0.0045,0.0001,0.0,0.0,0.0,0.0001,0.0051,0.0087,0.0081
demokratisch,75,0.0001,0.0001,0.0,0.0001,0.0001,0.0141,0.0014,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0139,0.0001,0.0,0.0019,0.0
inhalt,73,0.0001,0.0132,0.0,0.0001,0.0001,0.0028,0.0001,0.0,0.0,0.0,0.0,0.0,0.0242,0.0,0.0,0.0,0.0057,0.0183,0.0,0.0011
gewalt,73,0.0001,0.0001,0.0,0.0001,0.0001,0.0021,0.0001,0.0,0.0081,0.0,0.0,0.0087,0.0001,0.0,0.0,0.0104,0.0001,0.0033,0.0,0.0
abhängigkeit,71,0.0104,0.0001,0.0,0.0001,0.0001,0.0,0.0001,0.0,0.0,0.0167,0.0,0.0,0.0001,0.0,0.0229,0.0,0.0001,0.0,0.0,0.003
handlung,71,0.0001,0.0001,0.0,0.0001,0.0001,0.0,0.0001,0.0,0.0,0.0228,0.0,0.0,0.0001,0.0,0.0,0.0,0.0001,0.0,0.0,0.0102
umgang,71,0.0001,0.0001,0.0,0.0001,0.0001,0.0011,0.0001,0.0052,0.0,0.0046,0.0019,0.0135,0.0001,0.0,0.0,0.0,0.0001,0.0037,0.0,0.0014
ziel,71,0.0001,0.0417,0.0,0.0001,0.0001,0.0046,0.0001,0.0,0.0,0.0,0.0015,0.0067,0.0001,0.0,0.0,0.0,0.0001,0.0,0.0,0.0
folge,71,0.0001,0.0001,0.0,0.0001,0.0001,0.0009,0.0001,0.0,0.0136,0.0152,0.0001,0.0004,0.0001,0.0,0.0,0.005,0.0001,0.0,0.0045,0.0029
spannungsfeld,70,0.0001,0.0001,0.0,0.0001,0.0001,0.0006,0.0001,0.0,0.0,0.0089,0.0,0.0,0.0001,0.0025,0.0222,0.0,0.0001,0.0,0.0,0.0077
individuum,70,0.0001,0.0001,0.0,0.0001,0.0001,0.0,0.0001,0.0,0.0,0.0,0.0,0.0024,0.0001,0.0,0.0,0.021,0.0001,0.0024,0.0,0.0046
bne,69,0.0001,0.0001,0.0,0.0001,0.0001,0.0,0.0001,0.0,0.0,0.0,0.0057,0.0,0.0679,0.0,0.0,0.0,0.0001,0.0,0.006,0.0
staat,68,0.0001,0.0001,0.0,0.0001,0.0001,0.0062,0.0001,0.0,0.0,0.0001,0.0,0.0,0.0001,0.0,0.0,0.0216,0.0001,0.0,0.0,0.0
bedürfnis,67,0.0001,0.0001,0.0,0.0001,0.0001,0.0,0.0001,0.0,0.0,0.0,0.0,0.008,0.0001,0.0,0.0436,0.0,0.0001,0.0,0.0,0.0
anthropologie,66,0.0001,0.0001,0.0061,0.0001,0.0001,0.0,0.0001,0.0,0.0,0.0,0.0269,0.0,0.0001,0.0,0.0,0.0,0.0001,0.0,0.0,0.0
sinn,66,0.0001,0.0001,0.0037,0.0001,0.0001,0.0,0.0001,0.009,0.0,0.0,0.0,0.0015,0.0001,0.01,0.0,0.0,0.0001,0.0,0.0,0.0078
voraussetzung,66,0.0001,0.0001,0.0,0.0001,0.0001,0.0049,0.0001,0.0004,0.0,0.0,0.0,0.0027,0.0176,0.0,0.0,0.0001,0.0001,0.0,0.0,0.006
zentral,66,0.0001,0.0001,0.0089,0.0001,0.0001,0.0,0.0001,0.0062,0.0,0.0,0.0015,0.0,0.0001,0.0042,0.0001,0.0,0.0001,0.0,0.0234,0.0
kultur,65,0.0001,0.0001,0.0059,0.0129,0.0001,0.0003,0.0001,0.0,0.0,0.0,0.0005,0.0,0.0001,0.0,0.0,0.0204,0.0001,0.0,0.0,0.0
allgemein,64,0.0001,0.0001,0.0101,0.0001,0.0001,0.0014,0.0001,0.0,0.0,0.0,0.0104,0.0,0.0001,0.0,0.0,0.0,0.0001,0.0,0.0,0.0046
solidarität,64,0.0001,0.0001,0.0,0.0001,0.0001,0.0034,0.0001,0.0,0.0,0.0022,0.0,0.0,0.0001,0.0017,0.0,0.0,0.0001,0.0,0.036,0.0
kant,64,0.0001,0.0001,0.0024,0.0001,0.0001,0.0,0.0001,0.0164,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0053,0.0,0.0,0.0078
frieden,64,0.0001,0.0001,0.0,0.0001,0.0001,0.009,0.0001,0.0,0.0,0.0,0.0,0.0021,0.0001,0.0,0.0,0.0002,0.0001,0.0,0.0207,0.0
verhältnis,63,0.0002,0.0001,0.0059,0.0001,0.0001,0.0013,0.0001,0.0,0.0,0.0,0.0,0.0089,0.0001,0.0,0.0,0.0,0.0001,0.0,0.0,0.005
ökonomisch,62,0.0001,0.0001,0.0,0.0001,0.0001,0.0104,0.0001,0.0,0.0,0.0,0.0,0.0048,0.0001,0.0,0.0,0.0,0.0001,0.0017,0.007,0.0
persönlich,60,0.0001,0.0178,0.0,0.0313,0.0001,0.0028,0.0001,0.0,0.0,0.0,0.0,0.0068,0.0001,0.0,0.0012,0.0,0.0001,0.0,0.0,0.0
geschichte,60,0.0027,0.0001,0.0,0.0001,0.0001,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0001,0.0078,0.0,0.0188,0.0001,0.0038,0.0,0.0
historisch,58,0.0001,0.0001,0.0,0.0083,0.0001,0.0029,0.0001,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0205,0.0001,0.0,0.0,0.0
deutsch,58,0.0001,0.0001,0.0,0.0001,0.0001,0.0,0.0593,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0068,0.0001,0.0,0.0,0.0
prinzip,58,0.0001,0.0001,0.0,0.0001,0.0001,0.0,0.0001,0.0,0.0,0.0,0.0,0.0001,0.0001,0.0,0.0,0.0,0.0001,0.0,0.0,0.0164
gott,57,0.0001,0.0001,0.0,0.0001,0.0001,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0001,0.0222,0.0,0.0,0.0001,0.0202,0.0,0.0
pflicht,57,0.0001,0.0001,0.0026,0.0001,0.0001,0.0,0.0001,0.0222,0.0,0.0128,0.0003,0.0,0.0001,0.0,0.0,0.0,0.0001,0.0,0.0,0.0018
gewissen,56,0.0153,0.0001,0.0,0.0001,0.0001,0.0073,0.0001,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0001,0.0,0.0,0.0025
beitrag,55,0.0001,0.0001,0.0036,0.0001,0.0001,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0001,0.0,0.0353,0.0
beziehung,55,0.0104,0.0001,0.0,0.0001,0.0001,0.0024,0.0001,0.0,0.0,0.0,0.0,0.0066,0.0001,0.0,0.0013,0.0,0.0001,0.0122,0.0001,0.0
moral,55,0.0001,0.0001,0.0,0.0001,0.0001,0.0,0.0001,0.0,0.0,0.0,0.0127,0.0,0.0001,0.0,0.0,0.0,0.0001,0.0,0.0,0.0071
negativ,55,0.0001,0.0001,0.0,0.0001,0.0001,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0653,0.0019,0.0,0.0
fähigkeit,55,0.0026,0.0001,0.002,0.0001,0.0001,0.0038,0.0001,0.0001,0.0,0.0,0.0,0.0047,0.0214,0.0,0.0,0.0,0.0001,0.0,0.0,0.0
angewandte,54,0.0001,0.0001,0.0,0.0001,0.0001,0.0,0.0001,0.0,0.0,0.0,0.026,0.0,0.0001,0.0,0.0,0.0,0.0001,0.0,0.0,0.0
toleranz,54,0.0001,0.0001,0.0,0.0001,0.0001,0.0051,0.0001,0.0069,0.0,0.0,0.0,0.0,0.0001,0.0107,0.0,0.0,0.0001,0.0,0.0,0.0018
streben,53,0.0001,0.0136,0.0,0.0001,0.0001,0.0025,0.032,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0001,0.0,0.0,0.0017
dimension,53,0.0001,0.0001,0.0028,0.0001,0.0001,0.0,0.0001,0.0,0.0,0.0,0.0001,0.0049,0.0001,0.0,0.0011,0.0139,0.0001,0.0,0.0,0.0
familie,53,0.0078,0.0001,0.0,0.0001,0.0001,0.0,0.0001,0.0028,0.0,0.0,0.0,0.0,0.0001,0.0,0.0452,0.0,0.0001,0.0,0.0,0.0
positiv,53,0.0001,0.0001,0.0,0.0001,0.0001,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0668,0.0,0.0,0.0
