term,total_across_topics,Topic_1,Topic_2,Topic_3,Topic_4,Topic_5,Topic_6,Topic_7,Topic_8,Topic_9,Topic_10,Topic_11,Topic_12,Topic_13,Topic_14,Topic_15
biologie,45,0.0001,0.0001,0.0001,0.0002,0.0001,0.0061,0.0001,0.0057,0.0122,0.0,0.0001,0.0001,0.0001,0.0006,0.0002
population,45,0.0001,0.0001,0.0001,0.0002,0.0001,0.0,0.0001,0.0119,0.0094,0.0,0.0048,0.0001,0.0001,0.0006,0.0002
ergebnis,45,0.0001,0.0001,0.0004,0.0002,0.0001,0.0004,0.0068,0.0104,0.0001,0.0018,0.0001,0.0087,0.0001,0.0006,0.0002
insekt,45,0.0012,0.0348,0.0001,0.0002,0.0001,0.0009,0.0001,0.0,0.0001,0.0014,0.0001,0.0001,0.0001,0.0006,0.0002
vergleich,44,0.0001,0.0001,0.0001,0.0002,0.0028,0.0097,0.0001,0.0031,0.0025,0.0021,0.0001,0.0001,0.0001,0.0006,0.0002
genpool,44,0.0001,0.0001,0.0001,0.0002,0.0001,0.0,0.0001,0.0074,0.022,0.0,0.0001,0.0001,0.0001,0.0006,0.0002
mutation,42,0.0001,0.0001,0.0086,0.0002,0.0001,0.0,0.0001,0.0119,0.0001,0.0,0.0001,0.0016,0.0001,0.0006,0.0002
molekular,41,0.0001,0.0019,0.0154,0.0002,0.0001,0.0029,0.0094,0.0,0.0001,0.0,0.0001,0.0001,0.0022,0.0007,0.0002
bewegung,40,0.0001,0.0189,0.0005,0.0002,0.0001,0.0016,0.0001,0.0,0.0001,0.005,0.0001,0.0001,0.0001,0.0006,0.0002
beziehung,40,0.0027,0.0001,0.0001,0.0002,0.0001,0.0047,0.002,0.0,0.0001,0.0002,0.0112,0.0001,0.0093,0.0006,0.0002
gymnasial,39,0.0001,0.0001,0.0001,0.0928,0.0001,0.0,0.0001,0.0,0.0001,0.0,0.0001,0.003,0.0001,0.0006,0.0187
biotisch,38,0.0051,0.0001,0.0001,0.0002,0.0001,0.0,0.0001,0.0,0.0001,0.0,0.028,0.0001,0.0072,0.0006,0.0002
sinn,37,0.0001,0.0001,0.0001,0.0002,0.0018,0.0,0.0001,0.0,0.0001,0.0083,0.0001,0.013,0.0001,0.0006,0.0002
eigenschaft,36,0.0001,0.0001,0.0088,0.0002,0.0001,0.0,0.0172,0.0,0.0001,0.0021,0.0001,0.0001,0.0015,0.0006,0.0002
verständnis,36,0.0118,0.0001,0.0118,0.0002,0.0001,0.0032,0.0001,0.0,0.0001,0.0,0.0001,0.0001,0.0001,0.0006,0.0002
widerstand,36,0.0001,0.0001,0.0001,0.0002,0.0688,0.0,0.0001,0.0001,0.0001,0.0,0.0001,0.0001,0.0001,0.0006,0.0002
folge,34,0.0001,0.0001,0.0001,0.0002,0.0001,0.0019,0.0001,0.0095,0.0001,0.0014,0.0001,0.0001,0.0001,0.0006,0.0002
konkurrenz,34,0.0001,0.0001,0.0001,0.0002,0.0001,0.0,0.0001,0.0,0.0023,0.0,0.0239,0.0152,0.0019,0.0006,0.0002
nische,33,0.0001,0.0001,0.0001,0.0002,0.0001,0.0,0.0001,0.0,0.0001,0.0,0.0403,0.0001,0.0001,0.0006,0.0002
temperatur,33,0.0001,0.0001,0.0001,0.0002,0.0001,0.0,0.0001,0.0,0.0001,0.0,0.0001,0.0001,0.0252,0.0006,0.0002
notwendig,32,0.0001,0.0001,0.0001,0.0679,0.0111,0.002,0.0001,0.0,0.0001,0.0,0.0001,0.0001,0.0001,0.0006,0.0002
extrem,32,0.0001,0.0001,0.0001,0.0002,0.0001,0.0,0.0001,0.0,0.0001,0.0084,0.0001,0.0001,0.0048,0.0006,0.0002
gemeinsam,32,0.0001,0.0001,0.0042,0.0002,0.0001,0.0101,0.0001,0.0,0.0001,0.0,0.0001,0.0001,0.0001,0.0006,0.0002
ökologie,32,0.0158,0.0001,0.0001,0.0002,0.0001,0.0002,0.0001,0.0,0.0001,0.0,0.0001,0.0001,0.0105,0.0006,0.0002
