,text_excerpt,state,school type,grade,year,subject,doc_id
34008,"dokumentieren. Die Schülerinnen und Schüler wenden die Grundlegenden Begriffe Alter, Adoleszenz, Beeinträchtigung, Clique, Grund- und Menschenrechte, Idole/Vorbilder, Inklusion, Integration, Jugendarbeit, Manipulation, Peergroup, Prävention, Pubertät, Rehabilitation, Selbstkonzept, Selbststeuerung, soziokulturelles Milieu, Toleranz, Vorurteile und die rechtlichen Bestimmungen des Jugendschutzgesetzes u. a. , , und JSchG, des Grundgesetzes Art. - GG, der UN-Behindertenrechtskonvention u. a. Art. , der UN-Kinderrechtskonvention u. a. Art. , ,",Bayern,Realschule,,2023,"Ethik, Philo",34008
34009,"Konkretisierung: Unsere Lernenden können ... ihre Sinneswahrnehmung reflektieren, Möglichkeiten und Grenzen der menschlichen Sinneswahrnehmung erläutern, auf der Basis ihres Wissens einen Sinnesparcours für andere Schüler gestalten, Ursachen und Folgen von Vorurteilen reflektieren, nhaltsbezogene Kompetenzen: Mit Medien verantwortungsvoll umgehen Vereinbarungen für die Gestaltung von Lernwegen: - Schüler-VZ und ICQ: Spuren im Cyberspace Chatten ohne Risiko - Kontakt zum Hessischen Landeskriminalamt einbarter Unterrichtsschwerpunkt",Hessen,,Sek1,,"Ethik, Philo",34009
34010,"die Beurteilung politischer, wirtschaftlicher und militärischer Machtstrukturen und -konstellationen selbstständige Wiederholung bzw. Erarbeitung von Grundbegriffen Meinungsumfragen im Pw-Kurs sowie in Berlin und Brandenburg, die die Grundlage für die Identifizierung von Vorurteilen, Vorausurteilen, Urteilen zur EU-Wirtschaftspolitik bilden - geplant und durchgeführt in Gruppen vertieft reflektierte und diskursnahe Urteilsbildung, die besonders die interessengeleiteten Perspektiven der jeweiligen Staaten auf der politischen und wirtschaftlichen Betrachtungsebene",Berlin,Gym,Sek2,,Sozialkunde,34010
34011,"berücksichtigt selbstständige, vertiefte und diskursnahe Urteilsbildung s.o. T : Europäische Identität Wahlbereich Inhalte Europa-Ideen aus historischer und aktueller Perspektive: Vordenker und Denker Sprachen und Kulturen in Europa Identität, Vorausurteile und Vorurteile Stereotype Minderheiten und Volksgruppen in Europa: Basken, Sinti und Roma, Sorben etc. Menschen- und Bürgerrechte in Europa Religionen in Europa: Christen, Juden, Moslems etc. Kompetenzerwerb im Themenfeld vergleichende Textquellenarbeit: Vertiefung",Berlin,Gym,Sek2,,Sozialkunde,34011
34012,"für den Umgang mit der komplexen globalisierten Gegenwart. Orientierungskompetenz beinhaltet im Detail: produktiven/pragmatischen/kenntnisreichen Umgang mit Begriffen, Daten, Ordnungskategorien der Geschichte, Alteritätserfahrung mittels Analyse historischer Sachverhalte, Dekonstruktion, Hinterfragen von Geschichtsdarstellungen, Deutungen, Vorurteilen, Mythen und Legenden, Kenntnis von Geschichtstheorien. Methodenkompetenz Da das Fach Geschichte ausschließlich über Medien vermittelt werden kann, kommt der Methodenkompetenz ein hoher Stellenwert zu, die auch eine historische Gattungskompetenz einschließt.",Saarland,Gym,Sek2,2016,Geschichte,34012
34013,Zusammenleben einsetzen sowie an zukunftsweisenden und nachhaltigen Entwicklungen mitwirken können. Bildung für Toleranz und Akzeptanz von Vielfalt BTV Im Fach Psychologie beschäftigen sich die Schülerinnen und Schüler mit Einstellungen und Vorurteilen sowie Möglichkeiten ihrer Veränderung. Sie reflektieren das Verhältnis von Norm und Abweichung und die Gefahr von Stigmatisierungen. Zudem befassen sich die Schülerinnen und Schüler mit Entwicklungsaufgaben und Identität. Damit leistet,BaWü,,Sek2,2016,"Psychologie, Gesundheit",34013
34014,"Breyer u. a.: Nachbarn seit tausend Jahren. Deutsche und Polen in Bildern und Dokumenten. Aufl. Mainz - die Versuche kennen, nach zu einer Normalisierung der deutsch-polnischen Beziehung zu gelangen Mentalitäten, Vorurteile, Klischees; Görlitzer Vertrag , Warschauer Vertrag , Bundesrepublik direkter Nachbar Polens Freundschaftsvertrag; EUREGIO Görlitz; Schüleraustausch, Städtepartnerschaften Himmler-Denkschrift, in: Weltgeschichte im Aufriss, Bd. /, Frankfurt a. M. Th. Schieder Bearb.: Die",Rheinland-Pfalz,Gym,Sek2,1998,Sozialkunde,34014
34015,"Religion Weltreligionen Die Schülerinnen und Schüler charakterisieren und vergleichen anhand eines Aspekts beispielhaft die fünf Weltreligionen Buddhismus, Christentum, Hinduismus, Islam, Judentum, beschreiben die Erscheinungsformen der Weltreligionen im Alltag, prüfen kritisch Vorurteile/falsches Vorwissen über Religionen, erläutern die Bedeutung ihres interreligiösen Wissens für ein friedliches Miteinander. mögliche Vergleichspunkte: Weltbild, Menschenbild, Feste und Riten, Wert- und Moralvorstellungen falls in / und/oder / nicht behandelt,",Saarland,Gym,9,2018,"Ethik, Philo",34015
34016,"Praxis Scharia die fünf Säulen des Islam Speisevorschriften Alkoholverbot Rolle der Frau Reflexions- und Diskursfähigkeit Sich positionieren zu Aspekten der Begegnung mit der islamischen Religion und Kultur Muslime in Deutschland Vorurteilen und Islamfeindlichkeit entgegentreten Gespräche mit Muslimen Verhältnis der monotheistischen Weltreligionen internationale Konflikte Fundamentalismus Internetrecherche Werteorientierung Bildung für nachhaltige Entwicklung g Sich positionieren zu Beispielen moderner Lebensgestaltung Orientierung an Idealen, sozialen",Sachsen,Gym,,2019,"Ethik, Philo",34016
34017,"Beispiele für gängige Vorurteile und Klischees. Vorurteile und Klischees bezogen auf Aussehen, Geschlechterrollen, Lebensalter, Religionszugehörigkeit, soziale und ethnische Herkunft Klischees und Stereotype in den Medien erläutern Ursachen und Folgen von Vorurteilen. Unkenntnis, Desinteresse, Intoleranz, Unsicherheit, Schwarz-Weiß-Denken, Stärkung des Ich- und Wir-Gefühls, Aufbau von Feindbildern, Ausgrenzung, Diskriminierung, Konflikte, Gewalt diskutieren Möglichkeiten und Voraussetzungen eines toleranten Zusammenlebens. Minimalkonsens grundlegender Wertvorstellungen Informationen über andere",Niedersachsen,Realschule,,2018,"Ethik, Philo",34017
