term,total_across_topics,Topic_1,Topic_2,Topic_3,Topic_4,Topic_5,Topic_6,Topic_7,Topic_8,Topic_9,Topic_10,Topic_11,Topic_12
anregung,13,0.0001,0.0005,0.0022,0.0001,0.002,0.0003,0.0001,0.0187,0.0174,0.0001,0.0005,0.0131
standortfaktor,13,0.0185,0.0005,0.0003,0.0001,0.002,0.0003,0.0001,0.0007,0.0183,0.0001,0.0005,0.0003
verstehen,13,0.0001,0.0005,0.0055,0.0087,0.002,0.0003,0.0001,0.016,0.0011,0.0001,0.0005,0.0003
analyse,12,0.0001,0.0005,0.0002,0.0011,0.002,0.0003,0.0043,0.0263,0.0011,0.0001,0.0005,0.0003
dynamik,12,0.0001,0.0005,0.0002,0.0016,0.002,0.0053,0.0001,0.016,0.0011,0.0042,0.0005,0.0003
evolutionstheorie,12,0.0001,0.0012,0.0002,0.0001,0.002,0.0272,0.0001,0.0058,0.0011,0.0001,0.0005,0.0003
extern,12,0.0001,0.0005,0.0002,0.0001,0.0176,0.0003,0.0078,0.0114,0.0011,0.0001,0.0005,0.0003
gesellschaft,12,0.0001,0.0005,0.0002,0.0001,0.002,0.025,0.0019,0.0007,0.0011,0.0001,0.0005,0.0003
leistungskurs,12,0.0001,0.0005,0.0144,0.0001,0.002,0.0108,0.0001,0.0007,0.0011,0.0001,0.0005,0.0003
menschenrecht,12,0.0155,0.0005,0.0002,0.0001,0.002,0.0003,0.0019,0.0007,0.0011,0.0001,0.0005,0.0085
norm,12,0.0001,0.0005,0.0002,0.0001,0.002,0.0053,0.0001,0.0007,0.0011,0.0001,0.0005,0.0203
symbiose,12,0.0001,0.0005,0.0189,0.0001,0.002,0.0003,0.0001,0.0007,0.0011,0.0013,0.0005,0.0003
ökonomie,12,0.0001,0.0283,0.0002,0.0078,0.002,0.0003,0.0001,0.0007,0.0011,0.0001,0.0005,0.0003
biodiversität,11,0.0001,0.0163,0.0122,0.0001,0.002,0.0003,0.0001,0.0007,0.0011,0.0001,0.0005,0.0003
fitness,11,0.0001,0.0441,0.0002,0.0001,0.0019,0.0003,0.0001,0.0007,0.0011,0.0001,0.0005,0.0003
führen,11,0.0001,0.0083,0.0003,0.0001,0.002,0.0003,0.0001,0.0476,0.0011,0.0002,0.0005,0.0003
handel,11,0.0545,0.0005,0.0002,0.0001,0.0019,0.0003,0.0001,0.0007,0.0011,0.0001,0.0005,0.0005
kohlenstoffkreislauf,11,0.0001,0.0005,0.0152,0.0001,0.002,0.0003,0.0001,0.0007,0.0011,0.0025,0.0005,0.0003
konkurrenzausschluss,11,0.0001,0.0005,0.0002,0.0001,0.002,0.0003,0.0001,0.0007,0.0174,0.0094,0.0005,0.0003
religion,11,0.0001,0.0005,0.0002,0.0001,0.002,0.0176,0.0001,0.0007,0.0011,0.0001,0.0005,0.0083
darwin,10,0.0001,0.0006,0.0002,0.0001,0.002,0.0251,0.0001,0.0007,0.0011,0.0001,0.0005,0.0003
herausbildung,10,0.0001,0.0005,0.0002,0.0001,0.002,0.0251,0.0001,0.0007,0.0011,0.0001,0.0005,0.0003
methode,10,0.0001,0.0005,0.0002,0.0001,0.002,0.0003,0.0002,0.0007,0.0011,0.0022,0.0005,0.0166
physiologisch,10,0.0001,0.0193,0.0092,0.0001,0.0019,0.0003,0.0001,0.0008,0.0011,0.0001,0.0005,0.0003
prozess,10,0.0001,0.0006,0.0002,0.0001,0.002,0.0254,0.0001,0.0007,0.0011,0.0001,0.0005,0.0003
reproduktiv,10,0.0001,0.0401,0.0002,0.0001,0.002,0.0003,0.0001,0.0007,0.0011,0.0001,0.0005,0.0003
sinn,10,0.0001,0.0006,0.0002,0.0001,0.002,0.0251,0.0001,0.0007,0.0011,0.0001,0.0005,0.0003
voraussetzung,10,0.0001,0.0005,0.0002,0.0022,0.002,0.0003,0.0137,0.0007,0.0011,0.0001,0.0005,0.0005
