term,total_across_topics,Topic_1,Topic_2,Topic_3,Topic_4,Topic_5,Topic_6,Topic_7,Topic_8,Topic_9,Topic_10,Topic_11,Topic_12
bezüglich,13,0.0,0.0001,0.0,0.0001,0.0001,0.0001,0.0,0.0263,0.0001,0.0001,0.0003,0.0001
sorgen,12,0.0,0.0001,0.0,0.0001,0.0001,0.0001,0.0,0.0244,0.0001,0.0001,0.0003,0.0001
tief,12,0.0,0.0001,0.0,0.0001,0.0001,0.0001,0.0,0.0247,0.0001,0.0001,0.0003,0.0001
verbinden,12,0.0001,0.0001,0.0,0.0001,0.0001,0.0001,0.0,0.0247,0.0001,0.0001,0.0003,0.0001
verbraucherinne,12,0.0001,0.0001,0.0,0.003,0.0001,0.0118,0.0,0.0002,0.0001,0.0001,0.0003,0.0001
verkaufsstrategi,11,0.0,0.0001,0.0,0.0001,0.0001,0.0129,0.0,0.0002,0.0001,0.0001,0.0003,0.0001
zudem,11,0.0,0.0001,0.0,0.0001,0.0001,0.0001,0.0,0.0223,0.0001,0.0001,0.0003,0.0001
leitperspektive,11,0.0001,0.0106,0.0001,0.0001,0.0001,0.0001,0.0,0.0002,0.0001,0.0001,0.0003,0.0001
misserfolg,10,0.0,0.0001,0.0,0.0001,0.0001,0.0001,0.0,0.0204,0.0001,0.0001,0.0003,0.0001
akzeptieren,10,0.0,0.0001,0.0027,0.0001,0.0001,0.0001,0.0,0.0002,0.0001,0.0001,0.018,0.0001
erfahrungsgemäß,10,0.0,0.0001,0.0,0.0001,0.0001,0.0001,0.0,0.0204,0.0001,0.0001,0.0003,0.0001
gelegentlich,10,0.0,0.0001,0.0,0.0001,0.0001,0.0001,0.0,0.0204,0.0001,0.0001,0.0003,0.0001
heranwachsen,10,0.0,0.0001,0.0,0.0001,0.0001,0.0001,0.0,0.0204,0.0001,0.0001,0.0003,0.0001
langeweile,10,0.0,0.0001,0.0,0.0001,0.0001,0.0001,0.0,0.0204,0.0001,0.0001,0.0003,0.0001
differenziert,8,0.0,0.0001,0.0,0.0001,0.0001,0.0001,0.0,0.0002,0.0001,0.0001,0.0278,0.0001
ursprung,8,0.0,0.0001,0.0,0.0001,0.0001,0.0001,0.0,0.0002,0.0001,0.0001,0.0269,0.0001
fragen,7,0.0,0.002,0.0,0.0001,0.0001,0.0001,0.0,0.0002,0.0001,0.0001,0.0172,0.0001
fundiert,6,0.0,0.0001,0.0,0.0001,0.0001,0.0001,0.0,0.0002,0.0001,0.0001,0.0207,0.0001
anweisen,5,0.0,0.0001,0.0,0.0001,0.0001,0.0001,0.0,0.0002,0.0001,0.0001,0.0172,0.0001
beschäftigung,5,0.0,0.0001,0.0,0.0001,0.0001,0.0001,0.0,0.0002,0.0001,0.0001,0.0172,0.0001
urteilen,5,0.0,0.0001,0.0,0.0001,0.0001,0.0001,0.0,0.0002,0.0001,0.0001,0.0172,0.0001
wahrheitsorientiert,5,0.0,0.0001,0.0,0.0001,0.0001,0.0001,0.0,0.0002,0.0001,0.0001,0.0172,0.0001
jenseits,5,0.0,0.0001,0.0,0.0001,0.0001,0.0001,0.0,0.0002,0.0001,0.0001,0.0172,0.0001
