term,total_across_topics,Topic_1,Topic_2,Topic_3,Topic_4,Topic_5,Topic_6,Topic_7,Topic_8,Topic_9,Topic_10
erklären,146,0.0,0.0088,0.0,0.0,0.0,0.0038,0.002,0.0,0.0,0.0
ebene,144,0.0,0.0,0.0,0.0,0.0,0.007,0.0,0.0,0.0,0.0
gefährdung,143,0.0,0.0,0.0,0.0,0.0,0.0066,0.0,0.0,0.0,0.0
element,140,0.0,0.0,0.0,0.0,0.0,0.0,0.0109,0.0,0.0,0.0
vertreten,132,0.0,0.0,0.0,0.001,0.0023,0.0,0.0,0.0,0.0,0.0129
weiterentwicklung,132,0.0084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
scheitern,131,0.0,0.0,0.0,0.0,0.0,0.0,0.0091,0.0,0.0,0.0
vergleich,128,0.0,0.0,0.0,0.0044,0.0,0.0,0.0073,0.0,0.0,0.0
begründen,127,0.0,0.0,0.0,0.0004,0.0,0.0,0.0005,0.0,0.0,0.0134
übernehmen,127,0.0027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0096
freiheitlichdemokratisch,126,0.0001,0.0,0.0028,0.0,0.0,0.0,0.0,0.0,0.0,0.0121
bürgerin,123,0.0024,0.0,0.0,0.0,0.0096,0.0,0.0,0.0,0.0,0.0
vielfalt,118,0.0,0.0,0.0011,0.0,0.0,0.0009,0.0,0.0,0.0134,0.0
national,117,0.0014,0.0,0.0,0.0,0.0,0.0,0.0019,0.0111,0.0015,0.0013
nehmen,114,0.0007,0.0,0.0021,0.0,0.0,0.0,0.0,0.0,0.0,0.0099
ddr,113,0.0,0.0,0.0,0.0,0.0,0.0003,0.0074,0.0,0.0,0.0
wichtig,110,0.0025,0.0,0.0078,0.0013,0.0,0.0009,0.0,0.0,0.0,0.0
toleranz,108,0.0,0.0031,0.0,0.0,0.0,0.0,0.0,0.0,0.0143,0.0
partizipationsmöglichkeit,104,0.0,0.0,0.0,0.0032,0.0099,0.0,0.0,0.0,0.0,0.0
globalisierung,101,0.0011,0.0,0.0013,0.0,0.0,0.0,0.0,0.018,0.0,0.0
mündig,100,0.0,0.0,0.0,0.0013,0.0108,0.0,0.0,0.0,0.0,0.0
handlungsoption,97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0145,0.0
idee,96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0209,0.0,0.0
dimension,96,0.0027,0.0,0.0094,0.0,0.0,0.0,0.0,0.0,0.0,0.0005
schulisch,95,0.0,0.0,0.0092,0.0,0.0,0.0026,0.0,0.0,0.0,0.0
entscheidungsfindung,93,0.0,0.0,0.0,0.0,0.0093,0.0,0.0,0.0,0.0,0.0022
art,93,0.0,0.0119,0.0,0.0,0.0,0.0011,0.0015,0.0,0.0,0.0
willensbildung,91,0.0,0.0,0.0,0.0,0.0097,0.0003,0.0,0.0,0.0,0.0
sicherheit,90,0.0,0.0,0.0,0.0,0.0,0.0023,0.0,0.0098,0.0,0.0
beziehung,86,0.0,0.0,0.0,0.0,0.0,0.0011,0.0,0.0134,0.0,0.0
einzubringen,81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0126,0.0
direkt,78,0.0,0.016,0.0,0.0017,0.0,0.0,0.0,0.0,0.0,0.0
integration,75,0.001,0.0,0.0,0.0,0.0,0.0013,0.0,0.0081,0.0,0.0
römisch,73,0.0,0.0,0.0,0.0099,0.0,0.0,0.0,0.0,0.0,0.0
klasse,73,0.0,0.0,0.0085,0.0003,0.0,0.0,0.0019,0.0,0.0,0.0
antik,72,0.0,0.0004,0.0,0.0089,0.0,0.0,0.0,0.0,0.0,0.0
monarchie,69,0.0,0.0,0.0,0.0092,0.0,0.0,0.0,0.0,0.0,0.0
themenfeld,67,0.0,0.0,0.011,0.0,0.0,0.0002,0.0008,0.0,0.0,0.0
darstellen,66,0.0,0.0,0.0124,0.0,0.0,0.0,0.0,0.0,0.0,0.0
veränderung,64,0.0,0.0,0.012,0.0,0.0,0.0,0.0,0.0,0.0,0.0
verfahren,63,0.0,0.0,0.0121,0.0008,0.0,0.0,0.0,0.0,0.0,0.0
liberal,61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0134,0.0,0.0
zukünftig,61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0089,0.0
attisch,60,0.0,0.0069,0.0,0.0034,0.0,0.0,0.0,0.0,0.0,0.0
akzeptanz,59,0.0,0.0,0.0095,0.0,0.0,0.0,0.0,0.0,0.0012,0.0
athen,59,0.0,0.0001,0.0,0.0081,0.0,0.0,0.0,0.0,0.0,0.0
union,53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0121,0.0,0.0
