term,total_across_topics,Topic_1,Topic_2,Topic_3,Topic_4,Topic_5,Topic_6,Topic_7,Topic_8,Topic_9,Topic_10,Topic_11,Topic_12,Topic_13,Topic_14,Topic_15
erschließen,14,0.0003,0.0421,0.015,0.0002,0.0023,0.0002,0.0001,0.0003,0.0004,0.0038,0.0006,0.0049,0.0007,0.0004,0.0003
geschichte,14,0.0003,0.0289,0.0002,0.0002,0.0023,0.0002,0.0001,0.0003,0.0119,0.0042,0.0007,0.0018,0.0209,0.0004,0.0171
lernprozesse,14,0.0004,0.0017,0.0002,0.0002,0.0025,0.0002,0.018,0.0003,0.0005,0.0014,0.0159,0.0002,0.0007,0.0004,0.0003
miteinander,14,0.0003,0.0018,0.0002,0.0002,0.0024,0.0002,0.0192,0.0003,0.0005,0.0014,0.0006,0.0002,0.0131,0.0004,0.0003
problem,14,0.0167,0.002,0.0002,0.0051,0.0024,0.0002,0.0001,0.0003,0.0273,0.0014,0.0006,0.0051,0.0007,0.0005,0.0003
reflexion,14,0.0003,0.0018,0.0002,0.0002,0.0023,0.0002,0.0203,0.0003,0.0005,0.0014,0.0006,0.0016,0.0007,0.0006,0.0003
sozialkompetenz,14,0.0003,0.0529,0.0002,0.0002,0.0024,0.0002,0.0001,0.0003,0.0081,0.0037,0.0006,0.0109,0.0254,0.0004,0.0003
wertvorstellung,14,0.0003,0.0018,0.0002,0.0002,0.0023,0.0002,0.01,0.0003,0.0249,0.0014,0.0006,0.0038,0.0007,0.0094,0.0003
ziel,14,0.0003,0.0018,0.0002,0.0042,0.0023,0.0058,0.0048,0.0003,0.0004,0.0014,0.0006,0.0002,0.0218,0.0129,0.0003
austausch,13,0.0003,0.0017,0.0002,0.0002,0.0024,0.0002,0.018,0.0003,0.0005,0.0014,0.0006,0.0002,0.0007,0.008,0.0003
bereiten,13,0.0003,0.0018,0.0002,0.0002,0.0023,0.003,0.0001,0.0003,0.0249,0.0014,0.0006,0.0002,0.0007,0.0004,0.0289
dialog,13,0.0003,0.0017,0.0002,0.0002,0.0023,0.0002,0.0203,0.0003,0.0005,0.0014,0.0006,0.0002,0.0007,0.0006,0.0003
hinterfragen,13,0.0004,0.0171,0.0002,0.0227,0.0023,0.0002,0.0037,0.0003,0.0081,0.0014,0.0006,0.0002,0.0007,0.0004,0.0003
interesse,13,0.0095,0.0018,0.0002,0.0002,0.0024,0.0002,0.0001,0.0003,0.0004,0.0014,0.0006,0.0077,0.0007,0.0346,0.0003
international,13,0.0004,0.0018,0.0207,0.0003,0.0023,0.0002,0.0001,0.0003,0.0004,0.0014,0.0375,0.0027,0.0009,0.0004,0.0003
kontext,13,0.0195,0.002,0.0002,0.0002,0.0023,0.0002,0.0001,0.0003,0.0004,0.0259,0.0006,0.0071,0.0007,0.0004,0.0003
kultur,13,0.0004,0.0017,0.0002,0.0002,0.0023,0.0002,0.0191,0.0003,0.0005,0.0014,0.0006,0.0003,0.0069,0.0004,0.0003
norm,13,0.0004,0.0018,0.0003,0.0002,0.0024,0.0002,0.0001,0.0368,0.0005,0.0014,0.0006,0.0057,0.0007,0.008,0.0003
wissen,13,0.0095,0.0019,0.0002,0.0002,0.0026,0.0002,0.0001,0.0003,0.0067,0.0014,0.0313,0.0022,0.0069,0.0004,0.0003
zunehmend,13,0.0003,0.0018,0.0003,0.0146,0.0023,0.0002,0.0001,0.0401,0.0004,0.0014,0.0006,0.0002,0.0007,0.0004,0.0003
zusammenhang,13,0.0095,0.0018,0.0047,0.0002,0.0024,0.0002,0.0001,0.0003,0.0004,0.0259,0.0006,0.0126,0.0007,0.0004,0.0003
auseinandersetzen,12,0.0003,0.0018,0.0002,0.0002,0.0023,0.0305,0.0002,0.0003,0.0004,0.0015,0.0006,0.0087,0.0007,0.0005,0.0003
beziehung,12,0.0004,0.0018,0.0003,0.0003,0.0024,0.0002,0.0001,0.0425,0.0004,0.0136,0.0006,0.0003,0.0007,0.0004,0.0003
einflussnahme,12,0.0004,0.0017,0.0002,0.0002,0.0023,0.0338,0.0001,0.0003,0.0004,0.0014,0.0006,0.0002,0.0131,0.0005,0.0003
fremdsprachlich,12,0.0004,0.0017,0.0002,0.0002,0.0024,0.0002,0.0001,0.0003,0.0004,0.0014,0.0006,0.0002,0.0007,0.0004,0.0575
gesellschaft,12,0.0004,0.0018,0.0002,0.0002,0.0024,0.0002,0.0001,0.0003,0.0004,0.0845,0.0253,0.0158,0.0007,0.0094,0.0003
kompetenzbereiche,12,0.0004,0.0017,0.0002,0.0002,0.0023,0.0002,0.0001,0.0003,0.0004,0.0014,0.0006,0.0002,0.0007,0.0004,0.0575
