file,state,school type,grade,year,subject,word_count
LP BaWü WP Psychologie Gemeinschaftsschule Sek2 2016.pdf,Baden-Württemberg,Gemeinschaftsschule,Sek2,2016.0,Psychologie,6786
LP Bayern Wirtschaft und Recht Gym 13 LK 2023.pdf,Bayern,Gym,13,2023.0,Sozialkunde,983
KMK Wirtschaft EPA 2006.pdf,KMK,,,2006.0,Sozialkunde,34140
LP NRW Politik Hauptschule 2022.pdf,Nordrhein-Westfalen,Hauptschule,,2022.0,Sozialkunde,6933
LP Thüringen Sozialkunde Gym 2012.pdf,Thüringen,Gym,,2012.0,Sozialkunde,6914
LP Hessen Kerncurriculum Politik und Wirtschaft Hauptschule.pdf,Hessen,Hauptschule.pdf,,,Sozialkunde,10321
LP Hamburg Wirtschaft Gym Sek2 2024.pdf,Hamburg,Gym,Sek2,2024.0,Sozialkunde,5929
LP Hamburg Wirtschaft Stadtteilschule Sek1 2024.pdf,Hamburg,Stadtteilschule,Sek1,2024.0,Sozialkunde,5272
LP NRW Wirtschaft-Politik Gym Sek1 2019.pdf,Nordrhein-Westfalen,Gym,Sek1,2019.0,Sozialkunde,7303
LP Sachsen Gemeinschaftskunde Rechtserziehung Oberschule 2019.pdf,Sachsen,Oberschule,,2019.0,Sozialkunde,5640
LP Saarland Gesellschaftswissenschaften Gemeinschaftsschule allg. 2014.pdf,Saarland,Gemeinschaftsschule,,2014.0,Sozialkunde,3797
LP Bayern Politik und Gesellschaft Gym-soz 11 2023.pdf,Bayern,Gym,11,2023.0,Sozialkunde,2020
LP Bayern Politik und Gesellschaft Gym-soz 10 2023.pdf,Bayern,Gym,10,2023.0,Sozialkunde,1030
LP Bayern Politik und Gesellschaft Gym 12 LK 2023.pdf,Bayern,Gym,12,2023.0,Sozialkunde,2501
LP RheinPfalz Gesellschwiss. Anpassung SekII 2011.pdf,Rheinland-Pfalz,,,2011.0,Sozialkunde,32392
LP Hessen Kerncurriculum Politik und Wirtschaft Realschule.pdf,Hessen,Realschule.pdf,,,Sozialkunde,10306
LP Bayern Politik und Gesellschaft Gym 12 GK 2023.pdf,Bayern,Gym,12,2023.0,Sozialkunde,1543
LP Bremen Gesellschaft und Politik Oberschule Sek1 2010.pdf,Bremen,Oberschule,Sek1,2010.0,Sozialkunde,4601
Lp MeckPomm Sozialkunde Sek1 2023.pdf,Mecklenburg-Vorpommern,,Sek1,2023.0,Sozialkunde,10636
LP Niedersachsen Politik Oberschule 2018.pdf,Niedersachsen,Oberschule,,2018.0,Sozialkunde,7531
LP NRW Wirtschaft Realschule 2020.pdf,Nordrhein-Westfalen,Realschule,,2020.0,Sozialkunde,5845
LP Bremen Soziologie Gym Sek2 2009.pdf,Bremen,Gym,Sek2,2009.0,Sozialkunde,2600
LP Bayern Wirtschaft und Recht Gym 11 2023.pdf,Bayern,Gym,11,2023.0,Sozialkunde,712
LP Bayern Wirtschaft und Recht Gym 10 2023.pdf,Bayern,Gym,10,2023.0,Sozialkunde,552
LP Bayern Wirtschaft und Recht Gym 13 GK 2023.pdf,Bayern,Gym,13,2023.0,Sozialkunde,598
LP Bayern Wirtschaft und Recht Gym Fachprofil.pdf,Bayern,Gym,,,Sozialkunde,2961
LP Berlin BB Sozialwissenschaften Gym Sek2.pdf,Berlin,Gym,Sek2,,Sozialkunde,8257
"LP Saarland Gesellschaftswissenschaften Gemeinschaftsschule 7,8 2014.pdf",Saarland,Gemeinschaftsschule,"7,8",2014.0,Sozialkunde,7391
LP Berlin BB Wirtschaftswissenschaften Gym Sek2.pdf,Berlin,Gym,Sek2,,Sozialkunde,7340
LP Niedersachsen Politik Realschule 2015.pdf,Niedersachsen,Realschule,,2015.0,Sozialkunde,6427
LP Sachsen-Anhalt Sozialkunde Gym 2022.pdf,Sachsen-Anhalt,Gym,,2022.0,Sozialkunde,7472
LP Hessen Kerncurriculum Politik und Wirtschaft Gym Sek2 2024.pdf,Hessen,Gym,Sek2,2024.0,Sozialkunde,14812
LP Hessen Kerncurriculum Wirtschaftswissenschaften Gym Sek2 2024.pdf,Hessen,Gym,Sek2,2024.0,Sozialkunde,13888
LP Bayern Politik und Gesellschaft Gym 10 2023.pdf,Bayern,Gym,10,2023.0,Sozialkunde,757
LP Bayern Politik und Gesellschaft Gym 11 2023.pdf,Bayern,Gym,11,2023.0,Sozialkunde,1412
LP Saarland Wirtschaftslehre Gym Sek2 GK 2023.pdf,Saarland,Gym,Sek2,2023.0,Sozialkunde,5290
LP Thüringen Wirtschaft Umwelt Europa Regelschule 2012.pdf,Thüringen,Regelschule,,2012.0,Sozialkunde,4760
LP Saarland Wirtschaftslehre Gym Sek2 Einführung 2023.pdf,Saarland,Gym,Sek2,2023.0,Sozialkunde,3286
LP Niedersachsen Politik Hauptschule 2015.pdf,Niedersachsen,Hauptschule,,2015.0,Sozialkunde,6526
LP BaWü Gemeinschaftskunde Gym 2023.pdf,Baden-Württemberg,Gym,,2023.0,Sozialkunde,23372
LP RheinPfalz Gemeinschaftskunde Gym Sek2 1998.pdf,Rheinland-Pfalz,Gym,Sek2,1998.0,Sozialkunde,37292
LP Hamburg Politik Gesellschaft Wirtschaft Gym Sek2 2024.pdf,Hamburg,Gym,Sek2,2024.0,Sozialkunde,6754
LP Saarland Wirtschaftslehre Gym Sek2 LK 2023.pdf,Saarland,Gym,Sek2,2023.0,Sozialkunde,9382
LP Thüringen Sozialwesen Regelschule 2012.pdf,Thüringen,Regelschule,,2012.0,Sozialkunde,5102
LP RheinPfalz Sozialkunde Sek1 2021.pdf,Rheinland-Pfalz,,Sek1,2021.0,Sozialkunde,12720
LP NRW Politik Realschule 2020.pdf,Nordrhein-Westfalen,Realschule,,2020.0,Sozialkunde,5756
LP NRW Sozialwissenschaften Gym Sek2 2014.pdf,Nordrhein-Westfalen,Gym,Sek2,2014.0,Sozialkunde,21200
LP Bayern Wirtschaft und Recht Gym 12 GK 2023.pdf,Bayern,Gym,12,2023.0,Sozialkunde,699
"Lp MeckPomm Gesellschaftswissenschaften 5,6.pdf",Mecklenburg-Vorpommern,,"5,6",,Sozialkunde,11789
LP Thüringen Wirtschaft Recht Technik Regelschule 2012.pdf,Thüringen,Regelschule,,2012.0,Sozialkunde,5831
LP Niedersachsen Gesellschaftslehre Integrierte Gesamtschule Sek1 2020.pdf,Niedersachsen,Gesamtschule,Sek1,2020.0,Sozialkunde,13072
