term,total_across_topics,Topic_1,Topic_2,Topic_3,Topic_4,Topic_5,Topic_6,Topic_7,Topic_8,Topic_9,Topic_10,Topic_11,Topic_12,Topic_13,Topic_14,Topic_15,Topic_16,Topic_17,Topic_18,Topic_19,Topic_20
armut,30,0.0,0.0002,0.0002,0.0003,0.0001,0.0002,0.0022,0.0003,0.0206,0.0002,0.0003,0.0331,0.0009,0.0002,0.0001,0.0001,0.0033,0.0003,0.0001,0.0197
welt,30,0.0,0.0002,0.0002,0.0003,0.0021,0.0002,0.0021,0.0003,0.0001,0.0002,0.0003,0.0112,0.0009,0.032,0.0001,0.0102,0.0036,0.0003,0.0083,0.0055
differenzieren,29,0.0,0.0002,0.0003,0.0003,0.0001,0.0002,0.0022,0.0096,0.0287,0.0002,0.0003,0.0003,0.0009,0.0077,0.0001,0.0001,0.0001,0.0289,0.0044,0.0001
problem,28,0.0001,0.0002,0.0099,0.0003,0.0001,0.0002,0.0021,0.0484,0.0001,0.0087,0.0286,0.0116,0.001,0.0002,0.0001,0.0001,0.0124,0.0003,0.0001,0.0029
relevant,28,0.0044,0.0002,0.0002,0.0003,0.0149,0.0002,0.0021,0.0003,0.0001,0.0002,0.0003,0.0003,0.001,0.0137,0.0001,0.0026,0.0037,0.0003,0.0001,0.0206
gesellschaftlich,27,0.0279,0.0054,0.0002,0.0003,0.0001,0.0002,0.0021,0.0003,0.0001,0.0002,0.0003,0.0003,0.0009,0.0002,0.0001,0.0001,0.0001,0.0003,0.0001,0.0001
kontrollieren,27,0.0,0.0002,0.0002,0.0003,0.0001,0.0002,0.0021,0.0003,0.0001,0.0002,0.0003,0.0003,0.0009,0.0322,0.0211,0.0001,0.0001,0.0003,0.0082,0.0001
vorstellung,27,0.0,0.0028,0.0002,0.0003,0.016,0.0426,0.0021,0.0003,0.0001,0.0002,0.0387,0.0003,0.037,0.0002,0.0001,0.0015,0.0019,0.0003,0.0001,0.0001
erfassen,26,0.015,0.0002,0.0002,0.0003,0.0121,0.0002,0.0021,0.0101,0.0001,0.0002,0.0003,0.0003,0.0009,0.0009,0.0001,0.0028,0.0001,0.0003,0.0039,0.0001
kultur,26,0.0,0.0002,0.0172,0.0003,0.0006,0.0002,0.0021,0.105,0.0001,0.0002,0.0003,0.0003,0.0009,0.0024,0.0001,0.0001,0.0001,0.0071,0.0001,0.0001
wohlstand,26,0.0,0.0002,0.0002,0.0003,0.0001,0.0002,0.0021,0.0003,0.0206,0.0002,0.0003,0.0112,0.001,0.0002,0.0001,0.0001,0.0032,0.0003,0.0001,0.0197
auslösen,25,0.0,0.0002,0.0002,0.0003,0.0001,0.0002,0.0022,0.0003,0.0452,0.0002,0.0003,0.0003,0.0009,0.0045,0.0001,0.0001,0.0001,0.0003,0.0001,0.0002
erleben,25,0.0,0.0002,0.0003,0.0003,0.0002,0.0002,0.0022,0.0003,0.0138,0.0244,0.0003,0.0003,0.001,0.0002,0.0001,0.0001,0.0001,0.0112,0.0163,0.0032
regel,25,0.0,0.0002,0.0002,0.0003,0.0001,0.0002,0.0021,0.0003,0.0001,0.0037,0.0003,0.0003,0.0009,0.0002,0.0001,0.001,0.0369,0.0003,0.0001,0.0001
emotion,24,0.0136,0.0033,0.0002,0.0507,0.0001,0.0002,0.0021,0.0003,0.0001,0.0037,0.0003,0.0003,0.001,0.0002,0.0001,0.0001,0.0007,0.0003,0.0001,0.0001
gewissen,24,0.0013,0.0156,0.0002,0.0186,0.0001,0.0002,0.0021,0.0003,0.0001,0.0002,0.0003,0.0003,0.0009,0.0002,0.0001,0.0156,0.0021,0.0003,0.0001,0.0003
identifizieren,24,0.0,0.0002,0.0002,0.0003,0.0001,0.0002,0.0021,0.0003,0.0068,0.0002,0.0003,0.0003,0.001,0.0002,0.0281,0.0027,0.0001,0.0003,0.0001,0.004
verantwortung,24,0.0001,0.0404,0.0002,0.0003,0.0001,0.0002,0.0021,0.0003,0.0001,0.0003,0.0003,0.0003,0.001,0.0002,0.0001,0.0044,0.0001,0.0003,0.0119,0.0001
vorurteil,24,0.0001,0.0002,0.0002,0.0513,0.0001,0.0002,0.0021,0.0003,0.0001,0.0002,0.0003,0.0734,0.0009,0.0002,0.0001,0.0001,0.0006,0.0003,0.0001,0.0001
hilfe,23,0.0,0.0002,0.0002,0.0003,0.0001,0.0002,0.0021,0.0003,0.0001,0.0002,0.0004,0.0003,0.001,0.0384,0.0002,0.0001,0.0001,0.0003,0.0208,0.0001
person,23,0.0175,0.0028,0.0002,0.0003,0.0001,0.0002,0.0021,0.0003,0.0001,0.0134,0.0003,0.0003,0.0009,0.0002,0.0001,0.0001,0.0001,0.0003,0.006,0.0001
persönlich,23,0.0,0.0002,0.0003,0.0003,0.0001,0.0312,0.0021,0.0098,0.0001,0.0002,0.0003,0.0003,0.0009,0.0002,0.0001,0.021,0.0001,0.0003,0.0001,0.0001
tier,23,0.0,0.0063,0.0002,0.0003,0.0001,0.0002,0.0021,0.0003,0.0001,0.0002,0.0003,0.0003,0.0009,0.0002,0.0001,0.0033,0.0319,0.0003,0.0001,0.0001
dauer,22,0.0,0.0002,0.0003,0.0003,0.0001,0.0002,0.0022,0.0003,0.031,0.0002,0.0003,0.0003,0.001,0.0002,0.0001,0.0038,0.0001,0.0004,0.0001,0.0058
gruppe,22,0.0064,0.0002,0.0002,0.0003,0.0215,0.0002,0.0021,0.0003,0.0001,0.0002,0.0003,0.0116,0.001,0.0002,0.0001,0.0001,0.0065,0.0003,0.0001,0.0001
