term,total_across_topics,Topic_1,Topic_2,Topic_3,Topic_4,Topic_5,Topic_6,Topic_7,Topic_8,Topic_9,Topic_10
lernprozesse,16,0.0002,0.0002,0.0314,0.0003,0.0003,0.0001,0.0003,0.0003,0.0001,0.0043
realität,16,0.0295,0.0002,0.0001,0.0002,0.0003,0.0001,0.0003,0.0003,0.0001,0.0013
weise,16,0.0002,0.0002,0.0313,0.004,0.0003,0.0001,0.0033,0.0004,0.0001,0.0002
aufgabe,15,0.0002,0.0002,0.0001,0.0003,0.0003,0.0928,0.0003,0.0004,0.0002,0.0002
bindung,15,0.0002,0.0002,0.0001,0.0021,0.0003,0.0001,0.0003,0.0271,0.0021,0.0002
gemeinschaft,15,0.0295,0.0002,0.0001,0.0002,0.0003,0.0002,0.0003,0.0003,0.0001,0.0002
theorie,15,0.0002,0.0002,0.0001,0.0003,0.0003,0.0001,0.0279,0.0003,0.0001,0.0002
veränderung,15,0.0002,0.0002,0.0001,0.0003,0.0003,0.0077,0.0003,0.0005,0.0049,0.0003
wichtig,15,0.0002,0.0002,0.0001,0.0002,0.0003,0.0001,0.0096,0.0003,0.0321,0.0002
einfluß,14,0.0002,0.0002,0.0001,0.0002,0.0072,0.0035,0.0003,0.0003,0.0001,0.0057
empathie,14,0.0285,0.0002,0.0001,0.0002,0.0003,0.0002,0.0003,0.0003,0.0001,0.0002
erfassen,14,0.0286,0.0002,0.0001,0.0002,0.0003,0.0001,0.0003,0.0004,0.0002,0.0002
geben,14,0.0002,0.0002,0.0314,0.0003,0.0003,0.0001,0.0003,0.0049,0.0001,0.0002
medium,14,0.0002,0.0002,0.0001,0.0002,0.002,0.0001,0.0145,0.0072,0.0002,0.0023
problem,14,0.0002,0.0002,0.0001,0.0002,0.0007,0.0004,0.0003,0.0005,0.0001,0.0134
sinnestäuschung,14,0.0002,0.0002,0.0002,0.0002,0.0003,0.0002,0.0021,0.0003,0.0001,0.0128
urteil,14,0.0002,0.0002,0.0001,0.0002,0.0054,0.0001,0.0181,0.0025,0.0001,0.0002
vorurteil,14,0.0002,0.0002,0.0002,0.0002,0.0003,0.0002,0.0003,0.0048,0.0002,0.0119
wirkung,14,0.0002,0.0002,0.0001,0.0231,0.0003,0.0001,0.0003,0.0004,0.0002,0.0002
wunsch,14,0.0002,0.0002,0.0001,0.0041,0.002,0.0443,0.0003,0.0004,0.0001,0.0002
befangenheit,13,0.0002,0.0002,0.0002,0.0002,0.0003,0.0002,0.0003,0.0003,0.0001,0.0128
identität,13,0.0002,0.0002,0.0001,0.0003,0.0003,0.0642,0.0003,0.0003,0.0002,0.0002
partner,13,0.0275,0.0002,0.0001,0.0002,0.0003,0.0001,0.0003,0.0004,0.0001,0.0002
psychologisch,13,0.0002,0.0002,0.0001,0.0003,0.0003,0.0001,0.0162,0.0028,0.0002,0.0037
versetzen,13,0.0275,0.0002,0.0001,0.0002,0.0003,0.0001,0.0003,0.0004,0.0001,0.0002
wahrnehmungsfähigkeit,13,0.0275,0.0002,0.0001,0.0002,0.0003,0.0001,0.0003,0.0003,0.0002,0.0002
anzeige,12,0.0002,0.0002,0.0001,0.0149,0.0003,0.0001,0.0061,0.0004,0.0001,0.0002
aussage,12,0.0002,0.0002,0.0001,0.0002,0.0003,0.0001,0.0224,0.0003,0.0001,0.0002
erwerb,12,0.0002,0.0002,0.0001,0.0003,0.0279,0.0001,0.0022,0.0003,0.0181,0.0002
form,12,0.0025,0.0002,0.0001,0.0003,0.0021,0.0001,0.0164,0.0003,0.0001,0.0002
individuell,12,0.0002,0.0002,0.0001,0.0031,0.0003,0.0001,0.0003,0.0003,0.0435,0.0002
literatur,12,0.0002,0.0002,0.0314,0.0003,0.0003,0.0001,0.0003,0.0003,0.0001,0.0002
paradigm,12,0.0002,0.0002,0.0001,0.0065,0.0003,0.0001,0.0003,0.014,0.0002,0.0025
regional,12,0.0002,0.0002,0.0314,0.0003,0.0003,0.0001,0.0003,0.0003,0.0001,0.0002
systematisch,12,0.0002,0.0002,0.0001,0.0068,0.0279,0.0001,0.0003,0.0003,0.0152,0.0002
ausgewählt,11,0.0002,0.0002,0.0001,0.0056,0.0003,0.0002,0.014,0.0003,0.0002,0.0002
bevölkerungsgruppe,11,0.0002,0.0002,0.0305,0.0003,0.0003,0.0001,0.0003,0.0003,0.0001,0.0002
bieten,11,0.0002,0.0002,0.0001,0.0002,0.0003,0.0002,0.0004,0.0003,0.0308,0.0024
eth,11,0.0002,0.0002,0.0001,0.0002,0.0003,0.0627,0.0003,0.0004,0.0001,0.0002
