term,total_across_topics,Topic_1,Topic_2,Topic_3,Topic_4,Topic_5,Topic_6,Topic_7,Topic_8,Topic_9,Topic_10
spanisch,35,0.0093,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0007
katholisch,33,0.0102,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
leitperspektive,31,0.0,0.0079,0.0001,0.0,0.0,0.0,0.0019,0.0,0.0,0.0
information,31,0.0,0.0,0.0126,0.0,0.0,0.0,0.0018,0.0,0.0,0.0
fenster,31,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0126,0.0,0.0001
lernprozesse,30,0.0,0.0,0.0001,0.0119,0.0,0.0,0.0,0.0,0.0,0.0
allgemein,29,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.013,0.0,0.0
leistungseinschätzung,29,0.0101,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
übergreifend,28,0.0,0.008,0.0001,0.0,0.0,0.0,0.0,0.0,0.0004,0.0
kulturkreis,28,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0123,0.0,0.0
diversität,27,0.0,0.0,0.0154,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lebensverhältnis,26,0.0,0.0,0.0149,0.0,0.0,0.0,0.0,0.0,0.0,0.0
theorie,25,0.0,0.0,0.0001,0.0088,0.0,0.0,0.0,0.0,0.0,0.0
governance,25,0.0,0.0,0.0143,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ddr,25,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.009,0.0,0.0004
schriftlich,20,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0091,0.0,0.0
good,19,0.0,0.0,0.0109,0.0,0.0,0.0,0.0,0.0,0.0,0.0
