term,total_across_topics,Topic_1,Topic_2,Topic_3,Topic_4,Topic_5,Topic_6,Topic_7,Topic_8,Topic_9,Topic_10,Topic_11,Topic_12,Topic_13,Topic_14,Topic_15,Topic_16,Topic_17,Topic_18,Topic_19,Topic_20
fachinhalte,39,0.0006,0.0,0.0002,0.0371,0.0,0.0002,0.0005,0.0,0.0,0.0001,0.0001,0.0002,0.0,0.0001,0.0001,0.0011,0.0,0.0,0.0002,0.0
heutig,38,0.0,0.0,0.0002,0.0001,0.0109,0.0002,0.0,0.0,0.001,0.0001,0.0001,0.0,0.0,0.0001,0.0001,0.0001,0.0089,0.0,0.0002,0.0
phylogenetisch,38,0.0,0.0,0.0002,0.0001,0.0061,0.0002,0.0,0.0,0.0,0.0001,0.0001,0.0,0.0144,0.0001,0.0001,0.0001,0.0,0.0,0.0002,0.0
fachliche,38,0.0,0.0,0.0002,0.0001,0.0,0.0002,0.0,0.0,0.0,0.0001,0.0001,0.0,0.0,0.0001,0.0001,0.0001,0.0212,0.0,0.0002,0.0
sozialverhalten,38,0.0,0.0,0.0002,0.0001,0.0014,0.0002,0.0,0.0,0.0,0.0001,0.0001,0.0,0.0,0.0001,0.0001,0.0001,0.0206,0.0,0.0002,0.0
verstehen,37,0.0057,0.0,0.0002,0.0001,0.0,0.0206,0.0061,0.0,0.0,0.0001,0.0001,0.0004,0.0,0.0001,0.0001,0.0001,0.0,0.0043,0.0002,0.0
eigenschaft,37,0.0,0.0,0.0052,0.0001,0.0,0.0002,0.008,0.0,0.0017,0.0001,0.0001,0.0042,0.0,0.0001,0.0037,0.0001,0.0,0.0,0.0002,0.0008
fotosynthese,37,0.0,0.0,0.0002,0.0455,0.0,0.0002,0.0,0.0,0.0,0.0001,0.0001,0.0,0.0,0.0001,0.0001,0.0001,0.0,0.0,0.0002,0.0
geschichte,37,0.0,0.0,0.0002,0.0001,0.0,0.0002,0.0,0.0,0.0005,0.048,0.0001,0.0,0.0,0.0001,0.0001,0.0001,0.0,0.0,0.0002,0.0056
grenze,37,0.0,0.002,0.0574,0.0001,0.0,0.0002,0.0,0.0,0.0021,0.0001,0.0001,0.0008,0.0,0.0001,0.0001,0.0001,0.0,0.0039,0.0002,0.0
werkzeuggebrauch,36,0.0,0.0,0.0002,0.0001,0.0035,0.0002,0.0,0.0,0.001,0.0001,0.0154,0.0,0.0,0.0001,0.0001,0.0001,0.012,0.0,0.0002,0.0
