term,total_across_topics,Topic_1,Topic_2,Topic_3,Topic_4,Topic_5,Topic_6,Topic_7,Topic_8,Topic_9,Topic_10
verantwortungsbereitschaft,8,0.0012,0.0005,0.0003,0.001,0.0002,0.0008,0.0002,0.0009,0.0019,0.0209
vermitteln,8,0.0012,0.0207,0.0003,0.001,0.0002,0.0003,0.0002,0.0004,0.0017,0.0003
wahrheit,8,0.0012,0.0158,0.0003,0.001,0.0002,0.0002,0.0002,0.0004,0.0194,0.0002
zentral,8,0.0012,0.0005,0.0003,0.001,0.0002,0.0002,0.0159,0.0027,0.0017,0.0002
aktuell,7,0.0012,0.0005,0.0003,0.001,0.0002,0.0002,0.0002,0.0077,0.0017,0.0225
anwenden,7,0.0012,0.0005,0.0003,0.001,0.0002,0.0002,0.0002,0.0006,0.0017,0.0146
arbeit,7,0.0012,0.0005,0.0003,0.001,0.0002,0.0002,0.0002,0.0272,0.0017,0.0003
beurteile,7,0.0012,0.0005,0.0003,0.001,0.0002,0.0006,0.0002,0.0005,0.0019,0.0375
erwerben,7,0.0012,0.0005,0.0003,0.001,0.0002,0.0226,0.0003,0.0005,0.0017,0.0002
ethik,7,0.0012,0.0005,0.0003,0.0207,0.0002,0.0002,0.0031,0.0005,0.0017,0.0002
historisch,7,0.0012,0.0005,0.0003,0.001,0.0002,0.0002,0.0002,0.0004,0.0102,0.0077
interesse,7,0.0012,0.003,0.0003,0.0158,0.0002,0.0002,0.0002,0.0005,0.0018,0.004
kontext,7,0.0012,0.0005,0.0003,0.0059,0.0002,0.0002,0.0002,0.0004,0.0194,0.0052
lieb,7,0.0012,0.0005,0.0003,0.0158,0.0002,0.0002,0.0002,0.0005,0.0017,0.0052
umgang,7,0.0013,0.0005,0.0003,0.001,0.0002,0.0002,0.0002,0.0267,0.0017,0.0006
wichtig,7,0.0012,0.0183,0.0003,0.001,0.0002,0.0002,0.0002,0.0005,0.0018,0.0003
zusammenleben,7,0.0012,0.0138,0.0004,0.001,0.0003,0.0006,0.0005,0.0005,0.0104,0.0003
analysieren,6,0.0012,0.0005,0.0003,0.0144,0.0002,0.0005,0.0076,0.0005,0.0017,0.0002
erfordern,6,0.0012,0.0158,0.0003,0.001,0.0002,0.0002,0.0002,0.0005,0.0017,0.0002
erläutern,6,0.0012,0.0005,0.0003,0.0181,0.0002,0.0007,0.0002,0.0005,0.0017,0.0028
hinterfragen,6,0.0012,0.0005,0.0003,0.001,0.0002,0.0002,0.0076,0.0005,0.0282,0.0003
prägen,6,0.0012,0.0158,0.0003,0.001,0.0002,0.0002,0.0002,0.0004,0.0018,0.0002
standortbestimmung,6,0.0012,0.0158,0.0003,0.001,0.0002,0.0002,0.0002,0.0005,0.0017,0.0002
tier,6,0.0071,0.0005,0.0003,0.0155,0.0002,0.0002,0.0002,0.0051,0.0018,0.0003
gelten,5,0.036,0.0005,0.0003,0.0083,0.0002,0.0129,0.0002,0.0005,0.0017,0.0002
grundsätzlich,5,0.036,0.0005,0.0003,0.001,0.0002,0.0002,0.0002,0.0005,0.0369,0.0002
international,5,0.0012,0.0005,0.0003,0.001,0.0002,0.0007,0.0002,0.0005,0.0017,0.0292
mehrperspektivisch,5,0.0012,0.0005,0.0003,0.001,0.0002,0.0002,0.0002,0.0227,0.0018,0.0003
schulisch,5,0.0013,0.0005,0.0003,0.001,0.0002,0.0002,0.0095,0.0005,0.0017,0.0002
tolerieren,5,0.0503,0.0005,0.0003,0.001,0.0002,0.0002,0.0108,0.0005,0.0017,0.0002
vielgestaltig,5,0.0012,0.0005,0.0003,0.001,0.0002,0.0002,0.0002,0.0227,0.0017,0.0003
ziel,5,0.0012,0.0091,0.0003,0.0032,0.0003,0.0002,0.0002,0.0005,0.0103,0.0003
ökonomisch,5,0.0012,0.0005,0.0003,0.001,0.0002,0.0002,0.0002,0.0005,0.0017,0.0181
