term,total_across_topics,Topic_1,Topic_2,Topic_3,Topic_4,Topic_5,Topic_6,Topic_7,Topic_8,Topic_9,Topic_10
wirklichkeit,19,0.0,0.0032,0.0206,0.0,0.0057,0.0001,0.0001,0.0001,0.0002,0.0001
analyse,18,0.0005,0.0001,0.016,0.0012,0.0001,0.0001,0.0001,0.0036,0.0002,0.0001
befürchtung,18,0.0,0.0001,0.0052,0.0,0.0002,0.0001,0.0001,0.0001,0.0002,0.0149
religiös,18,0.0,0.0001,0.0185,0.0002,0.0001,0.0001,0.0001,0.0001,0.0134,0.0001
sinn,18,0.0,0.0001,0.0002,0.0003,0.0022,0.0001,0.0091,0.0001,0.0002,0.0001
didaktisch,18,0.0,0.0001,0.0122,0.0,0.0106,0.0001,0.0009,0.0001,0.0002,0.0001
teilhabe,18,0.0004,0.0135,0.0002,0.0,0.0001,0.0001,0.0018,0.0001,0.0002,0.0001
handlungsspielraum,18,0.0,0.0001,0.0002,0.0,0.0055,0.0001,0.0001,0.0001,0.0002,0.0126
bilden,17,0.0,0.0151,0.0002,0.0,0.001,0.0001,0.0007,0.0001,0.0002,0.0001
spannungsfeld,17,0.0,0.0001,0.0002,0.0,0.0001,0.0001,0.0001,0.0032,0.0002,0.0118
wichtig,17,0.0,0.0001,0.0002,0.0005,0.0001,0.0001,0.009,0.0006,0.0002,0.0001
privat,16,0.0,0.0001,0.0051,0.0,0.0003,0.0001,0.0001,0.0001,0.0002,0.0135
relevant,16,0.0,0.0001,0.0002,0.0,0.0001,0.0001,0.0001,0.0001,0.0002,0.0154
situation,16,0.002,0.0001,0.0002,0.0,0.0001,0.0001,0.0001,0.0018,0.0113,0.0001
eignen,16,0.0,0.0001,0.0002,0.0,0.0119,0.0001,0.0001,0.0023,0.0002,0.0001
strategie,16,0.0,0.0001,0.0249,0.001,0.0001,0.0001,0.0014,0.0002,0.0002,0.0001
anlage,15,0.0,0.0001,0.0344,0.0,0.0001,0.0001,0.0001,0.0001,0.0002,0.0001
prinzip,15,0.0,0.0001,0.0002,0.001,0.012,0.0001,0.0001,0.0001,0.0002,0.0001
markt,15,0.0,0.0001,0.0187,0.0,0.0001,0.0001,0.0001,0.0046,0.0002,0.0001
sprache,14,0.0,0.0001,0.0002,0.0,0.013,0.0001,0.0001,0.0001,0.0002,0.0001
verändert,14,0.0,0.0001,0.0002,0.0,0.0001,0.0001,0.0088,0.0001,0.0002,0.0001
auftrag,13,0.0,0.0131,0.0002,0.0,0.0001,0.0001,0.0001,0.0001,0.0002,0.0001
geschehen,13,0.0001,0.0001,0.0246,0.0,0.001,0.0001,0.0001,0.0001,0.0002,0.0001
positiv,12,0.0,0.0001,0.0002,0.0,0.0113,0.0001,0.0001,0.0001,0.0002,0.0001
text,12,0.0,0.0001,0.0269,0.0002,0.0001,0.0001,0.0001,0.0001,0.0002,0.0001
bestehen,11,0.0,0.0001,0.0139,0.0018,0.0001,0.0001,0.0001,0.0001,0.0002,0.0001
seite,11,0.0,0.0001,0.0002,0.0,0.0001,0.0001,0.0001,0.0001,0.0169,0.0001
endlichkeit,11,0.0,0.0001,0.0002,0.0,0.0001,0.0001,0.0001,0.0001,0.0156,0.0001
sehen,10,0.0,0.0001,0.0188,0.0007,0.0001,0.0001,0.0001,0.0001,0.0002,0.0001
gmbh,10,0.0,0.0001,0.0208,0.0,0.0001,0.0001,0.0001,0.0001,0.0017,0.0001
phase,9,0.0,0.0001,0.0002,0.0,0.0001,0.0001,0.0001,0.0001,0.0147,0.0001
revolution,9,0.0,0.0001,0.0002,0.0,0.0001,0.0001,0.0001,0.0001,0.0146,0.0001
designermöbel,9,0.0,0.0001,0.0208,0.0,0.0001,0.0001,0.0001,0.0001,0.0002,0.0001
prüflinge,7,0.0,0.0001,0.0002,0.0,0.0001,0.0001,0.0001,0.0001,0.0121,0.0001
frankfurt,7,0.0,0.0001,0.0002,0.0,0.0001,0.0001,0.0001,0.0001,0.0109,0.0001
eingeschlagen,6,0.0,0.0001,0.0139,0.0,0.0001,0.0001,0.0001,0.0001,0.0002,0.0001
zeitung,6,0.0,0.0001,0.0139,0.0,0.0001,0.0001,0.0001,0.0001,0.0002,0.0001
kürzen,6,0.0,0.0001,0.0139,0.0,0.0001,0.0001,0.0001,0.0001,0.0002,0.0001
