term,total_across_topics,Topic_1,Topic_2,Topic_3,Topic_4,Topic_5,Topic_6,Topic_7,Topic_8,Topic_9,Topic_10,Topic_11,Topic_12
einflussnahme,12,0.0004,0.0012,0.0004,0.0002,0.0006,0.0275,0.0005,0.0002,0.0028,0.0008,0.0005,0.0003
fremd,12,0.0004,0.0012,0.0004,0.0002,0.0006,0.0002,0.0288,0.0002,0.0002,0.0009,0.0005,0.007
fremdsprachlich,12,0.0004,0.0012,0.0004,0.0002,0.0006,0.0002,0.0005,0.0277,0.0002,0.0008,0.0005,0.0002
gesellschaft,12,0.0004,0.0012,0.0004,0.0002,0.011,0.0004,0.0005,0.0002,0.0076,0.0008,0.0178,0.0195
kompetenzbereiche,12,0.0004,0.0012,0.0004,0.0002,0.0006,0.0002,0.0005,0.0277,0.0002,0.0008,0.0005,0.0002
methode,12,0.0004,0.0261,0.0004,0.0008,0.0213,0.0002,0.0005,0.0002,0.0017,0.0009,0.0005,0.0214
situation,12,0.0004,0.0012,0.0004,0.0002,0.0654,0.0002,0.0005,0.0002,0.0002,0.0009,0.0045,0.0003
unterschied,12,0.0004,0.0013,0.0004,0.0193,0.0006,0.0002,0.0005,0.0002,0.0002,0.0012,0.0005,0.0002
urteil,12,0.0117,0.0012,0.0004,0.0002,0.0419,0.0002,0.0005,0.0002,0.0029,0.0272,0.0092,0.0009
begründen,11,0.0102,0.0012,0.0004,0.0003,0.0161,0.0024,0.0096,0.0002,0.0002,0.0167,0.0005,0.0012
berücksichtigen,11,0.0004,0.0012,0.0004,0.0002,0.0092,0.0248,0.0005,0.0002,0.0002,0.0009,0.0005,0.0002
demokratisch,11,0.0418,0.0012,0.0004,0.0002,0.0006,0.0002,0.001,0.0002,0.0002,0.0008,0.0127,0.0002
differenz,11,0.0004,0.0012,0.0004,0.0002,0.0006,0.0248,0.0005,0.0002,0.0002,0.0129,0.0005,0.0002
führen,11,0.0004,0.0365,0.0031,0.0003,0.0136,0.0002,0.0111,0.0002,0.0002,0.0008,0.0005,0.0002
gegenseitig,11,0.0004,0.0012,0.0004,0.0002,0.0006,0.0002,0.0006,0.0002,0.02,0.0009,0.0005,0.0002
gegenstand,11,0.0004,0.0012,0.0004,0.0002,0.0006,0.0002,0.0006,0.0002,0.02,0.0008,0.0005,0.0002
gestaltung,11,0.0004,0.0012,0.0004,0.0002,0.0006,0.0275,0.0005,0.0002,0.0002,0.0154,0.0005,0.0002
interkulturell,11,0.0197,0.0012,0.0004,0.0002,0.0006,0.0091,0.0005,0.0002,0.0002,0.0008,0.0005,0.0002
multilateral,11,0.0004,0.0012,0.0004,0.0002,0.0006,0.0002,0.0006,0.0002,0.02,0.0008,0.0005,0.0002
team,11,0.0004,0.0012,0.0004,0.0002,0.0006,0.0002,0.0394,0.0002,0.0002,0.0008,0.0005,0.0003
tolerant,11,0.0004,0.0013,0.0004,0.0002,0.0006,0.0002,0.0006,0.0002,0.02,0.0008,0.0005,0.0002
unterrichtsinhalte,11,0.0004,0.0012,0.0004,0.0002,0.0006,0.0002,0.0006,0.0002,0.02,0.0008,0.0005,0.0002
unterstützen,11,0.0004,0.0012,0.0004,0.0002,0.0006,0.0002,0.0006,0.0002,0.02,0.0008,0.0005,0.0002
vernetzt,11,0.0004,0.0012,0.0004,0.0002,0.0006,0.0002,0.0005,0.0224,0.0002,0.0008,0.0005,0.0004
virtuell,11,0.0004,0.0013,0.0004,0.0002,0.0006,0.0002,0.0006,0.0002,0.02,0.0008,0.0005,0.0002
vornehmen,11,0.0004,0.0189,0.0004,0.0002,0.0006,0.0002,0.0076,0.0002,0.0002,0.0008,0.0005,0.0167
zugang,11,0.0004,0.0013,0.0004,0.0002,0.0006,0.0002,0.0005,0.0199,0.0002,0.0008,0.0005,0.0083
anwenden,10,0.0004,0.0261,0.0004,0.0002,0.0006,0.0002,0.0005,0.0002,0.0017,0.0153,0.0005,0.011
berücksichtigung,10,0.0004,0.0012,0.0004,0.0002,0.0006,0.0275,0.0005,0.0002,0.0002,0.0009,0.0005,0.0003
erfahrung,10,0.0182,0.0012,0.0004,0.0003,0.0006,0.0002,0.0005,0.0002,0.0002,0.0008,0.0005,0.0078
gesellschaftlich,10,0.0004,0.0012,0.0004,0.0042,0.0006,0.0127,0.0005,0.0002,0.0002,0.0304,0.0005,0.0003
gezielt,10,0.0004,0.0189,0.0004,0.0218,0.0006,0.0002,0.0005,0.0002,0.0002,0.0008,0.0005,0.0002
handlungsalternative,10,0.0004,0.0012,0.0004,0.0002,0.0006,0.0275,0.0005,0.0002,0.0002,0.0008,0.0005,0.0002
prägung,10,0.0004,0.0012,0.0004,0.0002,0.0019,0.0002,0.0005,0.0208,0.0002,0.0009,0.0005,0.0002
regional,10,0.0004,0.0013,0.0308,0.0002,0.0006,0.0002,0.0005,0.0002,0.0002,0.0129,0.0006,0.0002
thema,10,0.0004,0.0012,0.0033,0.0002,0.0006,0.0002,0.0225,0.0002,0.0002,0.0009,0.0006,0.0095
tolerieren,10,0.0004,0.0012,0.0004,0.0002,0.0006,0.0002,0.009,0.0199,0.0002,0.0009,0.0005,0.0002
wechselwirkung,10,0.0004,0.0012,0.0308,0.0002,0.0006,0.0002,0.0005,0.0002,0.0002,0.0008,0.0005,0.0036
wirtschaftlich,10,0.0013,0.0012,0.0004,0.0002,0.0006,0.0141,0.0005,0.0002,0.0002,0.0273,0.0005,0.0002
befähig,9,0.0004,0.0012,0.0004,0.0002,0.0006,0.0002,0.0005,0.0199,0.0002,0.0008,0.0005,0.0002
geschlechtsspezifisch,9,0.0004,0.0013,0.0004,0.0002,0.0006,0.0248,0.0005,0.0002,0.0002,0.0008,0.0005,0.0002
gesellschaftswissenschaftlich,9,0.0004,0.0012,0.0004,0.0002,0.0006,0.0002,0.0005,0.0199,0.0002,0.0008,0.0005,0.0002
grundgesetz,9,0.0004,0.0012,0.0004,0.0002,0.0006,0.0002,0.0005,0.0199,0.0002,0.0008,0.0005,0.0002
gruppenarbeit,9,0.0004,0.0012,0.0004,0.0002,0.0006,0.0248,0.0005,0.0002,0.0002,0.0008,0.0005,0.0002
idee,9,0.0004,0.0012,0.0004,0.0002,0.0006,0.0002,0.0235,0.0002,0.0002,0.0009,0.0088,0.0053
leiten,9,0.0004,0.0012,0.0004,0.0002,0.0006,0.0002,0.0005,0.0199,0.0002,0.0008,0.0005,0.0002
positionieren,9,0.0004,0.0012,0.0004,0.0002,0.0006,0.0002,0.0005,0.0002,0.0002,0.0009,0.0386,0.0047
sachverhalt,9,0.0225,0.0012,0.0004,0.0002,0.0147,0.0002,0.0005,0.0002,0.0002,0.0008,0.0005,0.0003
wahlbereich,9,0.0004,0.0012,0.0004,0.0002,0.0006,0.0002,0.0006,0.0002,0.0002,0.0008,0.0507,0.0014
zugehörigkeit,9,0.0004,0.0012,0.0004,0.0002,0.0006,0.0002,0.0005,0.0199,0.0002,0.0008,0.0005,0.0002
zuhören,9,0.0004,0.0263,0.0004,0.0002,0.0006,0.0002,0.0222,0.0002,0.0002,0.0009,0.0005,0.0003
arbeiten,8,0.0004,0.0012,0.0004,0.0002,0.0006,0.0002,0.0288,0.0002,0.0002,0.0008,0.0005,0.0003
aspekt,8,0.0004,0.0012,0.0308,0.0002,0.0006,0.0002,0.0005,0.0002,0.0002,0.0008,0.0006,0.0002
empfehlung,8,0.0004,0.0012,0.0308,0.0002,0.0006,0.0002,0.0005,0.0002,0.0002,0.0008,0.0005,0.0002
freiheitlich,8,0.0356,0.0012,0.0004,0.0002,0.0006,0.0002,0.0009,0.0002,0.0002,0.0008,0.0005,0.0002
grundordnung,8,0.0356,0.0012,0.0004,0.0002,0.0006,0.0002,0.0008,0.0002,0.0002,0.0008,0.0005,0.0002
lage,8,0.0004,0.0012,0.0004,0.0002,0.0318,0.0002,0.0005,0.0002,0.0002,0.0008,0.0092,0.0022
nachhaltig,8,0.0004,0.0012,0.0004,0.0035,0.0006,0.0003,0.0005,0.0002,0.0002,0.0008,0.0229,0.0043
orientierungsrahme,8,0.0004,0.0012,0.0308,0.0002,0.0006,0.0002,0.0005,0.0002,0.0002,0.0009,0.0006,0.0002
schwerpunkt,8,0.0004,0.0012,0.0308,0.0002,0.0006,0.0002,0.0005,0.0002,0.0002,0.0009,0.0005,0.0002
sichtweise,8,0.0004,0.0012,0.0004,0.0002,0.0092,0.0002,0.0075,0.0002,0.0002,0.0009,0.0005,0.0164
zusätzlich,8,0.0004,0.0012,0.0308,0.0002,0.0006,0.0002,0.0005,0.0002,0.0002,0.0008,0.0005,0.0002
ökologisch,8,0.0004,0.0012,0.0308,0.0002,0.0006,0.0002,0.0005,0.0002,0.0002,0.0008,0.0005,0.0002
ermöglichen,7,0.0004,0.0012,0.0004,0.0002,0.0006,0.0002,0.0223,0.0002,0.0002,0.0008,0.0006,0.0038
globalisiert,7,0.0004,0.0012,0.0004,0.0119,0.0006,0.0002,0.0005,0.0002,0.0002,0.0402,0.0005,0.0005
internationalisierung,7,0.0004,0.0012,0.0004,0.0002,0.0006,0.0091,0.0005,0.0002,0.0002,0.0008,0.0178,0.0002
stärken,7,0.0005,0.0012,0.0004,0.0002,0.0201,0.0002,0.0005,0.0002,0.0002,0.0153,0.0092,0.0032
verantwortung,7,0.0004,0.0012,0.0004,0.0002,0.0006,0.0002,0.0217,0.0002,0.0002,0.0009,0.0041,0.0003
vorstellung,7,0.0004,0.0197,0.0004,0.0002,0.0007,0.0002,0.0005,0.0002,0.0002,0.0008,0.0005,0.0132
wechseln,7,0.0004,0.0012,0.0004,0.0002,0.0006,0.0002,0.0251,0.0002,0.0002,0.0008,0.0005,0.0003
wichtig,7,0.0004,0.0012,0.0004,0.0002,0.0006,0.0002,0.0005,0.0002,0.0002,0.0009,0.0005,0.019
wirtschaft,7,0.0004,0.0012,0.0004,0.0002,0.0006,0.0002,0.0005,0.0099,0.0002,0.0009,0.0351,0.0003
alltag,6,0.0196,0.0012,0.0004,0.0002,0.0006,0.0002,0.0005,0.0002,0.0002,0.0008,0.0005,0.0002
bezüglich,6,0.0004,0.0012,0.0004,0.0002,0.0006,0.0002,0.0005,0.0002,0.0002,0.0009,0.0178,0.007
diskussion,6,0.0004,0.0012,0.0004,0.0002,0.0006,0.0002,0.0217,0.0002,0.0002,0.0008,0.0005,0.0003
