term,total_across_topics,Topic_1,Topic_2,Topic_3,Topic_4,Topic_5,Topic_6,Topic_7,Topic_8,Topic_9,Topic_10
aufgabe,15,0.0004,0.0001,0.0812,0.0001,0.0002,0.0001,0.0002,0.0001,0.0002,0.0004
bindung,15,0.0004,0.0002,0.0001,0.0001,0.0024,0.0001,0.017,0.0001,0.0001,0.0004
gemeinschaft,15,0.0004,0.0002,0.0001,0.0017,0.0002,0.0001,0.0002,0.0001,0.0235,0.0004
person,15,0.0004,0.005,0.003,0.0001,0.0002,0.0001,0.0002,0.0006,0.0001,0.0132
verbindung,15,0.0004,0.0001,0.0001,0.0001,0.0002,0.0221,0.0002,0.0001,0.004,0.0004
wichtig,15,0.0004,0.0002,0.0001,0.0001,0.035,0.0001,0.0002,0.0022,0.0001,0.0129
einfluß,14,0.0004,0.0001,0.0001,0.0114,0.0002,0.0001,0.0002,0.0001,0.0002,0.0004
erfassen,14,0.0004,0.0002,0.0001,0.0001,0.0002,0.0001,0.0015,0.0001,0.0236,0.0004
geben,14,0.0004,0.0001,0.0001,0.0001,0.0002,0.0241,0.0002,0.0001,0.0002,0.0004
medium,14,0.0065,0.0002,0.0001,0.0001,0.0003,0.0001,0.0041,0.001,0.0002,0.0206
urteil,14,0.0031,0.0001,0.0001,0.0001,0.0002,0.0001,0.0039,0.0001,0.0002,0.026
wirkung,14,0.0221,0.0001,0.0001,0.0002,0.0002,0.0002,0.0002,0.0058,0.0001,0.0004
wunsch,14,0.0005,0.0002,0.041,0.0001,0.0002,0.0001,0.0002,0.0001,0.0002,0.0004
groß,13,0.0004,0.0001,0.0001,0.0001,0.0002,0.0001,0.0002,0.0001,0.0236,0.0004
identität,13,0.0004,0.0001,0.0562,0.0001,0.0002,0.0001,0.0002,0.0001,0.0002,0.0004
partner,13,0.0004,0.0001,0.0001,0.0001,0.0002,0.0001,0.0002,0.0001,0.0236,0.0004
versetzen,13,0.0004,0.0001,0.0001,0.0001,0.0002,0.0001,0.0002,0.0001,0.0236,0.0004
wahrnehmungsfähigkeit,13,0.0004,0.0001,0.0001,0.0001,0.0002,0.0001,0.0002,0.0002,0.0236,0.0004
aussage,12,0.0061,0.0001,0.0001,0.0001,0.0002,0.0001,0.0003,0.0001,0.0002,0.0265
erwerb,12,0.0005,0.0001,0.0001,0.0001,0.0002,0.0102,0.0002,0.0183,0.0001,0.0004
form,12,0.0005,0.0002,0.0001,0.0001,0.001,0.0001,0.0039,0.0018,0.0002,0.0174
individuell,12,0.0004,0.0001,0.0001,0.0001,0.0304,0.0001,0.0003,0.0183,0.0001,0.0004
