term,total_across_topics,Topic_1,Topic_2,Topic_3,Topic_4,Topic_5,Topic_6,Topic_7,Topic_8,Topic_9,Topic_10,Topic_11,Topic_12
sozialstaat,69,0.0,0.0,0.0001,0.0002,0.0,0.0,0.0125,0.0117,0.0,0.0,0.0,0.0
wirtschaftlich,69,0.0,0.0,0.0001,0.0,0.0,0.0,0.0008,0.009,0.0,0.0,0.0,0.0156
ungerecht,68,0.0,0.0009,0.0001,0.0054,0.0104,0.0,0.0,0.0,0.0087,0.0,0.0,0.0
beziehung,67,0.0,0.0059,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0032,0.0124
entscheidung,67,0.0,0.0,0.0001,0.0,0.0,0.0064,0.0,0.0008,0.0,0.0,0.0,0.0204
anspruch,66,0.0,0.0032,0.0163,0.0,0.0,0.0037,0.0,0.0003,0.0,0.007,0.0,0.0023
bereich,66,0.0039,0.0,0.0011,0.0,0.0,0.0133,0.0,0.0,0.0084,0.0,0.0017,0.0
grundrecht,64,0.0,0.0,0.0001,0.0,0.0,0.0,0.0287,0.0,0.0,0.0,0.0,0.0
deutschland,64,0.0,0.0012,0.0009,0.0,0.0073,0.0,0.0,0.0111,0.0,0.0,0.0,0.0
partizipation,64,0.0,0.0,0.0001,0.0,0.0,0.0186,0.0,0.0065,0.0,0.0,0.0014,0.0
interesse,63,0.0146,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0121,0.0,0.0,0.0
medial,63,0.0,0.0242,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wandel,63,0.0,0.0,0.0001,0.0115,0.0033,0.0,0.0,0.0075,0.0,0.0,0.0,0.0
aufgabe,62,0.0,0.0,0.0231,0.0,0.0066,0.0,0.0,0.0,0.0,0.0,0.001,0.0
verteilung,62,0.003,0.0,0.0006,0.0,0.0,0.0,0.0019,0.0,0.0115,0.0,0.0023,0.006
ökologisch,60,0.0089,0.0,0.0001,0.0,0.0,0.0,0.0,0.002,0.0,0.0,0.0047,0.0
aktuell,60,0.0,0.0022,0.0001,0.0,0.0049,0.0,0.0,0.0107,0.0,0.0,0.0,0.0
ungerechtigkeit,59,0.0028,0.0016,0.0001,0.0,0.0,0.0,0.0188,0.0,0.0,0.0,0.0,0.0
marktwirtschaft,58,0.0,0.0,0.0001,0.0,0.0178,0.0001,0.0,0.0036,0.0,0.0,0.0001,0.0
sicherung,57,0.0,0.0,0.0001,0.0,0.0024,0.0108,0.0,0.005,0.0,0.0,0.0,0.0012
chance,57,0.001,0.0,0.0001,0.0153,0.0,0.0,0.0,0.0,0.0059,0.0,0.0016,0.0
solidarität,56,0.0,0.0031,0.0053,0.0,0.0103,0.002,0.0,0.0,0.0,0.0,0.0008,0.0
anforderung,54,0.0026,0.0042,0.0001,0.0015,0.0,0.0,0.0,0.0,0.0,0.0098,0.0,0.0044
begründen,54,0.0088,0.0,0.0001,0.0,0.0,0.004,0.0,0.0,0.0,0.0,0.0015,0.0037
jugendliche,53,0.0,0.019,0.0001,0.0026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
entscheiden,53,0.0008,0.0044,0.0001,0.0032,0.0,0.0,0.0,0.0,0.0,0.0116,0.0,0.0
